 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K01CA092237-04","6787149","Howe, Alan K","PKA and PAK in Adhesion Dependent Signal Transduction","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 166,995","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K02AI001719-05","6721246","Ward, Gary E","CHARACTERIZATION OF NOVEL TOXOPLASMA SURFACE PROTEINS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 110,160","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K05DA000490-05","6800544","Hughes, John R","NICOTINE DEPENDENCE & TOBACCO USE RESEARCH","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 133,358","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K07CA102585-02","6801421","Marcy, Theodore W","Physician Adherence to Tobacco Use Treatment Guidelines","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 142,668","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K07HL004301-05","6785332","Levine, Mark A","NUTRITION ACADEMIC AWARD","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 168,826","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K08AI053678-02","6753681","Huston, Christopher D","E. histolytica phagocytosis of apoptotic host cells","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 123,228","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K08CA089124-04","6799979","Bosenberg, Marcus W","ROLE OF THE PTEN PATHWAY IN MELANOMA","PATHOLOGY","SCHOOLS OF MEDICINE","$ 144,342","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K08HL004499-05","6706340","Suratt, Benjamin T","NEUTROPHIL HOMEOSTASIS IN LUNG INFLAMMATION","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 134,028","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K22ES011652-02","6801113","Poynter, Matthew E","Airway Epithelial NF-kB Activation by CpG DNA","PATHOLOGY","SCHOOLS OF MEDICINE","$ 108,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5M01RR000109-40","6734611","Evans, John N","GENERAL CLINICAL RESEARCH CENTER","NONE","SCHOOLS OF MEDICINE","$ 2,318,497","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P01AI045666-06","6796707","Budd, Ralph C","Molecular Mechanisms of Th1/Th2 Development","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,674,676","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P01AR047906-04","6758040","Trybus, Kathleen M","MYOSIN DYNAMICS DURING THE CONTRACTILE CYCLE","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 1,296,493","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P01CA082708-05","6798193","Worden, John Kimbal","MASS MEDIA INTERVENTIONS TO REDUCE YOUTH SMOKING","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 2,674,322","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P01HL046703-14","6794086","Mann, Kenneth G","Surface Dependent Reactions In Thrombosis & Thrombolysis","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 1,829,294","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P01HL067004-04","6758551","Mossman, Brooke T","SIGNALING IN EPITHELIAL INJURY, PROLIFERATION & FIBROSIS","PATHOLOGY","SCHOOLS OF MEDICINE","$ 1,545,980","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P20RR015557-05","6791432","Irvin, Charles G","TRANSLATIONAL RESEARCH IN LUNG BIOLOGY AND DISEASE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,874,423","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P20RR016435-04","6796410","Parsons, Rodney L","CENTER FOR NEUROSCIENCE EXCELLENCE","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 2,186,689","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P30CA022435-21","6712867","Yandell, David W","CANCER CENTER SUPPORT GRANT (CCSG)","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,347,579","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AG021106-02","6756537","Fukagawa, Naomi K","Age-related changes in glutathione synthesis","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 374,888","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AG021476-02","6804719","Newhouse, Paul A","Estrogen Effects on Cholinergic Function in Older Women","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 314,398","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AG021602-02","6696290","Toth, Michael J","Effects of ovarian suppression on substrate metabolism","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AG022462-02","6804088","Newhouse, Paul A","Transdermal Nicotine Treatment of MCI","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 587,286","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI030534-13","6693412","Burke, John M","RIBOZYMES-- CATALYSIS AND ANTIVIRAL ACTIVITY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 348,355","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI036333-09","6748066","Budd, Ralph C","FAS REGULATES T CELL DEVELOPMENT/FUNCTION IN LPR MICE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 339,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI047727-04","6749493","Thali, Markus J","LENTIVIRUS-HOST INTERACTIONS DURING ASSEMBLY AND RELEASE","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 367,900","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI051454-02","6691062","Rincon, Mercedes R","P53 and cell cycle checkpoint by p38 MAP kinase","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 375,145","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI054961-02","6706919","Ward, Gary E","Small molecule approaches to studying T.gondii invasion","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 409,087","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AR043520-10","6749518","Budd, Ralph C","Gamma Delta T Cells in Lyme Arthritis","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 340,875","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AR045935-05","6796896","Krag, Martin H","3-D DYNAMIC MOTION SEGMENT BEHAVIOR","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 245,713","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AR049370-02","6767698","Stokes, Ian A","AN INTEGRATED MODEL OF INTERVERTEBRAL DISC FUNCTION","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 356,025","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AR049425-02","6761749","Maughan, David W","Myosin-based kinetic differences between muscle types","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 284,820","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AT001121-03","6752740","Langevin, Helene M","Acupuncture Mechanism: Mechanotransduction Model","NEUROLOGY","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA052040-12","6738992","Wallace, Susan S","PROCESSING OF DAMAGE BY TRANSLESION DNA SYNTHESIS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 314,226","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA089521-03","6787779","Wood, Marie E","Factors Influencing Use of Cancer Genetics by Physicians","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 471,742","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA094013-02","6743250","Finette, Barry A","Genotoxicity & Emergence of Genome Instability in Humans","PEDIATRICS","SCHOOLS OF MEDICINE","$ 337,088","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA096536-03","6789371","Greenblatt, Marc S","COMPUTATIONAL & LABORATORY STUDY OF P16/INK4 MUTATIONS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 235,961","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA008076-12","6768747","Higgins, Stephen T","Modeling Initial Smoking Abstinence and Relapse Risk","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 265,125","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA011692-06","6804666","Bickel, Warren K","Delay Discounting in Drug Dependence","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 340,875","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA012471-05","6800548","Budney, Alan J","Clinical Significance of Marijuana Withdrawal","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 387,222","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA012997-05","6723814","Bickel, Warren K","IMPROVING COMBINED BUPRENORPHINE-BEHAVIORAL TREATMENT","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 944,764","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA014028-04","6730487","Higgins, Stephen T"," Voucher-based incentives to treat pregnant smokers","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 643,321","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA015186-03","6756580","Budney, Alan J","Behavioral Treatment of Adolescent Marijuana Abuse","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 434,057","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DE009760-12","6697482","Fivestaylor, Paula M","Invasion and Adhesion of Periopathogens","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 376,175","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK021739-22","6763236","Mason, Anne B","Iron Delivery via Blood; Structural role of Transferrin","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 311,674","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK038429-16","6702301","Matthews, Dwight E","DYNAMIC ASPECTS OF AMINO ACID METABOLISM","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 256,896","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK051369-07","6801089","Vizzard, Margaret ","Cystitis-Induced Plasticity of Micturition Reflexes","NEUROLOGY","SCHOOLS OF MEDICINE","$ 299,645","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK053832-07","6784516","Nelson, Mark T","Ca2+ sparks & urinary bladder smooth muscle excitability","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 316,588","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK056644-04","6767621","Lidofsky, Steven D","Mechanism of Cell Volume Regulation in Liver","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 306,788","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK060481-03","6755021","Vizzard, Margaret ","Developmental Plasticity of Micturition Reflexes","NEUROLOGY","SCHOOLS OF MEDICINE","$ 257,552","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK061167-03","6747598","Littenberg, Benjamin ","Vermont Diabetes Information System","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 551,703","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK062267-03","6763977","Mawe, Gary M","Neuronal Excitability and Motility in Colitis","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 228,008","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK064325-02","6784142","Segal, Alan S","ATP-Sensitive K Channels in Renal Proximal Tubule","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 205,473","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK065989-02","6803515","Vizzard, Margaret ","Neurotrophic Mechanisms in LUT Plasticity with Cystitis","NEUROLOGY","SCHOOLS OF MEDICINE","$ 287,968","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01EY008706-14","6685878","Bateman, Erik A","TRANSCRIPTION OF ACANTHAMOEBA RNA PLYMERASE II GENES","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 317,068","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM048847-12","6779881","Morrical, Scott W","Assembly and Activation of Enzyme-ssDNA Complexes","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 318,150","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM054899-07","6693083","Francklyn, Christopher S","Structure and Mechanism of Class II tRNA Synthetases","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 356,234","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM059988-04","6702273","Vanhouten, Judith L","GPI ANCHORED PROTEINS IN CHEMORESPONSE","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 250,083","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM062239-04","6752833","Doublie, Sylvie ","CRYSTALLOGRAPHIC STUDIES OF EUKARYOTIC POLY(A)POLYMERASE","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 264,250","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM065552-03","6712112","Burke, John M","Hammerhead Ribozyme: Active Site Assembly and Structure","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 280,275","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM067187-03","6744776","Friestad, Gregory K","Asymmetric Synthesis of Bioactive Chiral Amines","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 265,125","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM068650-02","6781736","Radermacher, Michael ","3D STRUCTURE OF MEMBRANE PROTEIN COMPLEXES","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 303,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HD027468-12","6744731","May, Victor ","Regulation of Peptide Expression in Neuronal Cells","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 306,788","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HD040220-02","6744436","Mcconaughy, Stephanie H","Advancing ADHD diagnosis via standardized observations","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 390,074","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HD040909-02","6726791","Henry, Sharon M","Mechanisms of specific trunk Exercises in low back pain","OTHER HEALTH PROFESSIONS","SCH ALLIED HEALTH PROFESSIONS","$ 337,399","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HD043185-02","6726880","Bonney, Elizabeth A","Pregnancy and T cell homeostasis","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 238,613","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HD044747-02","6756024","Phillippe, Mark ","Thrombin-Stimulated Intrauterine Signaling Pathway","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 272,700","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL038113-17","6747652","Trybus, Kathleen M","MYOSIN MOTORS AND THEIR INTERACTION WITH ACTIN","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL044455-14","6747850","Nelson, Mark T","Regulation of cerebral artery dilation","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 340,875","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL050287-09","6773241","Lewinter, Martin M","Mechanoenergetics of Hypertrophy and Failure","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 378,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL054281-22","6780918","Kelm, Robert J","Regulaton of Cell Proliferation","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 264,652","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL058231-07","6688291","Brayden, Joseph E","Mechanism of Resistance Artery Contraction","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 340,875","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL058583-07","6747911","Huber, Sally A","CDI and Gamma Delta+ in Viral Myocarditis","PATHOLOGY","SCHOOLS OF MEDICINE","$ 151,500","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL060014-06","6690348","Janssenheininger, Yvonne Mw","Regulation of NF-kB in Lung Epithelium by ROS/RNS","PATHOLOGY","SCHOOLS OF MEDICINE","$ 340,875","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL063798-05","6697316","Berger, Christopher L","INTRINSIC PROBES OF SMOOTH MUSCLE MYOSIN DYMAMICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 341,479","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL065481-03","6683229","Parsons, Rodney L","Modulation of parasympathetic neurons by PACAP peptides","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 303,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
