 
"Organization Name - Effective 02-MAR-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P20RR016462-06","7256884","Vanhouten, Judith L","Vermont Genetics Network - Vermont INBRE","CHEMISTRY","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 3,127,055","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P20RR021905-02","7264588","Budd, Ralph C","Vermont Immunobiology / Infectious Diseases Center","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 2,198,373","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AA014270-04","7268983","Helzer, John E","Therapeutic IVR to Augment CBT in Alcohol Dependence.","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 474,967","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AG021106-05","7254674","Fukagawa, Naomi K","Age-related changes in glutathione synthesis","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 358,635","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AG021476-05","7277797","Newhouse, Paul A","Estrogen Effects on Cholinergic Function in Older Women","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 298,106","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AG021602-05","7173393","Toth, Michael J","Effects of ovarian suppression on substrate metabolism","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 359,123","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI036333-11","7229030","Budd, Ralph C","Fas Regulates T Cell Development/Function in Lpr Mice","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 368,980","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI041747-09","7174288","Teuscher, Cory ","Autoimmune Disease and Neonatal Tolerance","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 282,368","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI044186-08","7163415","Burke, John Mackenzie","Hairpin Ribozyme: Folding, Structure and Mechanism","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 490,665","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI051454-05","7161477","Rincon, Mercedes R","P53 and cell cycle checkpoint by p38 MAP kinase","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 359,123","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI054961-05","7210687","Ward, Gary E","Small molecule approaches to studying T.gondii invasion","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 515,441","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI058052-04","7196479","Teuscher, Cory ","Genetics of Suscptibility to Anthrax Toxin in vivo","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 359,123","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AI063276-03","7218063","Ward, Gary E","Functional Studies of Toxoplasma gondii AMA1 and AMA2","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 360,308","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AR051146-03","7168813","Iatridis, James C","Mechanical Injury and Repair in the Intervertebral Disc","ORTHOPEDICS AND REHABILITATION","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 1","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AR051477-04","7221302","Beynnon, Bruce D","Biomarkers of Cartilage Metabolism and OA","ORTHOPEDICS AND REHABILITATION","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 327,882","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AR052131-03","7271173","Naylor, Magdalena R","Therapeutic IVR For Relapse Prevention in Chronic Pain","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 420,356","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AR053132-02","7234136","Stokes, Ian A","Progressive scoliosis deformity in intervertebral disc","ORTHOPEDICS AND REHABILITATION","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 324,702","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01AT003479-02","7289874","Langevin, Helene M","Soft Tissue Biomechanical Behavior During Acupuncture in Low Back Pain","NEUROLOGY","NEUROLOGY","SCHOOLS OF MEDICINE","$ 368,980","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA033657-26","7252627","Wallace, Susan S","Repair of DNA Damages Induced by Ionizing Radiation","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 430,301","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA074137-09","7244453","Krag, David N","Sentinel Node Versus Axillary Dissection in Breast Ca.","VERMONT CANCER CENTER","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 850,024","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA094013-05","7226963","Finette, Barry A","Genotoxicity & Emergence of Genome Instability in Humans","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 319,620","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA112054-03","7217386","Bosenberg, Marcus W","The Role of Beta-catenin Signaling in Malignant Melanoma","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 256,179","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01CA112091-03","7274832","Krag, David N","Targeted Enzymes for Prodrug Therapy","VERMONT CANCER CENTER","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 497,767","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA011557-09","7234805","Hughes, John R","Gradual vs Abrupt Cessation Treatment for Smoking","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 377,933","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA014028-07","7271918","Higgins, Stephen T","Voucher-based incentives to treat pregnant smokers","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 566,765","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA017784-03","7228939","Nishi, Rae ","Nicotinic Acetylcholine Receptors in Neural Development","ANATOMY AND NEUROBIOLOGY","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 324,278","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA017825-03","7271325","Hughes, John R","Internal Barriers to Seeking Smoking Cessation Treatment","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 454,395","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA018410-04","7247893","Heil, Sarah H","Maternal Opioid Treatment: Human Experimental Research","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 433,996","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA018734-03","7242533","Zvolensky, Michael J","Anxiety Sensitivity and Smoking","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 401,266","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DA019989-02","7249387","Sigmon, Stacey C","Effective Treatment for Prescription Opioid Abuse","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 617,093","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DC006939-04","7232324","Delay, Rona J","Intracellular chloride regulation in olfactory neurons.","BIOLOGY","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 359,123","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DE009760-15","7174219","Mintz, Keith P","Invasion and Adhesion of Periopathogens","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 359,123","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DE011000-14","7190566","Fivestaylor, Paula M","Genetic Analysis-Adhesion of S Sanguis to S Pellicle","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 400,731","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DE013824-07","7227871","Mintz, Keith P","Molecular Interactions: Oral Bacteria & Matrix Proteins","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 350,532","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK051369-10","7257155","Vizzard, Margaret Ann","Cystitis-Induced Plasticity of Micturition Reflexes","NEUROLOGY","NEUROLOGY","SCHOOLS OF MEDICINE","$ 300,182","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK056746-06","7229056","Harveyberino, Jean R","Internet Assisted Obesity Treatment","HEALTH PROMOTION RESEARCH","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 658,855","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK056818-08","7214108","Leahy, John L","Beta-cell Compensation in Partial Pancreatectomy Mice","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 317,072","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK064325-05","7238702","Segal, Alan ","ATP-Sensitive K Channels in Renal Proximal Tubule","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 194,826","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK065947-04","7257204","Nelson, Mark T","Nerve Evoked Signaling in Urinary Bladder Smooth Muscle","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 338,691","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK065989-05","7278299","Vizzard, Margaret Ann","Neurotrophic Mechanisms in LUT Plasticity with Cystitis","NEUROLOGY","NEUROLOGY","SCHOOLS OF MEDICINE","$ 271,058","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK066635-04","7231407","Leahy, John L","Mechanisms of Beta cell Compensation and Failure","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 225,881","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01DK068329-04","7214158","Jetton, Thomas L","Beta cell mass expansion in glucose-infused rats","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 265,033","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM054899-10","7197297","Francklyn, Christopher S","Structure and Mechanism of Class II tRNA Synthetases","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 313,634","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM068650-04","7104343","Radermacher, Michael ","3D STRUCTURE OF MEMBRANE PROTEIN COMPLEXES","MOLECULAR PHYSIOL & BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 287,299","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM069551-04","7269535","Ruiz, Teresa ","EUKARYOTIC PHOSPHOFRUCTOKINASE: STRUCTURE/FUNCTION","MOLECULAR PHYSIOL & BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 230,598","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM070742-04","7209743","Hondal, Robert J","Selenium-Thioredoxin Reductase Studied by Semisynthesis","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 215,474","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM072001-04","7211355","Bentil, Daniel E","Molecular Mechanics of Myosin Motor Proteins","MATHEMATICS AND STATISTICS","BIOSTATISTICS & OTHER MATH SCI","BIOMED ENGR/COL ENGR/ENGR STA","$ 139,521","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01GM074204-03","7231730","Howe, Alan K","Spatial regulation of Protein Kinase A in cell migration","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 259,422","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HD040909-05","7194182","Henry, Sharon M","Mechanisms of specific trunk Exercises in low back pain","REHABILITATION AND MOVEMENT SCIENCE","OTHER HEALTH PROFESSIONS","SCH ALLIED HEALTH PROFESSIONS","$ 323,212","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HD044747-05","7228973","Phillippe, Mark ","Thrombin-Stimulated Intrauterine Signaling Pathway","OBSTETRICS AND GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 258,570","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HD047224-02","7218092","Bonney, Elizabeth A","Placental Immunity to LCMV","OBSTETRICS AND GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 284,115","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL034575-23","7166830","Mann, Kenneth G","Primary Structure of Prothrombin","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 458,477","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL044455-17","7257065","Nelson, Mark T","Regulation of cerebral artery dilation","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 368,980","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL058231-10","7172308","Brayden, Joseph E","Mechanisms of resistance artery contraction","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 368,980","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL063798-07","7172332","Berger, Christopher L","INTRINSIC PROBES OF SMOOTH MUSCLE MYOSIN DYNAMICS","MOLECULAR PHYSIOL & BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 358,449","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL067273-05","7256374","Bates, Jason Ht","ASSESSMENT OF LUNG FUNCTION IN MICE","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 368,980","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL068865-05","7214169","Vandervliet, Albert ","TOXIC ALDEHYDES AS MODULATORS OF LUNG INFLAMMATION","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 287,299","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL071944-04","7173763","Bernstein, Ira Mark","Prepregnancy Phenotype & Predisposition to Pre-eclampsia","OBSTETRICS AND GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 275,423","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL073895-03","7212087","Osol, George J","Resistance Artery Adaptation in Hypertensive Pregnancy","OBSTETRICS AND GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 332,082","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL074295-04","7275975","Vandervliet, Albert ","NITRIC OXIDE SIGNALING IN ALLERGIC AIRWAY DISEASE","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 360,308","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL075593-03","7195824","Bates, Jason Ht","MECHANICS OF ACUTE LUNG INJURY","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 288,247","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL076774-03","7196517","Damon, Deborah Heins","Vascular determinants of sympathetic innervation","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 359,123","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL077418-02","7227490","Toth, Michael J","Skeletal muscle contractile dysfunction in heart failure","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 371,958","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL077449-04","7253455","Tracy, Russell P","Epidemiology of Vascular Inflammation & Atherosclerosis","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 340,250","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL077637-04","7254897","Vanburen, Peter C","Myofibrillar Remodeling in Human Valvular Heart Disease:","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 359,123","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5R01HL078983-03","7146711","Wellman, George C","Cerebral artery Ca2+ signaling & subarachnoid hemorrhage","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 360,308","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
