Time,F-Scale,Location,County,State,Lat,Lon,Comments
0727,UNK,SILEX,LINCOLN,MO,39.13,-91.06,*** 2 INJ *** TORNADO TOUCHDOWN...FROM OLNEY TO SILEX. LOCAL MEDIA REPORTS SEVEN BUILDINGS COMPLETELY DESTROYED...OTHERS SUFFERED MAJOR DAMAGE. 2 INJURIES. ONE MAN WAS (LSX)
0735,UNK,SILEX,LINCOLN,MO,39.13,-91.06,TORNADO REPORTED ON THE GROUND. (LSX)
0755,UNK,EOLIA,PIKE,MO,39.24,-91.01,NEAR EOLIA...POSSIBLE TORNADO PASSED OVER US 61. (LSX)
0800,UNK,COMPETITION,LACLEDE,MO,37.48,-92.43,FROM 2 MILES SOUTH TO 3 MILES EAST OF COMPETITION...6 HOMES AND OVER ONE DOZEN BARNS DAMAGED OR DESTROYED. (SGF)
Time,Speed,Location,County,State,Lat,Lon,Comments
1355,60,BUFFALO,DALLAS,MO,37.64,-93.09,(SGF)
1411,76,LAWRENCE,DOUGLAS,KS,38.97,-95.24,(TOP)
1419,UNK,LAWRENCE,DOUGLAS,KS,38.97,-95.24,LARGE FENCING BLOWN DOWN (TOP)
1425,UNK,RENO,LEAVENWORTH,KS,39.05,-95.12,STRUCTURAL DAMAGE REPORTED IN THE RENO AREA...POSSIBLE TORNADO. ONE PERSON REPORTED MISSING AT THIS TIME. CORN STALKS VISIBLE FALLING FROM THE SKY. REPORTED BY LEAVENWO (EAX)
1431,UNK,WEST IRVINE,ESTILL,KY,37.7,-83.99,BUSHES WERE BLOWN DOWN AT A DRUG STORE PARKING LOT. A SIGN WAS BLOWN DOWN AT A GAS STATION. A FEW SHINGLES WERE BLOWN OFF ONE BUILDING...WITH SOME SIDING BLOWN OFF ANOT (JKL)
1440,UNK,1 N EDWARDSVILLE,WYANDOTTE,KS,39.09,-94.82,STRAIGHT LINE WINDS DEMOLISHED 2 SHEDS AND TORE THE ROOF OFF A HOUSE ABOUT 1 MILE SOUTH OF CABELLAS. (EAX)
1454,UNK,KANSAS CITY,JACKSON,MO,39.08,-94.57,PUBLIC WORKS REPORTING ROOF BLOWN OFF BLOCK ROAD AT 12TH AND BURLINGTON,MULTIPLE POWER POLES SNAPPED OFF AT BASE,WINDOWS BROKE AMAGE,POWER OUT AROUND 10TH THRU 12TH (EAX)
1505,UNK,2 S LIBERTY,CLAY,MO,39.22,-94.43,1 NE HWY 291/210 INTERSECTION...POWER POLES SNAPPED. BARN DAMAGED. (EAX)
1507,70,LIBERTY,CLAY,MO,39.25,-94.43,60-70MPH WIND GUSTS (EAX)
1515,70,SIBLEY,JACKSON,MO,39.18,-94.2,60 TO 70 MPH WIND GUSTS (EAX)
1530,UNK,MISSOURI CITY,CLAY,MO,39.23,-94.3,STRUCTURAL DAMAGE TO BARN AND TRUCK OVERTURNED (EAX)
1545,UNK,HARDIN,RAY,MO,39.27,-93.85,DAMAGE TO OUT BUILDINGS (EAX)
1547,59,(MKC)KS CITY DNTN ARPT,JACKSON,MO,39.12,-94.6,(EAX)
1547,UNK,1 N CARROLLTON,CARROLL,MO,39.38,-93.5,ROOF DAMAGE TO BUILDING ON 65 HWY (EAX)
1622,90,MARIONVILLE,LAWRENCE,MO,37,-93.64,(SGF)
1712,UNK,2 N STEWARTSVILLE,DE KALB,MO,39.78,-94.5,STURDY SHED BLOWN DOWN (EAX)
1730,UNK,MAYSVILLE,DE KALB,MO,39.88,-94.38,ROOF PARTIALLY BLOWN OFF HOUSE. TIME ESTIMATED. (EAX)
1750,UNK,4 S PATTONSBURG,DAVIESS,MO,39.99,-94.13,POWER LINES DOWNED. TIME ESTIMATED (EAX)
1848,70,TINLEY PARK,COOK,IL,41.57,-87.8,171ST AND HARLEM (LOT)
1930,UNK,7 SE BLOOMFIELD,DAVIS,IA,40.68,-92.32,STATE PATROL REPORTS THUNDERSTORM WIND CAUSED ROOF OF HOUSE COLLAPSED INTO HOME. ALSO POWERPOLES BLOWN DOWN. (DMX)
2020,80,6 NE LA CYGNE,LINN,KS,38.41,-94.67,LIFTED CAR (EAX)
2029,UNK,AMSTERDAM,BATES,MO,38.35,-94.58,TREES DOWN AND DAMAGE TO BUILDINGS IN STRAIGHT LINE WINDS (EAX)
2029,70,KANSAS CITY,JACKSON,MO,39.08,-94.57,70 MPH WINDS REPORTED AT BRIGHTON AND VIVIAN IN KANSAS CITY,MO (EAX)
2110,UNK,LATOUR,JOHNSON,MO,38.63,-94.12,DAMAGE REPORTED IN TOWN (EAX)
2118,UNK,COWGILL,CALDWELL,MO,39.57,-93.93,TREES AND POWERLINES DOWN (EAX)
2122,UNK,1 N WARRENSBURG,JOHNSON,MO,38.78,-93.75,HIGHWAY SIGNS DOWN. TIME ESTIMATED (EAX)
2225,UNK,FLORENCE,MORGAN,MO,38.59,-92.98,2 GRAIN BINS DOWN ON FRY ROAD IN THE VICINITY OF FLORENCE (SGF)
2230,UNK,NEW FRANKLIN,HOWARD,MO,39.02,-92.75,ROOF DAMAGE IN NEW FRANKLIN. (EAX)
2310,60,COLUMBIA,BOONE,MO,38.95,-92.33,(LSX)
2320,UNK,COLUMBIA,BOONE,MO,38.95,-92.33,NUMEROUS HOMES DAMAGED IN NORTH CENTRAL PORTIONS OF THE CITY. AT I-70 AND HIGHWAY 740...TRAFFIC LIGHTS ARE GONE. TIME IS ESTIMATED. (LSX)
2330,60,6 W AUXVASSE,CALLAWAY,MO,39.02,-92.01,(LSX)
0025,UNK,NEW HARTFORD,PIKE,MO,39.2,-91.28,TREES AND POWER POLLS SNAPPED. (LSX)
0104,70,HARRISONVILLE,CASS,MO,38.65,-94.35,(EAX)
0105,UNK,1 W BELLEVIEW,CALHOUN,IL,39.35,-90.8,ALONG HIGHWAY 96...TREES DOWN AROUND THE AREA. (LSX)
0115,60,5 W PRYOR,MAYES,OK,36.31,-95.41,(TSA)
0130,UNK,ALSEY,SCOTT,IL,39.56,-90.43,POWER POLES DOWN NEAR ALSEY ALONG ROUTE 106. (ILX)
0142,UNK,STRASBURG,CASS,MO,38.77,-94.17,POSSIBLE TORNADO. HOUSE DAMAGED. TIME ESTIMATED. DELAYED REPORT. (EAX)
0145,UNK,MURRAYVILLE,MORGAN,IL,39.58,-90.25,DELAYED REPORT. 1 INJURY IN MURRAYVILLE CAUSED BY FLYING DEBRIS. 1 TRAILER DAMAGED...NO POWER IN TOWN...AN A 4 INCH GAS PIPE BROKE IN A GRAIN ELEVATOR BUT IS CAPPED. (ILX)
0148,107,MOLINE QUAD-CITY AIRPOR,ROCK ISLAND,IL,41.45,-90.5,CONFIRMED WITH FAA BACKUP EQUIPMENT. CONSIDERABLE DAMAGE TO HOMES...TREES...POWER LINES...AND OUT BUILDINGS ON THE WEST SIDE OF THE AIRPORT. DAMAGE PATTERN CONSISTENT W (DVN)
0150,70,2 NW ORION,HENRY,IL,41.37,-90.4,(DVN)
0200,UNK,ALEDO,MERCER,IL,41.2,-90.75,TREES AND POWER LINES BLOWN DOWN IN ALEDO. (DVN)
0204,70,NEW BERLIN,SANGAMON,IL,39.73,-89.91,REPORTED BY SANGAMON COUNTY OEM. (ILX)
0204,UNK,NEW BERLIN,SANGAMON,IL,39.73,-89.91,BUILDING DAMAGED IN NEW BERLIN,ALONG WITH DOWNED POWER LINES. (ILX)
0215,UNK,1 W COLONA,HENRY,IL,41.49,-90.37,SEVERAL TREES DOWN NEAR CONFLUENCE OF GREEN AND ROCK RIVERS... SOME TREES UNHEALTHY. TIME ESTIMATED. (DVN)
0215,UNK,CARBON CLIFF,ROCK ISLAND,IL,41.5,-90.39,FLAG POLE BLOWN DOWN. (DVN)
0218,UNK,SWEET SPRINGS,SALINE,MO,38.97,-93.42,POWER POLES SNAPPED AND TREES DOWN (EAX)
0228,UNK,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,ROOF DAMAGE TO A RETAIL STORE ON SOUTHWEST SIDE OF SPRINGFIELD. (ILX)
0230,UNK,AUBURN,SANGAMON,IL,39.58,-89.75,RAILROAD SIGN BLOWN DOWN IN AUBURN BLOCKING THE ROAD. (ILX)
0230,58,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,MEASURED AT SPRINGFIELD ASOS. (ILX)
0230,UNK,3 NW MACKINAW,TAZEWELL,IL,40.57,-89.4,WINDOWS BLOWN IN DUE TO ESTIMATED 60 MPH WINDS. (ILX)
0245,60,MINDENMINES,BARTON,MO,37.47,-94.59,ALSO NOTED DIME SIZE HAIL ALONG HIGHWAY 126 AND THE STATE LINE (SGF)
0245,UNK,BUFFALO,SANGAMON,IL,39.85,-89.41,*** 4 INJ *** HOUSE BADLY DAMAGED JUST NORTH OF TOWN...4 INJURIES IN THE HOUSE. NUMEROUS GRAIN BINS...CORN CRIBS...OUT BUILDINGS AND TREES DESTROYED. REPORT FROM COOP O (ILX)
0300,UNK,LATHAM,LOGAN,IL,39.97,-89.16,PEOPLE TRAPPED IN THE BASEMENT OF A HOUSE JUST SOUTH OF LATHAM. (ILX)
0307,UNK,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,DELAYED REPORT...ROOF BLOWN OFF OF WHITE HEN PANTRY ON 11TH STREET. POWER OUTAGES IN SPRINGFIELD. (ILX)
0323,UNK,4 NE SAYBROOK,MCLEAN,IL,40.47,-88.47,SHED DESTROYED BY STRAIGHT LINE WINDS. (ILX)
0325,60,JASPER,JASPER,MO,37.34,-94.3,LIMBS DOWN. (SGF)
0330,60,4 S ETHEL,MACON,MO,39.84,-92.75,(EAX)
0330,UNK,6 W MORRISON,WHITESIDE,IL,41.81,-90.08,15 POWER POLES SNAPPED OFF AT GROUND ON FROG POND ROAD JUST NORTH OF GARDEN PLAIN ROAD (DVN)
0335,70,OSCEOLA,ST. CLAIR,MO,38.05,-93.7,DIME HAIL ALSO REPORTED. (SGF)
0335,UNK,5 ENE WAPELLA,DE WITT,IL,40.25,-88.87,TREES UPROOTED. TWO WINDOWS BLOWN IN. TIME ESTIMATED. (ILX)
0339,UNK,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,PEOPLE UNACCOUNTED FOR ON SOUTH GRAND AVENUE. POWER OUTAGES FROM I-72 AND ROUTE 4 THROUGH I-72 AND I-55. (ILX)
0345,UNK,CLINTON,CLINTON,IA,41.84,-90.23,STREET SIGN BLOWN DOWN. TIME ESTIMATED. (DVN)
0355,UNK,KENOMA,BARTON,MO,37.44,-94.2,WIND DAMAGE REPORTED BY BARTON COUNTY EMERGENCY MANAGEMENT IN KENOMA. FLAG POLE BLOWN DOWN (SGF)
0355,UNK,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,DELAYED REPORT. GARAGE AND HOUSE DAMAGED ON 8TH AND ASH IN SPRINGFIELD. TREES DOWN ON WALNUT AND CARPENTER STREETS. A LOT OF DEBRIS AND NO POWER FROM AIRPROT AND NORTH (ILX)
0400,UNK,FORT SCOTT,BOURBON,KS,37.84,-94.71,ONE TREE REPORTED BLOWN DOWN IN THE 1400 BLOCK OF MAIN STREET. ANOTHER TREE BLOWN DOWN ON COUCH STREET. NICKEL SIZE HAIL WAS ALSO OBSERVED. (SGF)
0410,UNK,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,ADDITIONAL DELAYED REPORTS FROM NEAR 8TH AND ASH IN SPRINGFIELD. 6 HOUSES SEVERELY DAMAGED...ONE GARAGE COMPLETELY REMOVED. LARGE TREES DOWN. DEBRIS EMBEDDED INTO STAND (ILX)
0415,UNK,3 SE ELKTON,HICKORY,MO,37.82,-93.39,POSSIBLE TORNADO. METAL ROOF OF OFF BUSINESS. SIX TRAILERS DESTROYED AT AN RV PARK. TRAILER HOUSE HOUSING SIX BOATS DESTROYED. ON RB HIGHWAY TWO MILES EAST OF HIGHWAY 8 (SGF)
0415,UNK,5 W PONTIAC,LIVINGSTON,IL,40.88,-88.74,RURAL GRAYMONT BETWEEN FLANIGAN AND PONTIAC. BASEMENT DOOR BLOWN OUT. ROAD SIGNS BLOWN DOWN. (LOT)
0417,60,PLEASANT HILL,CASS,MO,38.78,-94.27,MEASURED AT NWS OFFICE (EAX)
0418,UNK,MATHERVILLE,MERCER,IL,41.26,-90.61,BRANCHES AND POWER POLES DOWN (DVN)
0420,UNK,NORTH HENDERSON,MERCER,IL,41.09,-90.47,POWER POLES AND BRANCHES DOWN (DVN)
0422,90,MARIONVILLE,LAWRENCE,MO,37,-93.64,(SGF)
0422,60,GIBSON CITY,FORD,IL,40.47,-88.38,60 MPH WIND GUST. PEA SIZED HAIL AND HEAVY RAIN. (LOT)
0430,UNK,2 N MILFORD,IROQUOIS,IL,40.66,-87.7,ON COUNTY RD. 1200N...2 BARNS DAMAGED,1 BARN AND 1 TOOL SHED WITH ROOFS TORN OFF. HOLES BLOWN IN WIND BREAKS ON A FARM. (LOT)
0440,70,2 NW CENTERVIEW,JOHNSON,MO,38.77,-93.88,(EAX)
0450,UNK,MELVIN,FORD,IL,40.57,-88.25,POWER LINES AND POLES DOWN ON IL ROUTE 59 CAUSING ROAD TO BE CLOSED. (LOT)
0450,UNK,ATKINSON,HENRY,IL,41.42,-90.01,POWER LINES DOWN ON RTE 6 AND STATE STREET. TREE ON HOUSE. (DVN)
0451,60,MONTROSE,HENRY,MO,38.27,-93.98,IN ADDITION TO NICKEL SIZED HAIL (EAX)
0500,UNK,4 N MILFORD,IROQUOIS,IL,40.69,-87.7,FARM HAD ROOFS BLOWN OFF OF BARN AND TOOL SHED NEAR COUNTY ROAD 1200-N. EVENT OCCURED IN LESS THAN 30 SECONDS. (LOT)
0515,UNK,3 SW BILLINGS,CHRISTIAN,MO,37.04,-93.59,AT 413 SOUTH OF HIGHWAY 60...TELEPHONE POLES AND TREES WERE REPORTED DOWNED. POSSIBLE TORNADO DAMAGE (SGF)
0515,60,2 N ASBURY,JASPER,MO,37.3,-94.61,(SGF)
0520,UNK,1 NW PRINCETON,BUREAU,IL,41.39,-89.48,POWER POLE DOWN ON BACKBONE ROAD (DVN)
0525,60,BUFFALO,DALLAS,MO,37.64,-93.09,(SGF)
0525,UNK,2 W TEBBETTS,CALLAWAY,MO,38.62,-92,MOBLIE HOME BLOWN OVER...NO KNOWN INJURIES. (LSX)
0530,UNK,5 NNE ADAIR,MAYES,OK,36.5,-95.24,SHINGLES BLOWN OFF ROOF AND LARGE BROKEN TREE LIMBS (TSA)
0530,UNK,3 E WALNUT,BUREAU,IL,41.56,-89.53,DOOR BLOWN OFF BARN (DVN)
0533,UNK,2 S LINCOLN,BENTON,MO,38.36,-93.33,STORAGE BIN BLOWN ACROSS HIGHAY 65. (SGF)
0553,UNK,3 E WALNUT,BUREAU,IL,41.56,-89.53,DOOR BLOWN OFF BARN (DVN)
0615,UNK,ADAIR,MCDONOUGH,IL,40.42,-90.5,POWER POLES DOWN NEAR ADAIR (DVN)
0625,60,BUFFALO,DALLAS,MO,37.64,-93.09,(SGF)
0630,UNK,3 SW BILLINGS,CHRISTIAN,MO,37.04,-93.59,AT 413 SOUTH OF HIGHWAY 60...TELEPHONE POLES AND TREES WERE REPORTED DOWNED. POSSIBLE TORNADO DAMAGE (SGF)
0640,UNK,3 SW FULTON,CALLAWAY,MO,38.82,-91.99,BARN BLOWN DOWN ALONG COUNTY ROAD 407. (LSX)
0642,75,CHICAGO,COOK,IL,41.88,-87.63,VAN BUREN AND CENTRAL (LOT)
0648,70,TINLEY PARK,COOK,IL,41.57,-87.8,171ST AND HARLEM (LOT)
0650,UNK,BRIDGEVIEW,COOK,IL,41.74,-87.81,77TH AND HARLEM. ROOF BLOWN OFF APARTMENT COMPLEX (LOT)
0650,60,MELROSE PARK,COOK,IL,41.9,-87.86,(LOT)
0653,UNK,3 E VIAN,SEQUOYAH,OK,35.5,-94.92,80 FOOT PATIO ROOF BLOWN OFF HOUSE...MADE FROM 2X4 WOOD AND SHINGLE. TREE DAMAGE. (TSA)
0711,70,FRISCO,COLLIN,TX,33.14,-96.81,SPOTTER REPORTED 70 MPH WIND IN FRISCO (FWD)
0715,60,SCHERERVILLE,LAKE,IN,41.49,-87.45,(LOT)
0716,UNK,WESLEY,MADISON,AR,36.03,-93.92,ROOF DAMAGE TO WESLEY POST OFFICE...SHINGLES BLOWN OFF. ALSO ROOF DAMAGE TO HOME 2E WESLEY. (TSA)
0740,UNK,SILEX,LINCOLN,MO,39.13,-91.06,POSSIBLE DAMAGE IN SILEX. EMERGENCY VEHICLES HAVE BEEN DISPATCH TO THE AREA. (LSX)
0744,63,PANAMA,LE FLORE,OK,35.17,-94.67,KFSM WEATHER NET SYSTEM (TSA)
0802,60,HEAVENER,LE FLORE,OK,34.89,-94.6,(TSA)
0810,UNK,EDWARDSBURG,CASS,MI,41.8,-86.08,MULTIPLE TREES DOWN AND POWER OUTTAGES (IWX)
0820,58,WASHINGTON,FRANKLIN,MO,38.55,-91.01,(LSX)
0822,UNK,10 ESE CASSOPOLIS,CASS,MI,41.86,-85.83,LARGE TREE DOWN BLOCKING ROAD M60 (IWX)
0823,58,OCTAVIA,LE FLORE,OK,34.53,-94.7,(TSA)
0830,UNK,2 E SALEM,DENT,MO,37.65,-91.5,ROOF BLOWN OFF A LARGE SHED. (SGF)
0830,UNK,ELKHART,ELKHART,IN,41.69,-85.97,1 LARGE TREE DOWN (IWX)
0835,UNK,CHESTERFIELD,MACOUPIN,IL,39.26,-90.07,HOUSE AND BARN DESTROYED. NUMEROUS TREES AND POWER LINES DOWN. (LSX)
0855,UNK,10 W CARLINVILLE,MACOUPIN,IL,39.28,-90.07,ABANDONED HOUSE BLOWN DOWN. 4 POWER POLES ALSO DOWN. (LSX)
0855,70,DIVERNON,SANGAMON,IL,39.57,-89.65,(ILX)
0858,UNK,BAKERSFIELD,OZARK,MO,36.52,-92.14,TREES DOWN ACROSS ROAD. (SGF)
0900,UNK,2 E GLENNON,BOLLINGER,MO,37.19,-89.88,DOWNED AND UPROOTED TREES WITH SOME THROWN INTO NEARBY CREEK. OCCURRED ALONG HIGHWAY T EAST OF COMMUNITY. LATE REPORT. (PAH)
0900,61,8 E PETERSBURG,MENARD,IL,40.01,-89.7,REPORT FROM SWOP NETWORK. (ILX)
0900,UNK,MINONK,WOODFORD,IL,40.9,-89.04,TWO INCH DIAMETER TREE LIMBS DOWN IN MINONK...REPORTED BY COOP OBSERVER. (ILX)
0908,62,7 NE LINCOLN,LOGAN,IL,40.22,-89.27,REPORT FROM SWOP NETWORK. (ILX)
0920,70,PAWNEE,SANGAMON,IL,39.59,-89.58,(ILX)
0920,UNK,1 N PAWNEE,SANGAMON,IL,39.61,-89.58,POWER POLES BROKE FROM IL-104 NORTH TO DICKEY RD. (ILX)
0925,UNK,SAYBROOK,MCLEAN,IL,40.43,-88.53,DAMAGE RESULTED FROM A MICROBURST WITH ESTIMATED 70 MPH WINDS. DAMAGE TO TREES,ROOFS,AND MACHINE SHEDS. 28 STRUCTURES DAMAGED,AND 28 TREES DAMAGED. (ILX)
0932,60,2 E DECATUR,MACON,IL,39.85,-88.9,ON EAST SIDE OF DECATUR. (ILX)
1005,60,STE. GENEVIEVE,STE. GENEVIEVE,MO,37.97,-90.05,(LSX)
1006,UNK,2 W CRESCENT CITY,IROQUOIS,IL,40.77,-87.89,WINDOWS BLOWN OUT OUF HOUSE. CAR PORT DESTROYED. TWO MILES WEST OF CRESCENT CITY ALONG U.S. HIGHWAY 24. (LOT)
1007,68,2 SW BELLEVILLE,ST. CLAIR,IL,38.51,-90.03,(LSX)
1010,UNK,7 SW BUCKLEY,FORD,IL,40.53,-88.13,TWO CAMPER TRAILERS OVERTURNED ON INTERSTATE 57 SOUTH OF BUCKLEY. (LOT)
1029,UNK,THOMASVILLE,OREGON,MO,36.79,-91.53,TREES DOWN NEAR TOWN. (SGF)
1130,UNK,BREMEN,MARSHALL,IN,41.45,-86.15,NUMEROUS TREES DOWN FROM WALKERTON TO BREMEN. (IWX)
Time,Size,Location,County,State,Lat,Lon,Comments
1236,100,6 N ABILENE,DICKINSON,KS,39,-97.21,(TOP)
1241,88,LONGFORD,CLAY,KS,39.17,-97.33,(TOP)
1254,100,2 E AMERICUS,LYON,KS,38.51,-96.22,NEAR AMERICUS (TOP)
1254,100,10 ENE ABILENE,DICKINSON,KS,38.97,-97.04,(TOP)
1304,100,MORGANVILLE,CLAY,KS,39.47,-97.2,(TOP)
1305,75,6 N GLASCO,CLOUD,KS,39.44,-97.84,(TOP)
1312,100,LINN,WASHINGTON,KS,39.68,-97.08,(TOP)
1316,100,5 NE ADMIRE,LYON,KS,38.69,-96.04,(TOP)
1320,88,10 N BELLAIRE,SMITH,KS,39.94,-98.68,(GID)
1323,125,BURLINGAME,OSAGE,KS,38.75,-95.83,(TOP)
1327,175,LINCOLNVILLE,MARION,KS,38.49,-96.96,QUARTER TO GOLFBALL-SIZED (ICT)
1327,88,WASHINGTON,WASHINGTON,KS,39.82,-97.05,COVERS GROUND (TOP)
1330,175,TOPEKA,SHAWNEE,KS,39.05,-95.68,(TOP)
1337,150,6 E ALTA VISTA,WABAUNSEE,KS,38.86,-96.38,COVERS GROUND (TOP)
1338,175,1 N BURDICK,MORRIS,KS,38.58,-96.85,(TOP)
1339,200,BURLINGAME,OSAGE,KS,38.75,-95.83,SHERIFF REPORTS SIGNIFICANT DAMAGE TO PROPERTY (TOP)
1345,100,3 NE JANSEN,JEFFERSON,NE,40.22,-97.04,(OAX)
1348,100,3 SE TOPEKA,SHAWNEE,KS,39.02,-95.64,(TOP)
1349,100,4 SSW MAPLE HILL,WABAUNSEE,KS,39.03,-96.06,(TOP)
1350,88,1 W BELVIDERE,THAYER,NE,40.25,-97.58,(GID)
1350,75,SHICKLEY,FILLMORE,NE,40.42,-97.72,(GID)
1350,75,EXETER,FILLMORE,NE,40.64,-97.45,(GID)
1355,75,1 NW FORSYTH,TANEY,MO,36.7,-93.13,(SGF)
1355,175,1 S NOBLE,OZARK,MO,36.73,-92.57,(SGF)
1355,175,SPRINGFIELD,GREENE,MO,37.2,-93.29,(SGF)
1355,100,3 NW FORMOSO,JEWELL,KS,39.81,-98.03,(GID)
1355,75,4 W DE WITT,SALINE,NE,40.4,-97,COVERING THE GROUND. (OAX)
1400,250,BURLINGAME,OSAGE,KS,38.75,-95.83,(TOP)
1402,125,RAMONA,MARION,KS,38.6,-97.06,HALF DOLLAR SIZE WITH A FEW BIGGER STONES. (ICT)
1405,175,2 NE JUNCTION CITY,GEARY,KS,39.05,-96.8,NEAR FORT RILEY (TOP)
1406,100,5 NE WHITE CITY,MORRIS,KS,38.85,-96.67,(TOP)
1406,175,3 W LAWRENCE,DOUGLAS,KS,38.97,-95.29,(TOP)
1406,100,ROSSVILLE,SHAWNEE,KS,39.14,-95.95,(TOP)
1407,100,2 E EXETER,FILLMORE,NE,40.64,-97.41,REPORTED VEHICLE ACCIDENT...VEHICLE SLID OFF THE ROAD DUE TO HAIL ACCUMULATION ON ROADWAY. (GID)
1410,75,CRETE,SALINE,NE,40.63,-96.96,COVERING THE GROUND. (OAX)
1417,175,8 S OSKALOOSA,JEFFERSON,KS,39.1,-95.31,(TOP)
1418,88,LINCOLN,LANCASTER,NE,40.82,-96.69,(OAX)
1420,100,10 N HEBRON,THAYER,NE,40.31,-97.59,OFF DUTY NWS EMPLOYEE SAW HAIL DRIFTS ALONG HIGHWAY 81 NEAR THE THAYER AND FILLMORE COUNTY LINES...WITH HAIL STONES UP TO ONE INCH IN DIAMETER. (GID)
1423,200,18 ESE JUNCTION CITY,GEARY,KS,38.93,-96.52,HAIL WAS MEASURED AT 2.25 INCHES (TOP)
1427,88,JUNCTION CITY,GEARY,KS,39.03,-96.83,(TOP)
1430,75,10 SE AUBURN,NEMAHA,NE,40.29,-95.71,(OAX)
1430,100,OHIOWA,FILLMORE,NE,40.41,-97.45,(GID)
1432,175,ALMA,WABAUNSEE,KS,39.02,-96.29,(TOP)
1433,275,BASEHOR,LEAVENWORTH,KS,39.13,-94.93,(EAX)
1436,275,5 W VALLEY FALLS,JEFFERSON,KS,39.34,-95.55,(TOP)
1437,100,PERRY,JEFFERSON,KS,39.08,-95.39,(TOP)
1440,100,MANHATTAN,RILEY,KS,39.18,-96.57,NUMEROUS REPORTS OF QUARTER SIZED HAIL WITHIN THE CITY LIMITS BETWEEN 0840-0844. (TOP)
1446,175,WEATHERBY LAKE,PLATTE,MO,39.24,-94.7,I-435 AND 152 HWY (EAX)
1450,100,ARRINGTON,ATCHISON,KS,39.47,-95.53,(EAX)
1450,88,1 W BELVIDERE,THAYER,NE,40.25,-97.58,(GID)
1451,200,BELVUE,POTTAWATOMIE,KS,39.22,-96.18,(TOP)
1456,275,GLADSTONE,CLAY,MO,39.23,-94.48,(EAX)
1500,88,LAWRENCE,NUCKOLLS,NE,40.29,-98.26,(GID)
1504,75,SMITHVILLE,CLAY,MO,39.4,-94.58,(EAX)
1504,88,ALVO,CASS,NE,40.87,-96.39,(OAX)
1505,100,4 W BOSTWICK,NUCKOLLS,NE,40.04,-98.26,(GID)
1510,88,1 W BELVIDERE,THAYER,NE,40.25,-97.58,(GID)
1512,100,EXCELSIOR SPRINGS,CLAY,MO,39.35,-94.23,(EAX)
1513,125,1 SE ESKRIDGE,WABAUNSEE,KS,38.85,-96.1,(TOP)
1513,88,10 N BELLAIRE,SMITH,KS,39.94,-98.68,(GID)
1515,75,1 W MILFORD,SEWARD,NE,40.77,-97.07,(OAX)
1521,125,LAWRENCE,DOUGLAS,KS,38.97,-95.24,(TOP)
1524,175,1 N ATCHISON,ATCHISON,KS,39.58,-95.13,ALONG K7 HWY (EAX)
1525,175,3 N RICHMOND,RAY,MO,39.32,-93.98,AT B HWY AND 13 HWY. (EAX)
1525,75,PAPILLION,SARPY,NE,41.16,-96.04,PENNY TO MOSTLY PEA SIZE COVERING THE GROUND. (OAX)
1528,75,NETAWAKA,JACKSON,KS,39.6,-95.72,(TOP)
1530,125,TOPEKA,SHAWNEE,KS,39.05,-95.68,(TOP)
1530,100,HOLT,CLAY,MO,39.45,-94.35,(EAX)
1535,75,2 N WEEPING WATER,CASS,NE,40.9,-96.14,(OAX)
1536,175,ST JOSEPH,BUCHANAN,MO,39.77,-94.85,(EAX)
1538,75,LINCOLN,LANCASTER,NE,40.82,-96.69,(OAX)
1540,75,YUTAN,SAUNDERS,NE,41.24,-96.4,(OAX)
1610,175,VALLEY FALLS,JEFFERSON,KS,39.34,-95.46,(TOP)
1629,175,6 N EASTON,LEAVENWORTH,KS,39.8,-94.43,(EAX)
1630,175,2 SW ATCHISON,ATCHISON,KS,39.55,-95.16,ALONG US HWY 59 (EAX)
1630,75,4 NW THURMAN,FREMONT,IA,40.86,-95.8,(OAX)
1645,75,5 S MARYVILLE,NODAWAY,MO,40.28,-94.87,HAIL COVERING GROUND (EAX)
1656,88,ROCKPORT,ATCHISON,MO,40.42,-95.52,UP TO NICKEL SIZED HAIL LASTING 3-5 MINUTES (EAX)
1659,75,LAKE WAUKOMIS,PLATTE,MO,39.23,-94.72,(EAX)
1659,125,2 SW ST JOSEPH,BUCHANAN,MO,39.75,-94.88,(EAX)
1705,100,HOLLIDAY,MONROE,MO,39.49,-92.13,WIND GUSTS ESTIMATED AT 50 MPH. (LSX)
1720,75,5 ESE SHELBINA,SHELBY,MO,39.66,-91.95,HAIL COVERS THE GROUND (LSX)
1730,88,10 W HANNIBAL,MARION,MO,39.71,-91.57,(LSX)
1740,75,6 SE GENTRYVILLE,GENTRY,MO,40.07,-94.27,(EAX)
1745,75,HANNIBAL,MARION,MO,39.71,-91.38,(LSX)
1745,75,FALL CREEK,ADAMS,IL,39.78,-91.3,HAIL COVERS THE HIGHWAY. (LSX)
1805,88,KINGSTON,ADAMS,IL,39.82,-91.03,(LSX)
1826,175,GRENOLA,ELK,KS,37.35,-96.45,(ICT)
