GROOP,TAXA,BIOM,KOUNT,ISAMP
Nematoda,Halalaimus, ,761,200038
Nematoda,Gnomoxyala, ,127,200038
Nematoda,Daptonema, ,380,200038
Nematoda,Chromadora, ,127,200038
Nematoda,Bolbolaimus, ,127,200038
Nematoda,Batheurystomina, ,127,200038
Nematoda,Syringolaimus, ,507,200038
Nematoda,Sabatieria, ,1901,200038
Nematoda,Parodontophora, ,127,200038
Nematoda,Paralongicyatholaimus, ,127,200038
Nematoda,Monhystera, ,761,200038
Nematoda,Microlaimus, ,761,200038
Nematoda,Metalinhomoeus, ,127,200038
Nematoda,Acantholaimus, ,634,200038
Copepoda,Total, ,0,200038
Ostracoda,Total, ,0,200038
Polychaeta,Total, ,100,200038
Oligochaeta,Total, ,0,200038
Tanaidacea,Total, ,50,200038
Tardigrada,Total, ,0,200038
Turbellaria,Total, ,0,200038
Nauplii,Total, ,0,200038
Kinorhyncha,Total, ,0,200038
Isopoda,Total, ,50,200038
Amphipoda,Total, ,0,200038
Ophiuroidea,Total, ,0,200038
Sipunculida,Total, ,0,200038
Gastrotricha,Total, ,0,200038
Nematoda,Total,2.6830,4450,200039
Nematoda,Syringolaimus, ,742,200039
Nematoda,Sabatieria, ,742,200039
Nematoda,Monhystera, ,1112,200039
Nematoda,Daptonema, ,1483,200039
Nematoda,Acantholaimus, ,371,200039
Copepoda,Total, ,0,200039
Ostracoda,Total, ,0,200039
Polychaeta,Total, ,100,200039
Oligochaeta,Total, ,0,200039
Tanaidacea,Total, ,50,200039
Tardigrada,Total, ,0,200039
Turbellaria,Total, ,0,200039
Nauplii,Total, ,0,200039
Kinorhyncha,Total, ,0,200039
Isopoda,Total, ,0,200039
Amphipoda,Total, ,0,200039
Ophiuroidea,Total, ,0,200039
Sipunculida,Total, ,0,200039
Gastrotricha,Total, ,0,200039
Nematoda,Total,.9535,1650,200040
Nematoda,Chromadora, ,127,200040
Copepoda,Total, ,50,200040
Ostracoda,Total, ,0,200040
Polychaeta,Total, ,0,200040
Oligochaeta,Total, ,0,200040
Tanaidacea,Total, ,0,200040
Tardigrada,Total, ,0,200040
Turbellaria,Total, ,0,200040
Nematoda,Theristus, ,381,200040
Nematoda,Sabatieria, ,254,200040
Nematoda,Monhystera, ,761,200040
Nematoda,Marylynnia, ,127,200040
Nauplii,Total, ,0,200040
Kinorhyncha,Total, ,0,200040
Isopoda,Total, ,0,200040
Amphipoda,Total, ,0,200040
Ophiuroidea,Total, ,0,200040
Sipunculida,Total, ,0,200040
Gastrotricha,Total, ,0,200040
Nematoda,Total,5.1375,9300,200049
Nematoda,Acantholaimus, ,423,200049
Copepoda,Total, ,800,200049
Ostracoda,Total, ,50,200049
Polychaeta,Total, ,150,200049
Oligochaeta,Total, ,0,200049
Tanaidacea,Total, ,0,200049
Tardigrada,Total, ,50,200049
Turbellaria,Total, ,0,200049
Nematoda,Desmoscolex, ,592,200049
Nematoda,Desmodora, ,169,200049
Nematoda,Daptonema, ,1015,200049
Nematoda,Chromadora, ,507,200049
Nematoda,Campylaimus, ,422,200049
Nematoda,Calomicrolaimus, ,85,200049
Nematoda,Bolbolaimus, ,423,200049
Nematoda,Amphimonhystrella, ,85,200049
Nematoda,Marylynnia, ,85,200049
Nematoda,Linhystera, ,169,200049
Nematoda,Leptolaimus, ,85,200049
Nematoda,Halalaimus, ,169,200049
Nematoda,Greeffiella, ,169,200049
Nematoda,Eudraconema, ,85,200049
Nematoda,Elzalia, ,85,200049
Nematoda,Diplopeltula, ,85,200049
Nematoda,Sphaerolaimus, ,254,200049
Nematoda,Southerniella, ,254,200049
Nematoda,Sabatieria, ,338,200049
Nematoda,Quadricoma, ,423,200049
Nematoda,Pselionema, ,84,200049
Nematoda,Prochromadorella, ,169,200049
Nematoda,Pomponema, ,169,200049
Nematoda,Pareudesmoscolex, ,423,200049
Nematoda,Tricoma, ,84,200049
Nematoda,Trefusia, ,84,200049
Nematoda,Theristus, ,169,200049
Nematoda,Tarvaia, ,84,200049
Nematoda,Spilophorella, ,254,200049
Nematoda,Paramonohystera, ,84,200049
Nematoda,Oxystomina, ,254,200049
Nematoda,Monhystera, ,676,200049
Nematoda,Microlaimus, ,338,200049
Nematoda,Metalinhomoeus, ,84,200049
Nematoda,Metadesmolaimus, ,254,200049
Nematoda,Metacomesoma, ,84,200049
Nematoda,Metachromadora, ,84,200049
Nauplii,Total, ,150,200049
Kinorhyncha,Total, ,0,200049
Isopoda,Total, ,0,200049
Amphipoda,Total, ,0,200049
Ophiuroidea,Total, ,0,200049
Sipunculida,Total, ,0,200049
Gastrotricha,Total, ,0,200049
Nematoda,Total,4.8635,6950,200050
Nematoda,Dichromadora, ,110,200050
Nematoda,Desmoscolex, ,110,200050
Nematoda,Daptonema, ,772,200050
Nematoda,Comesoma, ,110,200050
Nematoda,Chromadora, ,441,200050
Nematoda,Calomicrolaimus, ,221,200050
Nematoda,Bolbolaimus, ,441,200050
Nematoda,Antomicron, ,110,200050
Nematoda,Oxystomina, ,221,200050
Nematoda,Nygmatonchus, ,110,200050
Nematoda,Monhystera, ,1325,200050
Nematoda,Microlaimus, ,331,200050
Nematoda,Metacomesoma, ,221,200050
Nematoda,Longicyatholaimus, ,110,200050
Nematoda,Linhystera, ,331,200050
Nematoda,Leptolaimoides, ,221,200050
Nematoda,Acantholaimus, ,331,200050
Copepoda,Total, ,200,200050
Ostracoda,Total, ,50,200050
Polychaeta,Total, ,200,200050
Oligochaeta,Total, ,0,200050
Tanaidacea,Total, ,0,200050
Tardigrada,Total, ,0,200050
Turbellaria,Total, ,50,200050
Nematoda,Southerniella, ,110,200050
Nematoda,Sabatieria, ,221,200050
Nematoda,Quadricoma, ,110,200050
Nematoda,Pselionema, ,110,200050
Nematoda,Promonhystera, ,110,200050
Nematoda,Pierrickia, ,221,200050
Nematoda,Pareudesmoscolex, ,221,200050
Nematoda,Paramonohystera, ,221,200050
Nematoda,Theristus, ,110,200050
Nauplii,Total, ,0,200050
Kinorhyncha,Total, ,0,200050
Isopoda,Total, ,0,200050
Amphipoda,Total, ,0,200050
Ophiuroidea,Total, ,0,200050
Sipunculida,Total, ,50,200050
Gastrotricha,Total, ,0,200050
Nematoda,Total,12.1640,14350,200051
Nematoda,Trefusia, ,191,200051
Nematoda,Sphaerolaimus, ,957,200051
Nematoda,Southerniella, ,191,200051
Nematoda,Sabatieria, ,1339,200051
Nematoda,Pselionema, ,191,200051
Nematoda,Pareudesmoscolex, ,575,200051
Nematoda,Oxystomina, ,574,200051
Nematoda,Neotonchus, ,191,200051
Nematoda,Monhystera, ,2296,200051
Nematoda,Microlaimus, ,765,200051
Nematoda,Metadesmolaimus, ,191,200051
Nematoda,Metacomesoma, ,192,200051
Nematoda,Linhystera, ,2870,200051
Nematoda,Halichoanolaimus, ,191,200051
Nematoda,Acantholaimus, ,383,200051
Copepoda,Total, ,100,200051
Ostracoda,Total, ,50,200051
Polychaeta,Total, ,100,200051
Oligochaeta,Total, ,0,200051
Tanaidacea,Total, ,0,200051
Tardigrada,Total, ,0,200051
Turbellaria,Total, ,0,200051
Nematoda,Halalaimus, ,383,200051
Nematoda,Elzalia, ,192,200051
Nematoda,Desmoscolex, ,765,200051
Nematoda,Comesoma, ,765,200051
Nematoda,Cobbia, ,191,200051
Nematoda,Chromadorita, ,191,200051
Nematoda,Campylaimus, ,192,200051
Nematoda,Bolbolaimus, ,574,200051
Nauplii,Total, ,150,200051
Kinorhyncha,Total, ,0,200051
Isopoda,Total, ,0,200051
Amphipoda,Total, ,0,200051
Ophiuroidea,Total, ,0,200051
Sipunculida,Total, ,0,200051
Gastrotricha,Total, ,0,200051
Nematoda,Total,2.8375,7800,200052
Nematoda,Acantholaimus, ,390,200052
Copepoda,Total, ,50,200052
Ostracoda,Total, ,0,200052
Polychaeta,Total, ,200,200052
Oligochaeta,Total, ,0,200052
Tanaidacea,Total, ,0,200052
Tardigrada,Total, ,0,200052
Turbellaria,Total, ,0,200052
Nematoda,Metalinhomoeus, ,97,200052
Nematoda,Metadesmolaimus, ,293,200052
Nematoda,Longicyatholaimus, ,195,200052
Nematoda,Leptolaimus, ,195,200052
Nematoda,Halalaimus, ,293,200052
Nematoda,Greeffiella, ,487,200052
Nematoda,Elzalia, ,97,200052
Nematoda,Disconema, ,98,200052
Nematoda,Theristus, ,195,200052
Nematoda,Synonchiella, ,98,200052
Nematoda,Sphaerolaimus, ,97,200052
Nematoda,Sabatieria, ,1268,200052
Nematoda,Prochromadorella, ,97,200052
Nematoda,Paralongicyatholaimus, ,97,200052
Nematoda,Neotonchus, ,195,200052
Nematoda,Monhystera, ,1463,200052
Nematoda,Microlaimus, ,390,200052
Nematoda,Metasphaerolaimus, ,97,200052
Nematoda,Daptonema, ,195,200052
Nematoda,Chromadorita, ,97,200052
Nematoda,Chromadorella, ,293,200052
Nematoda,Cervonema, ,195,200052
Nematoda,Bolbolaimus, ,195,200052
Nematoda,Batheurystomina, ,98,200052
Nematoda,Anticoma, ,195,200052
Nematoda,Actinonema, ,390,200052
Nauplii,Total, ,0,200052
Kinorhyncha,Total, ,0,200052
Isopoda,Total, ,0,200052
Amphipoda,Total, ,0,200052
Ophiuroidea,Total, ,0,200052
Sipunculida,Total, ,0,200052
Gastrotricha,Total, ,0,200052
Nematoda,Total,.9345,2250,200053
Nematoda,Acantholaimus, ,102,200053
Copepoda,Total, ,0,200053
Ostracoda,Total, ,0,200053
Polychaeta,Total, ,100,200053
Oligochaeta,Total, ,0,200053
Tanaidacea,Total, ,0,200053
Tardigrada,Total, ,0,200053
Turbellaria,Total, ,0,200053
Nematoda,Syringolaimus, ,205,200053
Nematoda,Sabatieria, ,716,200053
Nematoda,Pomponema, ,102,200053
Nematoda,Phanodermopsis, ,102,200053
Nematoda,Parodontophora, ,102,200053
Nematoda,Monhystera, ,614,200053
Nematoda,Halalaimus, ,205,200053
Nematoda,Anticoma, ,102,200053
Nauplii,Total, ,0,200053
Kinorhyncha,Total, ,0,200053
Isopoda,Total, ,0,200053
Amphipoda,Total, ,0,200053
Ophiuroidea,Total, ,0,200053
Sipunculida,Total, ,0,200053
Gastrotricha,Total, ,0,200053
Nematoda,Total,1.5030,4750,200054
Nematoda,Oxystomina, ,66,200054
Nematoda,Odontophora, ,198,200054
Nematoda,Nannolaimoides, ,132,200054
Nematoda,Microlaimus, ,66,200054
Nematoda,Metadesmolaimus, ,462,200054
Nematoda,Marylynnia, ,66,200054
Nematoda,Longicyatholaimus, ,66,200054
Nematoda,Halalaimus, ,132,200054
Nematoda,Viscosia, ,395,200054
Nematoda,Trefusia, ,66,200054
Nematoda,Theristus, ,66,200054
Nematoda,Terschellingia, ,66,200054
Nematoda,Setosabatieria, ,66,200054
Nematoda,Sabatieria, ,923,200054
Nematoda,Quadricoma, ,66,200054
Nematoda,Pomponema, ,66,200054
Nematoda,Paracyatholaimoides, ,66,200054
Nematoda,Acantholaimus, ,132,200054
Copepoda,Total, ,0,200054
Ostracoda,Total, ,0,200054
Polychaeta,Total, ,50,200054
Oligochaeta,Total, ,0,200054
Tanaidacea,Total, ,0,200054
Tardigrada,Total, ,0,200054
Turbellaria,Total, ,50,200054
Nematoda,Gnomoxyala, ,66,200054
Nematoda,Eleutherolaimus, ,66,200054
Nematoda,Diplolaimella, ,66,200054
Nematoda,Dichromadora, ,66,200054
Nematoda,Daptonema, ,1122,200054
Nematoda,Campylaimus, ,132,200054
Nematoda,Calomicrolaimus, ,66,200054
Nematoda,Amphimonhystera, ,66,200054
Nauplii,Total, ,50,200054
Kinorhyncha,Total, ,0,200054
Isopoda,Total, ,0,200054
Amphipoda,Total, ,0,200054
Ophiuroidea,Total, ,0,200054
Sipunculida,Total, ,0,200054
Gastrotricha,Total, ,0,200054
Nematoda,Total,.3495,1950,200055
Nematoda,Sabatieria, ,195,200055
Nematoda,Promonhystera, ,195,200055
Nematoda,Pomponema, ,195,200055
Nematoda,Oxystomina, ,195,200055
Nematoda,Monhystera, ,585,200055
Nematoda,Halalaimus, ,195,200055
Nematoda,Bolbolaimus, ,195,200055
Nematoda,Acantholaimus, ,195,200055
Copepoda,Total, ,50,200055
Ostracoda,Total, ,0,200055
Polychaeta,Total, ,0,200055
Oligochaeta,Total, ,0,200055
Tanaidacea,Total, ,0,200055
Tardigrada,Total, ,0,200055
Turbellaria,Total, ,0,200055
Nauplii,Total, ,0,200055
Kinorhyncha,Total, ,0,200055
Isopoda,Total, ,0,200055
Amphipoda,Total, ,0,200055
Ophiuroidea,Total, ,0,200055
Sipunculida,Total, ,0,200055
Gastrotricha,Total, ,0,200055
Nematoda,Total,.2505,850,200056
Nematoda,Bolbolaimus, ,142,200056
Copepoda,Total, ,0,200056
Ostracoda,Total, ,0,200056
Polychaeta,Total, ,0,200056
Oligochaeta,Total, ,0,200056
Tanaidacea,Total, ,0,200056
Tardigrada,Total, ,0,200056
Turbellaria,Total, ,0,200056
Nematoda,Theristus, ,141,200056
Nematoda,Oxystomina, ,142,200056
Nematoda,Monhystera, ,142,200056
Nematoda,Longicyatholaimus, ,141,200056
Nematoda,Daptonema, ,142,200056
Nauplii,Total, ,0,200056
Kinorhyncha,Total, ,0,200056
Isopoda,Total, ,0,200056
Amphipoda,Total, ,0,200056
Ophiuroidea,Total, ,0,200056
Sipunculida,Total, ,0,200056
Gastrotricha,Total, ,0,200056
Nematoda,Total,5.6910,14250,200065
Nematoda,Acantholaimus, ,411,200065
Copepoda,Total, ,400,200065
Ostracoda,Total, ,50,200065
Polychaeta,Total, ,100,200065
Oligochaeta,Total, ,0,200065
Tanaidacea,Total, ,0,200065
Tardigrada,Total, ,0,200065
Turbellaria,Total, ,0,200065
Nematoda,Eudraconema, ,548,200065
Nematoda,Diplopeltula, ,274,200065
Nematoda,Desmoscolex, ,1781,200065
Nematoda,Daptonema, ,274,200065
Nematoda,Chromadorita, ,274,200065
Nematoda,Calomicrolaimus, ,685,200065
Nematoda,Bolbolaimus, ,959,200065
Nematoda,Amphimonhystrella, ,137,200065
Nematoda,Pselionema, ,137,200065
Nematoda,Prochromadorella, ,1096,200065
Nematoda,Pierrickia, ,137,200065
Nematoda,Pareudesmoscolex, ,822,200065
Nematoda,Paramonohystera, ,274,200065
Nematoda,Oxystomina, ,137,200065
Nematoda,Nygmatonchus, ,138,200065
Nematoda,Neochromadora, ,137,200065
Nematoda,Tricoma, ,548,200065
Nematoda,Sphaerolaimus, ,411,200065
Nematoda,Sabatieria, ,274,200065
Nematoda,Quadricoma, ,1371,200065
Nematoda,Monhystera, ,685,200065
Nematoda,Molgolaimus, ,274,200065
Nematoda,Microlaimus, ,1096,200065
Nematoda,Metadesmolaimus, ,274,200065
Nematoda,Marylynnia, ,137,200065
Nematoda,Linhystera, ,274,200065
Nematoda,Leptolaimus, ,548,200065
Nematoda,Halalaimus, ,137,200065
Nauplii,Total, ,550,200065
Kinorhyncha,Total, ,50,200065
Isopoda,Total, ,0,200065
Amphipoda,Total, ,0,200065
Ophiuroidea,Total, ,0,200065
Sipunculida,Total, ,0,200065
Gastrotricha,Total, ,0,200065
Nematoda,Total,3.5180,10000,200066
Nematoda,Dichromadora, ,139,200066
Nematoda,Desmoscolex, ,555,200066
Nematoda,Daptonema, ,1667,200066
Nematoda,Cobbia, ,277,200066
Nematoda,Chromadorella, ,139,200066
Nematoda,Bolbolaimus, ,416,200066
Nematoda,Araeolaimus, ,277,200066
Nematoda,Actinonema, ,139,200066
Nematoda,Monhystera, ,417,200066
Nematoda,Microlaimus, ,834,200066
Nematoda,Metadesmolaimus, ,417,200066
Nematoda,Linhystera, ,139,200066
Nematoda,Leptolaimus, ,278,200066
Nematoda,Halalaimus, ,139,200066
Nematoda,Diplopeltula, ,139,200066
Nematoda,Diplolaimella, ,139,200066
Nematoda,Acantholaimus, ,1389,200066
Copepoda,Total, ,350,200066
Ostracoda,Total, ,50,200066
Polychaeta,Total, ,150,200066
Oligochaeta,Total, ,0,200066
Tanaidacea,Total, ,0,200066
Tardigrada,Total, ,0,200066
Turbellaria,Total, ,50,200066
Nematoda,Tricoma, ,556,200066
Nematoda,Quadricoma, ,417,200066
Nematoda,Pselionema, ,278,200066
Nematoda,Promonhystera, ,555,200066
Nematoda,Pareudesmoscolex, ,278,200066
Nematoda,Paramonohystera, ,139,200066
Nematoda,Oxystomina, ,277,200066
Nauplii,Total, ,250,200066
Kinorhyncha,Total, ,0,200066
Isopoda,Total, ,0,200066
Amphipoda,Total, ,0,200066
Ophiuroidea,Total, ,0,200066
Sipunculida,Total, ,0,200066
Gastrotricha,Total, ,0,200066
Nematoda,Total,13.2190,11850,200067
Nematoda,Microlaimus, ,889,200067
Nematoda,Metasphaerolaimus, ,148,200067
Nematoda,Metadesmolaimus, ,296,200067
Nematoda,Marylynnia, ,148,200067
Nematoda,Leptolaimus, ,148,200067
Nematoda,Greeffiella, ,148,200067
Nematoda,Elzalia, ,148,200067
Nematoda,Diplopeltula, ,148,200067
Nematoda,Tricoma, ,148,200067
Nematoda,Spilophorella, ,148,200067
Nematoda,Sphaerolaimus, ,1037,200067
Nematoda,Southerniella, ,148,200067
Nematoda,Quadricoma, ,296,200067
Nematoda,Promonhystera, ,148,200067
Nematoda,Prochromadorella, ,148,200067
Nematoda,Pareudesmoscolex, ,148,200067
Nematoda,Paramonohystera, ,148,200067
Nematoda,Oxystomina, ,593,200067
Nematoda,Neochromadora, ,593,200067
Nematoda,Monhystera, ,593,200067
Nematoda,Diplopeltoides, ,148,200067
Nematoda,Desmoscolex, ,297,200067
Nematoda,Daptonema, ,592,200067
Nematoda,Chromadora, ,741,200067
Nematoda,Campylaimus, ,444,200067
Nematoda,Bolbolaimus, ,741,200067
Nematoda,Amphimonhystrella, ,148,200067
Nematoda,Amphimonhystera, ,148,200067
Nematoda,Acantholaimus, ,2370,200067
Copepoda,Total, ,300,200067
Ostracoda,Total, ,50,200067
Polychaeta,Total, ,150,200067
Oligochaeta,Total, ,0,200067
Tanaidacea,Total, ,0,200067
Tardigrada,Total, ,0,200067
Turbellaria,Total, ,150,200067
Nauplii,Total, ,100,200067
Kinorhyncha,Total, ,0,200067
Isopoda,Total, ,0,200067
Amphipoda,Total, ,0,200067
Ophiuroidea,Total, ,0,200067
Sipunculida,Total, ,0,200067
Gastrotricha,Total, ,0,200067
Nematoda,Total,2.5420,8050,200068
Nematoda,Monhystera, ,3286,200068
Nematoda,Microlaimus, ,164,200068
Nematoda,Leptolaimus, ,493,200068
Nematoda,Lauratonema, ,164,200068
Nematoda,Halalaimus, ,657,200068
Nematoda,Daptonema, ,1314,200068
Nematoda,Chromadorella, ,493,200068
Nematoda,Cervonema, ,164,200068
Nematoda,Theristus, ,657,200068
Nematoda,Prochromadorella, ,164,200068
Nematoda,Oxystomina, ,165,200068
Nematoda,Neochromadora, ,164,200068
Nematoda,Acantholaimus, ,165,200068
Copepoda,Total, ,100,200068
Ostracoda,Total, ,0,200068
Polychaeta,Total, ,100,200068
Oligochaeta,Total, ,0,200068
Tanaidacea,Total, ,0,200068
Tardigrada,Total, ,0,200068
Turbellaria,Total, ,50,200068
Nauplii,Total, ,0,200068
Kinorhyncha,Total, ,0,200068
Isopoda,Total, ,0,200068
Amphipoda,Total, ,0,200068
Ophiuroidea,Total, ,0,200068
Sipunculida,Total, ,0,200068
Gastrotricha,Total, ,0,200068
Nematoda,Total,.5625,4750,200069
Nematoda,Antomicron, ,432,200069
Copepoda,Total, ,100,200069
Ostracoda,Total, ,50,200069
Polychaeta,Total, ,150,200069
Oligochaeta,Total, ,0,200069
Tanaidacea,Total, ,0,200069
Tardigrada,Total, ,0,200069
Turbellaria,Total, ,0,200069
Nematoda,Paramonohystera, ,216,200069
Nematoda,Monhystera, ,1728,200069
Nematoda,Microlaimus, ,216,200069
Nematoda,Halalaimus, ,216,200069
Nematoda,Daptonema, ,1295,200069
Nematoda,Chromadorella, ,432,200069
Nematoda,Cervonema, ,216,200069
Nauplii,Total, ,0,200069
Kinorhyncha,Total, ,0,200069
Isopoda,Total, ,0,200069
Amphipoda,Total, ,0,200069
Ophiuroidea,Total, ,0,200069
Sipunculida,Total, ,0,200069
Gastrotricha,Total, ,0,200069
Nematoda,Total,2.0860,7300,200070
Nematoda,Viscosia, ,140,200070
Nematoda,Theristus, ,421,200070
Nematoda,Sphaerolaimus, ,281,200070
Nematoda,Southerniella, ,140,200070
Nematoda,Oxystomina, ,281,200070
Nematoda,Monhystera, ,3510,200070
Nematoda,Halalaimus, ,562,200070
Nematoda,Elzalia, ,140,200070
Nematoda,Daptonema, ,843,200070
Nematoda,Cyatholaimus, ,281,200070
Nematoda,Comesoma, ,281,200070
Nematoda,Chromadorella, ,140,200070
Nematoda,Batheurystomina, ,140,200070
Nematoda,Acantholaimus, ,140,200070
Copepoda,Total, ,50,200070
Ostracoda,Total, ,0,200070
Polychaeta,Total, ,100,200070
Oligochaeta,Total, ,0,200070
Tanaidacea,Total, ,50,200070
Tardigrada,Total, ,0,200070
Turbellaria,Total, ,0,200070
Nauplii,Total, ,50,200070
Kinorhyncha,Total, ,0,200070
Isopoda,Total, ,50,200070
Amphipoda,Total, ,0,200070
Ophiuroidea,Total, ,0,200070
Sipunculida,Total, ,0,200070
Gastrotricha,Total, ,0,200070
Nematoda,Total,1.2465,5050,200071
Nematoda,Viscosia, ,140,200071
Nematoda,Syringolaimus, ,140,200071
Nematoda,Monhystera, ,2665,200071
Nematoda,Microlaimus, ,141,200071
Nematoda,Longicyatholaimus, ,140,200071
Nematoda,Linhomoeus, ,421,200071
Nematoda,Leptolaimus, ,140,200071
Nematoda,Lauratonema, ,140,200071
Nematoda,Halalaimus, ,141,200071
Nematoda,Daptonema, ,421,200071
Nematoda,Cyatholaimus, ,140,200071
Nematoda,Campylaimus, ,141,200071
Nematoda,Batheurystomina, ,140,200071
Nematoda,Antomicron, ,140,200071
Copepoda,Total, ,50,200071
Ostracoda,Total, ,0,200071
Polychaeta,Total, ,100,200071
Oligochaeta,Total, ,0,200071
Tanaidacea,Total, ,0,200071
Tardigrada,Total, ,0,200071
Turbellaria,Total, ,0,200071
Nauplii,Total, ,0,200071
Kinorhyncha,Total, ,0,200071
Isopoda,Total, ,0,200071
Amphipoda,Total, ,0,200071
Ophiuroidea,Total, ,0,200071
Sipunculida,Total, ,0,200071
Gastrotricha,Total, ,0,200071
Nematoda,Total,2.2310,4600,200072
Nematoda,Acantholaimus, ,242,200072
Copepoda,Total, ,50,200072
Ostracoda,Total, ,0,200072
Polychaeta,Total, ,50,200072
Oligochaeta,Total, ,0,200072
Tanaidacea,Total, ,0,200072
Tardigrada,Total, ,0,200072
Turbellaria,Total, ,0,200072
Nematoda,Phanodermella, ,242,200072
Nematoda,Monhystera, ,1695,200072
Nematoda,Microlaimus, ,484,200072
Nematoda,Micoletzkyia, ,243,200072
Nematoda,Linhystera, ,242,200072
Nematoda,Halalaimus, ,484,200072
Nematoda,Daptonema, ,968,200072
Nauplii,Total, ,0,200072
Kinorhyncha,Total, ,0,200072
Isopoda,Total, ,0,200072
Amphipoda,Total, ,0,200072
Ophiuroidea,Total, ,0,200072
Sipunculida,Total, ,0,200072
Gastrotricha,Total, ,0,200072
Nematoda,Total,2.7200,8250,200081
Nematoda,Vasostoma, ,262,200081
Nematoda,Theristus, ,785,200081
Nematoda,Sphaerolaimus, ,131,200081
Nematoda,Quadricoma, ,785,200081
Nematoda,Pselionema, ,131,200081
Nematoda,Prochromadorella, ,131,200081
Nematoda,Pareudesmoscolex, ,131,200081
Nematoda,Paramonohystera, ,393,200081
Nematoda,Oxystomina, ,131,200081
Nematoda,Nygmatonchus, ,131,200081
Nematoda,Nox, ,131,200081
Nematoda,Neotonchus, ,131,200081
Nematoda,Monhystera, ,262,200081
Nematoda,Microlaimus, ,654,200081
Nematoda,Metadesmolaimus, ,262,200081
Nematoda,Linhystera, ,131,200081
Nematoda,Leptolaimus, ,262,200081
Nematoda,Gnomoxyala, ,131,200081
Nematoda,Acantholaimus, ,524,200081
Copepoda,Total, ,300,200081
Ostracoda,Total, ,50,200081
Polychaeta,Total, ,100,200081
Oligochaeta,Total, ,0,200081
Tanaidacea,Total, ,0,200081
Tardigrada,Total, ,50,200081
Turbellaria,Total, ,0,200081
Nematoda,Desmoscolex, ,131,200081
Nematoda,Daptonema, ,1048,200081
Nematoda,Chromadora, ,262,200081
Nematoda,Cervonema, ,131,200081
Nematoda,Campylaimus, ,262,200081
Nematoda,Calomicrolaimus, ,262,200081
Nematoda,Antomicron, ,393,200081
Nematoda,Amphimonhystrella, ,262,200081
Nauplii,Total, ,300,200081
Kinorhyncha,Total, ,0,200081
Isopoda,Total, ,0,200081
Amphipoda,Total, ,0,200081
Ophiuroidea,Total, ,0,200081
Sipunculida,Total, ,0,200081
Gastrotricha,Total, ,0,200081
Nematoda,Total,3.7950,10250,200082
Nematoda,Desmoscolex, ,500,200082
Nematoda,Daptonema, ,1000,200082
Nematoda,Chromadorita, ,125,200082
Nematoda,Cervonema, ,125,200082
Nematoda,Campylaimus, ,250,200082
Nematoda,Calomicrolaimus, ,125,200082
Nematoda,Bolbolaimus, ,125,200082
Nematoda,Antomicron, ,250,200082
Nematoda,Theristus, ,625,200082
Nematoda,Quadricoma, ,375,200082
Nematoda,Pareudesmoscolex, ,375,200082
Nematoda,Paramonohystera, ,500,200082
Nematoda,Paralongicyatholaimus, ,125,200082
Nematoda,Oxystomina, ,250,200082
Nematoda,Monhystera, ,1000,200082
Nematoda,Microlaimus, ,375,200082
Nematoda,Vasostoma, ,125,200082
Nematoda,Metadesmolaimus, ,250,200082
Nematoda,Metacomesoma, ,250,200082
Nematoda,Longicyatholaimus, ,125,200082
Nematoda,Linhystera, ,625,200082
Nematoda,Leptolaimus, ,375,200082
Nematoda,Halalaimus, ,250,200082
Nematoda,Gnomoxyala, ,500,200082
Nematoda,Elzalia, ,125,200082
Nematoda,Acantholaimus, ,1500,200082
Copepoda,Total, ,250,200082
Ostracoda,Total, ,0,200082
Polychaeta,Total, ,100,200082
Oligochaeta,Total, ,0,200082
Tanaidacea,Total, ,0,200082
Tardigrada,Total, ,0,200082
Turbellaria,Total, ,0,200082
Nauplii,Total, ,150,200082
Kinorhyncha,Total, ,0,200082
Isopoda,Total, ,0,200082
Amphipoda,Total, ,0,200082
Ophiuroidea,Total, ,0,200082
Sipunculida,Total, ,0,200082
Gastrotricha,Total, ,0,200082
Nematoda,Total,18.7695,10750,200083
Nematoda,Acantholaimus, ,1214,200083
Copepoda,Total, ,100,200083
Ostracoda,Total, ,50,200083
Polychaeta,Total, ,0,200083
Oligochaeta,Total, ,0,200083
Tanaidacea,Total, ,0,200083
Tardigrada,Total, ,0,200083
Turbellaria,Total, ,0,200083
Nematoda,Leptolaimus, ,520,200083
Nematoda,Halalaimus, ,520,200083
Nematoda,Daptonema, ,867,200083
Nematoda,Comesoma, ,173,200083
Nematoda,Chromadorita, ,174,200083
Nematoda,Campylaimus, ,347,200083
Nematoda,Calomicrolaimus, ,347,200083
Nematoda,Antomicron, ,173,200083
Nematoda,Sphaerolaimus, ,173,200083
Nematoda,Sabatieria, ,520,200083
Nematoda,Quadricoma, ,174,200083
Nematoda,Pselionema, ,173,200083
Nematoda,Pareudesmoscolex, ,347,200083
Nematoda,Paramonohystera, ,520,200083
Nematoda,Oxystomina, ,520,200083
Nematoda,Nygmatonchus, ,173,200083
Nematoda,Monhystera, ,2427,200083
Nematoda,Microlaimus, ,174,200083
Nematoda,Metadesmolaimus, ,347,200083
Nematoda,Metacomesoma, ,174,200083
Nematoda,Marylynnia, ,173,200083
Nematoda,Linhystera, ,520,200083
Nauplii,Total, ,50,200083
Kinorhyncha,Total, ,0,200083
Isopoda,Total, ,0,200083
Amphipoda,Total, ,0,200083
Ophiuroidea,Total, ,0,200083
Sipunculida,Total, ,0,200083
