"Appendix 3. Summary statistics for daily discharge, dissolved-solids concentration, and dissolved-solids load data at 420 surface-water-quality monitoring sites in the Southwestern United States.",,,,,,,,,,,,,,,,,,,
"[Daily concentrations computed using statistical analysis of periodic water-chemistry samples; minimum and maximum daily concentrations reported here may have large uncertainties where they are higher and lower than highest and lowest concentration observed in sample data. Period for summary statistics varies by site and is listed in appendix 2. n/a, concentration value not available because of no flow conditions; n/c, not computed because site is on a canal or river in which discharge is a diversion or is mostly from irrigation returns flows; AZ, Arizona; CA, California; CO, Colorado; ID, Idaho; NM, New Mexico; NV, Nevada; TX, Texas; UT, Utah; WY, Wyoming. Site locations shown on plate 1]",,,,,,,,,,,,,,,,,,,
Surface-water-quality monitoring site,,"Daily discharge, cubic feet per second",,,,,,"Daily dissolved-solilds concentration, milligrams per liter",,,,,,"Daily dissolved-solids load, tons per day",,,,,
USGS site identifier,Name,Minimum,25th percentile,Median,Mean,75th percentile,Maximum,Minimum,25th percentile,Median,Mean,75th percentile,Maximum,Minimum,25th percentile,Median,Mean,75th percentile,Maximum
09235800,"Pot Creek near Vernal, UT",0,0,0,1.34,0.12,121,n/a,n/a,n/a,324,380,408,0,0,0,0.55,0.09,37.8
09237450,"Yampa River above Stagecoach Reservoir, CO",5.31,38.3,53.0,71.9,85.0,582,240,277,291,293,305,418,5.98,30.2,41.3,56.0,68.3,403
09237500,"Yampa River below Stagecoach Reservoir, CO",9.41,47.0,67.0,80.8,92.0,611,226,258,280,277,290,333,7.89,36.9,50.0,58.8,65.1,425
09238900,"Fish Creek at upper station, near Steamboat Springs, CO",0.09,4.51,8.11,61.8,33.0,956,12.6,21.6,25.7,26.1,30.9,43.9,0.01,0.35,0.63,3.03,1.99,35.4
09239500,"Yampa River at Steamboat Springs, CO",17.0,93.0,135,444,355,"5,550",44.9,103,161,154,201,278,10.0,48.4,62.8,104,104,687
09242500,"Elk River near Milner, CO",3.71,72.0,123,513,469,"5,040",25.7,56.8,78.5,90.9,122,202,1.74,20.0,32.4,75.4,90.5,492
09243700,"Middle Creek near Oak Creek, CO",0,0.39,0.83,4.61,2.91,297,n/a,415,512,509,570,897,0,0.59,1.16,4.26,3.29,202
09243800,"Foidel Creek near Oak Creek, CO",0,0.41,0.77,2.08,1.61,49.0,n/a,"1,720","2,080","2,080","2,350","4,290",0,2.44,4.20,8.79,8.07,163
09243900,"Foidel Creek at Mouth, near Oak Creek, CO",0,0.61,1.21,3.80,3.01,79.0,n/a,"1,600","1,900","1,910","2,150","3,310",0,3.28,6.14,15.4,14.1,280
09244410,"Yampa River below Diversion, near Hayden, CO",5.11,174,270,"1,150","1,140","12,400",57.5,118,177,178,237,362,4.56,97.1,165,333,376,"2,690"
09245000,"Elkhead Creek near Elkhead, CO",0.11,4.21,7.61,51.8,23.0,"1,060",75.7,145,184,184,223,307,0.09,2.20,4.21,16.0,10.1,258
09247600,"Yampa River below Craig, CO",0.42,195,340,"1,230","1,260","12,000",90.2,172,246,263,356,843,0.95,170,278,534,679,"3,110"
09249750,"Williams Fork at Mouth, near Hamilton, CO",0,49.0,75.0,230,169,"3,980",n/a,269,358,346,425,"2,000",0,55.2,76.3,142,130,"1,450"
09251000,"Yampa River near Maybell, CO",1.81,234,403,"1,560","1,440","24,400",100,213,317,331,450,"1,090",5.30,251,416,794,972,"6,850"
09253000,"Little Snake River near Slater, CO",4.21,29.0,44.0,238,135,"3,960",34.9,76.8,103,98.8,123,190,1.68,9.54,13.2,36.7,29.3,373
09255000,"Slater Fork near Slater, CO",0.34,14.0,22.0,78.7,53.0,"1,320",56.2,128,162,153,180,334,0.31,6.53,9.91,20.5,19.8,217
09260000,"Little Snake River near Lily, CO",0,63.0,140,565,503,"13,400",n/a,257,419,451,522,"3,400",0,84.6,163,322,355,"4,260"
09260050,"Yampa River at Deerlodge Park, CO",29.0,332,675,"2,150","2,100","32,300",104,229,358,354,461,754,38.6,363,760,"1,290","1,410","13,500"
09261000,"Green River near Jensen, UT",806,"1,810","2,820","4,250","4,600","38,500",178,348,417,407,471,658,"1,030","2,300","3,230","3,810","4,580","18,600"
09261700,"Big Brush Creek above Red Fleet Reservoir, near Vernal, UT",9.31,17.0,24.0,44.6,41.0,336,63.5,195,271,253,311,479,8.05,13.8,17.2,20.8,23.2,72.5
09266500,"Ashley Creek near Vernal, UT",3.51,15.0,34.0,90.9,97.0,"1,780",36.8,81.0,113,112,141,211,1.89,5.64,10.3,17.2,21.4,177
09270500,"Dry Fork at mouth, near Dry Fork, UT",0,1.41,2.51,27.5,4.71,"1,670",n/a,450,586,600,693,"2,810",0,2.58,3.86,11.4,6.03,298
09271500,"Ashley Creek near Jensen, UT",0.19,12.0,22.0,57.5,37.0,"3,030",272,"1,330","1,560","1,670","1,870","6,520",3.34,56.6,91.7,128,133,"2,220"
09275500,"West Fork Duchesne River near Hanna, UT",6.01,14.0,19.0,43.0,32.0,548,192,282,312,303,330,378,6.13,12.5,16.5,29.3,24.7,283
09276000,"Wolf Creek above Rhoades Canyon near Hanna, UT",2.11,3.31,4.81,8.54,7.71,113,136,186,200,198,212,253,1.19,1.83,2.66,4.20,4.15,44.3
09278000,"South Fork Rock Creek near Hanna, UT",1.11,2.91,5.01,12.7,11.0,179,59.2,117,137,133,157,183,0.50,1.19,1.88,3.48,3.57,33.5
09278500,"Rock Creek near Hanna, UT",8.21,30.0,51.0,156,126,"2,270",19.8,37.6,46.3,44.8,51.7,81.2,1.47,4.16,6.43,13.1,13.1,131
09279000,"Rock Creek near Mountain Home, UT",22.0,42.0,59.0,153,119,"2,320",25.2,70.6,91.9,88.7,108,143,7.60,12.3,15.2,23.3,22.9,164
09279100,"Rock Creek near Talmage, UT",14.0,50.0,65.0,155,125,"2,270",32.6,118,170,160,203,343,13.0,25.9,31.2,40.4,41.7,200
09279150,"Duchesne River above Knight Diversion, near Duchesne, UT",59.0,140,175,333,273,"4,700",68.5,210,264,244,287,366,57.4,108,124,157,156,869
09280400,"Hobble Creek at Daniels Summit, near Wallsburg, UT",0,0.16,0.28,3.25,0.78,81.0,n/a,96.0,122,115,137,240,0,0.06,0.09,0.44,0.21,7.46
09285000,"Strawberry River near Soldier Springs, UT",3.21,11.0,13.0,31.2,25.0,272,188,213,242,245,275,313,2.31,6.49,9.56,19.7,14.6,172
09287500,"Water Hollow near Fruitland, UT",0.06,0.61,1.11,3.17,2.41,57.0,197,273,314,313,356,481,0.07,0.58,0.95,2.23,1.71,31.6
09288000,"Currant Creek near Fruitland, UT",5.91,25.0,33.0,49.6,47.0,801,169,248,270,268,290,345,5.50,17.6,23.5,33.1,34.5,396
09288150,"West Fork Avintaquin Creek near Fruitland, UT",0.27,2.01,3.31,16.6,11.0,514,292,332,349,348,366,391,0.28,1.91,3.21,14.3,9.93,424
09288180,"Strawberry River near Duchesne, UT",18.0,70.0,95.0,156,142,"2,010",286,433,463,457,487,624,30.3,90.7,118,172,169,"1,550"
09288900,"Sowers Creek near Duchesne, UT",22.0,53.0,77.0,144,147,"1,800",526,635,680,677,712,837,43.2,98.9,143,247,260,"2,640"
09292500,"Yellowstone River near Altonah, UT",22.0,51.0,71.0,131,137,"1,800",14.4,41.5,55.4,55.3,68.9,104,5.95,9.16,11.1,14.1,15.6,71.9
09295000,"Duchesne River at Myton, UT",3.11,54.0,128,335,390,"6,520",201,527,741,768,966,"2,600",21.8,143,255,414,554,"3,550"
09297000,"Uinta River near Neola, UT",30.0,60.0,88.0,176,181,"2,790",30.5,41.4,44.9,43.8,46.8,50.6,4.09,7.58,10.7,18.7,20.2,230
09298000,"Farm Creek near Whiterocks, UT",1.31,2.51,3.01,5.61,3.61,117,77.3,193,212,203,223,248,0.88,1.50,1.64,2.39,2.01,25.8
09299500,"Whiterocks River near Whiterocks, UT",14.0,28.0,50.0,106,122,"2,300",17.3,34.8,44.2,46.8,57.0,84.1,1.67,4.22,6.09,10.8,12.3,186
09302000,"Duchesne River near Randlett, UT",0.79,90.0,217,481,530,"11,500",171,611,896,991,"1,250","7,130",15.2,304,525,696,906,"5,700"
09303000,"North Fork White River at Burford, CO",96.0,162,198,324,317,"3,000",77.7,177,211,198,227,267,69.0,99.1,113,144,152,629
09303300,"South Fork White River at Budges Resort, CO",23.0,47.0,58.0,103,84.0,"2,020",78.2,96.9,99.4,98.0,101,106,6.56,12.8,15.5,25.9,22.0,426
09303400,"South Fork White River near Budges Resort, CO",38.0,70.0,94.0,203,155,"2,510",103,119,123,122,125,131,13.0,23.8,31.3,63.4,50.8,695
09303500,"South Fork White River near Buford, CO",57.0,113,142,274,210,"3,300",112,138,142,140,145,152,23.4,44.2,54.3,97.5,80.2,999
09304000,"South Fork White River at Buford, CO",47.0,100,130,256,209,"2,970",104,158,167,162,173,195,24.2,47.2,58.5,98.3,89.5,834
09304200,"White River above Coal Creek, near Meeker, CO",6.51,260,330,560,480,"5,360",114,213,244,236,260,565,9.80,182,217,289,282,"1,650"
09304500,"White River near Meeker, CO",91.0,307,389,630,562,"6,320",116,263,299,289,325,500,118,264,312,400,416,"2,210"
09304800,"White River below Meeker, CO",75.0,330,415,667,615,"6,060",133,317,366,355,401,792,158,354,411,518,537,"2,190"
09306007,"Piceance Creek below Rio Blanco, CO",0.07,6.41,10.0,21.0,18.0,410,515,685,731,731,775,"1,200",0.23,13.0,20.0,36.8,34.4,584
09306022,"Stewart Gulch above West Fork, near Rio Blanco, CO",0,1.31,1.71,2.32,2.31,17.0,n/a,899,907,909,918,942,0,3.23,4.11,5.67,5.82,40.8
09306058,"Willow Creek near Rio Blanco, CO",0,1.11,2.41,3.30,4.41,35.0,n/a,837,855,859,877,960,0,2.65,5.45,7.51,10.1,76.2
09306200,"Piceance Creek below Ryan Gulch, near Rio Blanco, CO",0.16,15.0,25.0,37.9,40.0,534,561,908,995,"1,020","1,120","2,500",1.08,44.4,66.9,88.9,101,808
09306222,"Piceance Creek at White River, CO",0.75,14.0,27.0,40.3,45.0,539,559,"1,160","1,350","1,510","1,670","4,210",8.03,60.5,98.9,119,142,857
09306235,"Corral Gulch below Water Gulch, near Rangely, CO",0,0.11,0.34,1.01,0.72,78.0,n/a,711,779,854,"1,010","1,150",0,0.21,0.76,2.73,1.90,197
09306242,"Corral Gulch near Rangely, CO",0.10,0.48,0.80,2.03,1.71,207,772,922,985,970,"1,040","1,090",0.28,1.19,2.10,5.36,4.47,520
09306255,"Yellow Creek near White River, CO",0.62,2.21,3.11,3.94,4.41,136,"1,520","2,280","2,400","2,370","2,480","2,890",4.83,14.7,19.6,23.9,27.5,559
09306290,"White River below Boise Creek, near Rangely, CO",53.0,379,495,755,735,"6,170",199,403,477,462,533,810,116,527,635,784,873,"3,770"
09306410,"Evacuation Creek above Missouri Creek, near Dragon, UT",0.08,0.37,0.51,2.33,1.21,97.0,"1,070","2,410","2,840","2,680","3,010","4,010",0.86,3.01,3.90,10.8,7.88,279
09306430,"Evacuation Creek near mouth, near Watson, UT",0,0.05,0.13,1.56,0.61,258,n/a,"2,880","3,370","3,250","3,640","4,430",0,0.48,1.21,8.94,4.72,"1,080"
09306500,"White River near Watson, UT",19.0,350,466,691,711,"4,660",245,426,490,484,547,879,45.1,494,617,782,884,"4,660"
09306800,"Bitter Creek near Bonanza, UT",0,0.43,3.31,7.00,12.0,150,n/a,"2,840","4,300","5,220","6,500","15,000",0,7.74,39.9,55.0,89.4,691
09306850,"Bitter Creek at mouth, near Bonanza, UT",0.11,0.54,0.61,1.93,1.01,139,"1,310","11,100","13,800","12,500","14,600","29,100",8.63,21.2,22.7,34.4,30.2,491
09306900,"White River at mouth, near Ouray, UT",7.31,370,500,846,895,"5,550",267,481,540,534,592,"1,770",34.8,555,749,"1,040","1,230","4,680"
09307200,"Pariette Draw near Ouray, UT",3.01,12.0,19.0,27.6,36.0,335,702,"1,840","2,480","2,580","3,220","6,140",49.8,99.8,129,147,182,654
09307300,"Pariette Draw at mouth, near Ouray, UT",0,8.01,15.0,22.8,30.0,400,n/a,"2,070","2,510","2,750","3,110","14,300",0,67.3,108,130,170,"1,500"
09307500,"Willow Creek above diversions, near Ouray, UT",3.71,13.0,17.0,24.9,25.0,254,362,450,467,462,479,538,5.39,16.8,21.4,29.4,30.4,248
09308000,"Willow Creek near Ouray, UT",0,7.61,16.0,26.3,30.0,500,n/a,979,"1,160","1,920","1,520","11,800",0,30.9,49.1,63.4,78.4,543
09308500,"Minnie Maud Creek near Myton, UT",0,0.80,1.91,6.52,4.91,190,n/a,538,577,583,614,844,0,1.33,2.97,8.63,7.13,212
09310000,"Gooseberry Creek near Scofield, UT",0.08,3.31,5.51,20.0,11.0,419,123,180,205,212,235,320,0.03,1.73,2.84,14.4,6.45,361
09310500,"Fish Creek above reservoir, near Scofield, UT",2.61,9.21,14.0,54.6,30.0,"1,310",155,186,195,195,205,221,1.55,4.89,7.63,26.6,15.6,613
09312600,"White River below Tabbyune Creek, near Soldier Summit, UT",0,3.41,6.51,27.9,17.0,927,n/a,452,477,476,500,562,0,4.42,8.62,33.7,21.2,"1,070"
09312700,"Beaver Creek near Soldier Summit, UT",0,0.15,1.21,4.72,2.91,188,n/a,339,373,384,427,518,0,0.18,1.19,3.98,2.76,141
09312800,"Willow Creek near Castle Gate, UT",0,1.11,2.51,10.3,7.01,335,n/a,655,742,745,818,"1,160",0,2.39,5.26,16.8,12.5,456
09314250,"Price River below Miller Creek, near Wellington, UT",0.81,28.0,47.5,146,116,"2,810",446,"1,460","2,070","2,100","2,590","9,560",20.1,193,264,426,463,"3,380"
09314280,"Desert Seep Wash near Wellington, UT",0.23,11.0,21.0,30.2,40.0,390,"1,540","2,780","3,550","3,750","4,430","12,800",7.92,130,202,235,302,"1,650"
09315000,"Green River at Green River, UT",682,"2,500","3,760","5,620","6,200","47,200",204,429,530,520,611,959,"1,090","3,990","5,500","6,450","7,790","30,700"
09324500,"Cottonwood Creek near Orangeville, UT",3.01,15.0,45.0,120,147,"2,000",175,222,251,256,287,351,2.85,12.2,31.1,69.9,89.7,947
09326500,"Ferron Creek (upper station) near Ferron, UT",1.01,11.0,18.0,67.2,51.0,"1,240",276,388,439,424,467,595,1.62,13.9,21.2,62.4,52.9,923
09328000,"San Rafael River near Castle Dale, UT",0,32.0,58.0,154,111,"3,300",n/a,"1,820","2,430","2,570","3,040","23,800",0,254,379,589,574,"6,260"
09328100,"San Rafael River at San Rafael Bridge Campground, near Carbondale, UT",0,31.0,64.0,171,133,"3,580",n/a,"1,700","2,300","2,970","3,080","66,700",0,256,390,568,613,"4,790"
09328500,"San Rafael River near Green River, UT",0,21.0,41.0,111,86.0,"3,600",n/a,"2,050","2,590","3,090","3,140","21,300",0,172,289,459,490,"6,870"
09329050,"Seven Mile Creek near Fish Lake, UT",2.51,6.21,8.61,15.1,13.0,227,67.9,87.8,91.7,90.7,94.8,102,0.68,1.60,2.15,3.41,3.10,41.5
09330000,"Fremont River near Bicknell, UT",34.0,68.0,83.0,91.4,100,813,285,343,349,348,355,374,33.8,64.5,78.0,84.6,93.6,625
09330230,"Fremont River near Caineville, UT",12.0,44.0,77.0,78.9,96.0,"1,200",291,426,451,461,494,626,19.9,58.3,93.1,92.8,111,941
09332100,"Muddy Creek below I-70, near Emery, UT",1.21,10.0,20.0,46.1,51.0,451,513,"1,050","1,520","1,510","1,950","3,780",12.3,54.2,81.6,119,148,624
09332700,"Muddy Creek at Delta Mine, near Hanksville, UT",0,1.71,12.0,32.7,29.0,"2,800",n/a,"1,770","2,250","3,140","3,280","10,200",0,14.7,77.3,126,145,"6,080"
09333500,"Dirty Devil River above Poison Spring Wash, near Hanksville, UT",0,36.0,86.0,103,133,"10,000",n/a,"1,260","1,400","1,880","1,670","7,860",0,153,324,354,463,"18,100"
09337000,"Pine Creek near Escalante, UT",0,1.71,3.91,5.64,6.11,84.0,n/a,220,234,239,248,466,0,1.15,2.42,3.19,3.62,37.1
09337500,"Escalante River near Escalante, UT",0.08,1.81,4.51,9.66,10.0,270,205,644,884,983,"1,220","4,070",0.88,6.10,10.8,14.8,18.2,149
09339900,"East Fork San Juan River above Sand Creek, near Pagosa Springs, CO",3.81,18.0,36.0,100,99.0,"1,180",40.9,63.1,76.4,77.3,92.7,122,1.25,4.38,7.52,15.4,17.0,130
09342500,"San Juan River at Pagosa Springs, CO",12.0,84.0,161,452,524,"4,080",32.6,60.7,79.5,81.8,101,170,5.52,22.6,34.7,67.6,90.1,377
09346000,"Navajo River at Edith, CO",13.0,48.0,68.0,110,126,"1,250",84.0,131,140,141,151,189,6.28,19.2,25.6,38.3,45.8,314
09346400,"San Juan River near Carracas, CO",0.81,170,290,623,776,"6,700",54.4,119,172,194,273,580,1.27,102,163,217,281,"2,120"
09349800,"Piedra River near Arboles, CO",3.91,87.0,164,413,540,"3,290",65.3,136,195,210,278,516,5.38,62.5,93.7,148,202,853
09352900,"Vallecito Creek near Bayfield, CO",6.61,25.0,60.0,144,164,"1,350",25.2,32.6,39.4,40.6,48.9,59.8,0.96,3.31,6.35,12.6,14.9,95.4
09354500,"Los Pinos River at La Boca, CO",6.61,80.0,151,256,290,"2,510",73.5,119,138,142,164,276,4.93,35.9,56.9,77.5,93.7,508
09355000,"Spring Creek at La Boca, CO",0,5.61,17.0,32.8,56.0,918,n/a,210,384,421,607,"1,450",0,9.13,17.9,21.6,32.6,422
09355500,"San Juan River near Archuleta, NM",224,541,664,"1,210","1,500","5,620",139,154,161,163,170,206,89.5,242,308,531,630,"2,760"
09359020,"Animas River below Silverton, CO",34.0,69.0,112,274,278,"2,350",63.5,181,293,288,388,574,48.3,72.3,88.2,118,136,403
09361500,"Animas River at Durango, CO",110,238,374,819,909,"7,250",80.7,216,324,308,396,590,168,253,328,437,532,"1,670"
09363500,"Animas River near Cedar Hill, NM",130,320,494,950,"1,100","7,770",119,240,322,313,389,503,174,334,430,590,715,"2,500"
09364500,"Animas River at Farmington, NM",0,269,394,873,931,"8,110",n/a,272,400,397,477,"8,230",0,345,438,599,695,"2,970"
09367561,"Shumway Arroyo near Waterflow, NM",0,0.38,1.41,2.15,2.61,320,n/a,"5,470","6,340","6,360","7,800","10,300",0,5.16,19.8,37.8,50.5,"3,980"
09367950,"Chaco River near Waterflow, NM",0,9.51,18.0,47.1,23.0,"3,870",n/a,"1,130","1,460","1,650","1,860","5,950",0,41.1,62.9,114,90.0,"4,600"
09368000,"San Juan River at Shiprock, NM",76.0,820,"1,210","1,990","2,410","13,700",165,309,389,380,433,910,187,958,"1,260","1,630","2,110","6,860"
09371000,"Mancos River near Towaoc, CO",0,7.31,18.0,49.7,50.0,"1,810",n/a,804,"1,180","1,600","1,560","9,320",0,26.2,63.0,91.3,112,"1,260"
09371010,"San Juan River at Four Corners, CO",110,906,"1,320","2,210","2,760","16,400",185,325,412,397,466,799,235,"1,140","1,470","1,930","2,480","9,170"
09371492,"Mud Creek at State Highway 32, near Cortez, CO",0.28,1.31,2.91,6.81,12.0,77.0,637,"1,470","3,490","3,270","4,860","8,350",4.23,17.1,29.4,33.2,48.4,232
09371500,"McElmo Creek near Cortez, CO",13.0,35.0,53.0,61.5,76.0,735,947,"1,390","1,920","1,980","2,540","3,270",86.4,212,261,290,325,"3,270"
09371520,"McElmo Creek above Trail Canyon, near Cortez, CO",2.71,27.0,43.0,56.4,81.0,976,490,"1,110","1,730","1,810","2,460","3,510",15.4,155,218,223,278,"2,480"
09372000,McElmo Creek near Colorado-Utah state line,0.18,28.0,44.0,56.4,71.0,"1,160",787,"1,670","2,120","2,140","2,520","5,240",2.54,176,248,288,347,"4,700"
09378200,"Montezuma Creek at golf course at Monticello, UT",0,0.07,0.20,3.82,0.94,296,n/a,297,421,456,566,961,0,0.10,0.26,2.78,1.11,188
09378630,"Recapture Creek near Blanding, UT",0,0,0.03,1.42,0.29,50.0,n/a,n/a,184,182,204,257,0,0,0.02,0.49,0.12,15.2
09378650,"Recapture Creek below Johnson Creek, near Blanding, UT",0,0,0.08,10.1,8.36,212,n/a,n/a,246,233,296,296,0,0,0.05,3.83,3.68,70.1
09378700,"Cottonwood Wash near Blanding, UT",0,0.11,2.51,8.81,6.61,438,n/a,324,384,411,493,712,0,0.11,2.82,7.44,6.14,381
09379500,"San Juan River near Bluff, UT",70.0,873,"1,350","2,140","2,600","20,700",136,381,488,478,562,"1,270",239,"1,300","1,800","2,190","2,860","8,680"
09380000,"Colorado River at Lees Ferry, AZ",870,"9,980","13,200","14,600","17,600","92,600",414,458,521,511,557,610,"1,340","14,000","18,300","19,600","23,200","136,000"
09383400,"Little Colorado River at Greer, AZ",0.11,5.01,10.0,15.9,17.0,183,49.1,58.4,66.1,67.4,76.4,95.9,0.03,0.99,1.71,2.51,2.83,24.6
09384000,"Little Colorado River above Lyman Lake, near St. Johns, AZ",0.51,4.21,8.51,27.5,20.0,"1,660",80.3,234,293,291,346,562,0.74,3.97,6.73,12.9,12.6,359
09386950,"Zuni River above Black Rock Reservoir, NM",0,0,1.11,14.3,2.61,"1,530",n/a,n/a,458,445,517,911,0,0,1.27,11.1,3.08,"1,020"
09403600,"Kanab Creek near Kanab, UT",3.01,7.61,10.0,14.2,15.0,354,265,369,411,417,458,728,2.29,7.58,11.4,18.0,18.4,695
09404450,"East Fork Virgin River near Glendale, UT",3.31,10.3,15.0,19.0,20.0,285,255,276,290,290,303,346,2.33,7.98,11.5,15.4,16.3,266
09406000,"Virgin River at Virgin, UT",42.0,94.0,125,192,174,"4,230",323,467,515,506,556,603,60.1,132,181,237,231,"3,680"
09409880,"Santa Clara River at Gunlock, UT",0,7.81,12.0,23.3,20.0,"2,040",n/a,221,250,248,275,604,0,5.36,8.19,13.2,13.2,776
09415000,"Virgin River at Littlefield, AZ",43.0,87.0,152,251,249,"14,300",373,"1,640","1,940","1,940","2,330","3,060",303,543,795,967,"1,120","14,400"
09419515,"Muddy River above Lake Mead, near Overton, NV",0.07,1.81,3.61,8.55,6.71,"2,670",493,"1,900","2,270","2,240","2,570","4,210",0.79,9.96,22.6,34.0,36.7,"3,550"
09419678.3,"Las Vegas Wash below Flamingo Wash confluence, near Las Vegas, NV",4.71,8.81,10.0,19.0,12.0,"1,560",269,"2,860","3,100","3,020","3,310","4,240",52.1,77.8,86.0,96.7,93.9,"1,130"
09419800,"Las Vegas Wash below Lake Las Vegas, near Boulder City, NV",26.0,78.0,92.0,93.2,103,"1,400","1,800","2,110","2,460","2,500","2,880","3,310",231,534,583,610,645,"7,070"
09421500,"Colorado River below Hoover Dam, AZ-NV",587,"9,400","13,800","14,600","18,400","50,800",511,555,627,616,675,697,"1,100","15,700","22,500","23,900","30,100","90,300"
09424150,"Colorado River Aqueduct near Parker Dam, AZ-CA",0,"1,520","1,730","1,600","1,840","2,200",n/a,593,617,625,668,724,0,"2,520","2,810","2,680","3,090","3,810"
09426600,"Bill Williams River near Planet, AZ",0,0,6.26,89.4,11.0,"6,800",n/a,n/a,579,776,"1,300","1,440",0,0,9.67,67.9,16.3,"4,170"
09426650,Central Arizona Project Canal at Havasu Pumping Plant,0,268,888,"1,240","2,310","3,550",n/a,592,609,616,651,693,0,448,"1,510","2,080","3,840","6,000"
09427520,"Colorado River below Parker Dam, AZ-CA",30.0,"7,540","11,500","12,200","14,600","40,500",537,599,653,645,692,738,56.0,"13,200","20,000","21,000","25,100","75,200"
09429490,"Colorado River above Imperial Dam, AZ-CA","1,790","6,840","9,560","10,900","12,100","40,700",586,690,727,729,757,902,"4,160","13,700","18,600","20,900","24,000","82,600"
09430600,"Mogollon Creek near Cliff, NM",0,1.91,7.11,33.2,29.0,"6,000",n/a,66.1,75.1,76.2,84.0,120,0,0.42,1.44,5.52,5.21,858
09431500,"Gila River near Redrock, NM",3.61,64.0,101,254,210,"34,000",87.6,195,227,223,252,396,3.86,42.7,62.4,115,113,"8,030"
09444000,"San Francisco River near Glenwood, NM",8.21,25.0,37.0,115,75.0,"27,500",99.5,199,217,214,234,277,5.91,15.6,22.2,52.8,40.6,"7,380"
09444600,"San Francisco River near Clifton, AZ",15.0,59.0,110,321,247,"52,200",34.8,412,599,601,798,"1,500",60.8,127,178,245,275,"4,900"
09448500,"Gila River at head of Safford Valley, near Solomon, AZ",26.0,126,208,619,469,"90,000",59.3,382,503,490,595,"1,050",73.0,203,282,458,484,"14,400"
09466500,"Gila River at Calva, AZ",0,31.0,107,532,357,"90,000",n/a,944,"1,490","3,720","2,440","66,300",0,198,436,829,940,"25,500"
09471000,"San Pedro River at Charleston, AZ",0.06,5.31,10.0,40.9,22.0,"18,400",207,278,299,299,320,383,0.05,4.22,8.75,30.4,17.9,"13,100"
09474000,"Gila River at Kelvin, AZ",0,117,359,639,834,"52,400",n/a,635,737,847,908,"5,630",0,272,712,"1,030","1,510","35,600"
09498400,"Pinal Creek at Inspiration Dam, near Globe, AZ",0.65,5.21,7.01,12.1,9.21,"3,300",478,"2,380","2,670","2,660","3,030","5,300",4.73,37.2,54.0,66.5,68.6,"5,650"
09498500,"Salt River near Roosevelt, AZ",65.0,213,343,996,872,"89,200",42.7,689,"1,320","1,350","1,860","4,500",618,"1,070","1,260","1,480","1,670","10,700"
09499000,"Tonto Creek above Gun Creek, near Roosevelt, AZ",0,15.0,28.0,237,87.0,"32,600",n/a,198,234,237,268,744,0,10.4,18.0,86.8,46.6,"7,600"
09502000,"Salt River below Stewart Mountain Dam, AZ",0,9.21,801,"1,210","1,660","64,000",n/a,422,521,577,703,"1,170",0,17.7,"1,200","1,620","2,240","55,000"
09504000,"Verde River near Clarkdale, AZ",60.0,78.0,83.0,176,91.0,"30,000",29.4,264,274,260,281,301,48.7,58.3,61.9,79.8,65.7,"2,380"
09504440,"Oak Creek at Red Rock Crossing, near Sedona, AZ",19.0,29.0,32.0,92.5,43.0,"8,320",33.8,144,154,144,159,175,8.56,12.1,13.8,23.5,17.1,769
09505800,"West Clear Creek near Camp Verde, AZ",12.0,15.0,17.0,36.2,18.0,"2,750",37.2,191,203,194,211,231,7.01,8.28,9.32,12.7,10.1,276
09507980,"East Verde River near Childs, AZ",0,4.91,13.0,68.7,28.0,"11,000",n/a,206,228,263,280,686,0,3.70,8.11,27.8,15.7,"2,950"
09508300,"Wet Bottom Creek near Childs, AZ",0,0.16,0.61,17.0,3.91,"3,410",n/a,110,183,228,271,625,0,0.11,0.31,2.02,1.18,167
09508500,"Verde River below Tangle Creek, above Horseshoe Dam, AZ",58.0,171,250,587,345,"110,000",42.7,321,362,348,399,560,84.0,182,242,333,305,"12,700"
09510000,"Verde River below Bartlett Dam, AZ",0,115,329,649,617,"84,700",n/a,251,280,285,330,426,0,99.1,248,443,449,"51,600"
09512800,"Agua Fria River near Rock Springs, AZ",0,1.81,4.31,90.9,21.0,"32,700",n/a,348,392,400,437,772,0,2.07,4.82,57.9,20.3,"13,600"
09518000,"Gila River above diversions, at Gillespie Dam, AZ",8.61,85.0,155,"1,040",275,"130,000",202,"2,040","2,420","2,440","2,890","6,970",144,656,994,"2,010","1,550","70,800"
09520500,"Gila River near Dome, AZ",0.10,3.11,9.71,807,113,"27,700",451,"1,610","2,270","2,330","3,000","5,380",1.11,24.1,63.6,"1,720",461,"45,400"
09522000,"Colorado River at Northerly International Boundary, above Morelos Dam, AZ",655,"1,670","2,750","5,510","5,520","39,200",573,745,823,832,922,"1,200","1,860","4,120","6,040","10,600","11,300","60,600"
09527500,"All-American Canal below Pilot Knob Wasteway, CA",0,"3,320","4,830","4,540","5,860","7,610",n/a,686,729,738,796,921,0,"6,620","9,260","9,010","11,600","16,600"
10010400,"East Fork Bear River near Evanston, WY",5.01,11.0,18.0,58.5,52.0,690,33.0,66.2,97.0,92.7,120,153,2.02,3.52,4.81,8.88,9.61,62.1
10011500,Bear River near Utah-Wyoming state line,20.0,44.0,65.0,199,167,"2,680",79.8,124,135,138,148,199,8.28,16.5,23.4,74.0,61.7,821
