File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"35,761","4,219","10,048","6,808","3,318","11,367","8,382","2,251",489,244
...Median Income,"$26,676 ","$16,109 ","$22,193 ","$25,729 ","$28,867 ","$38,883 ","$36,673 ","$41,897 ","$51,583 ","$51,899 "
....Standard Error,$116 ,$188 ,$166 ,$237 ,$592 ,$434 ,$230 ,$336 ,"$1,685 ","$2,580 "
...Mean Income,"$32,041 ","$18,198 ","$25,835 ","$28,784 ","$31,828 ","$44,679 ","$41,980 ","$46,726 ","$73,252 ","$61,142 "
....Standard Error,$207 ,$415 ,$367 ,$355 ,$499 ,$447 ,$466 ,$867 ,"$4,788 ","$3,190 "
.White Alone,,,,,,,,,,
..With Income,"28,249","3,464","7,853","5,264","2,672","8,994","6,671","1,748",379,193
...Median Income,"$27,188 ","$16,321 ","$23,266 ","$25,986 ","$30,020 ","$39,434 ","$36,962 ","$41,974 ","$52,045 ","$53,976 "
....Standard Error,$136 ,$197 ,$359 ,$282 ,$491 ,$470 ,$250 ,$340 ,"$2,785 ","$3,590 "
...Mean Income,"$32,830 ","$18,686 ","$27,142 ","$29,664 ","$32,568 ","$45,176 ","$42,520 ","$46,933 ","$75,813 ","$60,664 "
....Standard Error,$246 ,$490 ,$457 ,$431 ,$575 ,$522 ,$548 ,$940 ,"$5,890 ","$3,172 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"22,238","1,305","6,037","4,337","2,283","8,275","6,106","1,641",346,179
...Median Income,"$30,164 ","$16,308 ","$24,677 ","$25,918 ","$30,337 ","$40,000 ","$37,167 ","$42,063 ","$56,165 ","$55,618 "
....Standard Error,$148 ,$546 ,$384 ,$303 ,$363 ,$352 ,$265 ,$338 ,"$7,214 ","$4,051 "
...Mean Income,"$34,736 ","$19,229 ","$27,581 ","$29,574 ","$33,056 ","$45,572 ","$42,758 ","$47,304 ","$78,683 ","$61,460 "
....Standard Error,$274 ,$506 ,$472 ,$490 ,$647 ,$537 ,$552 ,$978 ,"$6,376 ","$3,378 "
.Black Alone,,,,,,,,,,
..With Income,"4,562",492,"1,638","1,075",427,927,737,153,29,7
...Median Income,"$22,386 ","$12,439 ","$19,801 ","$23,482 ","$25,624 ","$35,727 ","$32,792 ","$42,683 ",(B),(B)
....Standard Error,$369 ,"$1,342 ",$490 ,"$1,156 ",$764 ,$730 ,"$1,130 ","$1,657 ",(B),(B)
...Mean Income,"$25,786 ","$14,929 ","$20,720 ","$24,852 ","$27,654 ","$40,721 ","$37,030 ","$50,361 ",(B),(B)
....Standard Error,$381 ,$755 ,$422 ,$591 ,"$1,273 ","$1,212 ","$1,055 ","$4,507 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,"1,903",102,264,207,115,"1,213",792,315,71,33
...Median Income,"$30,808 ","$14,431 ","$22,934 ","$26,205 ","$25,796 ","$39,343 ","$37,282 ","$40,585 ",(B),(B)
....Standard Error,$565 ,"$1,576 ","$1,417 ",$775 ,"$1,500 ","$1,629 ","$1,651 ","$4,763 ",(B),(B)
...Mean Income,"$37,929 ","$16,542 ","$24,333 ","$29,116 ","$30,458 ","$44,919 ","$42,691 ","$44,682 ",(B),(B)
....Standard Error,$975 ,"$1,571 ","$1,221 ","$2,151 ","$2,391 ","$1,376 ","$1,434 ","$2,764 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,"6,470","2,297","1,963","1,016",418,774,611,114,33,14
...Median Income,"$20,968 ","$16,374 ","$20,791 ","$26,376 ","$27,160 ","$35,439 ","$34,582 ","$39,728 ",(B),(B)
....Standard Error,$188 ,$208 ,$326 ,$727 ,"$1,205 ",$897 ,"$1,172 ","$3,406 ",(B),(B)
...Mean Income,"$25,617 ","$18,378 ","$25,452 ","$29,673 ","$29,750 ","$39,965 ","$39,203 ","$41,164 ",(B),(B)
....Standard Error,$542 ,$731 ,"$1,195 ",$867 ,"$1,112 ","$2,070 ","$2,493 ","$3,319 ",(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"23,376","2,430","6,493","4,262","2,218","7,971","5,911","1,535",334,190
...Median Income,"$33,712 ","$20,939 ","$27,683 ","$32,303 ","$34,657 ","$45,242 ","$42,177 ","$49,718 ","$70,596 ","$59,650 "
....Standard Error,$291 ,$188 ,$309 ,$228 ,$739 ,$343 ,$217 ,$629 ,"$4,117 ","$2,506 "
...Mean Income,"$40,102 ","$23,879 ","$31,889 ","$37,297 ","$38,647 ","$53,644 ","$50,598 ","$57,393 ","$81,117 ","$69,744 "
....Standard Error,$254 ,$666 ,$431 ,$482 ,$616 ,$493 ,$548 ,"$1,079 ","$3,303 ","$3,713 "
.White Alone,,,,,,,,,,
..With Income,"18,686","2,064","5,143","3,338","1,767","6,371","4,742","1,217",260,151
...Median Income,"$35,080 ","$20,984 ","$29,381 ","$34,079 ","$35,741 ","$45,247 ","$42,393 ","$49,123 ","$71,823 ","$60,213 "
....Standard Error,$186 ,$210 ,$415 ,$698 ,$376 ,$376 ,$383 ,$868 ,"$2,869 ","$3,869 "
...Mean Income,"$40,830 ","$24,174 ","$33,337 ","$38,546 ","$39,688 ","$53,790 ","$51,085 ","$56,419 ","$82,006 ","$68,864 "
....Standard Error,$297 ,$769 ,$530 ,$586 ,$726 ,$563 ,$645 ,"$1,155 ","$3,622 ","$3,596 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"14,554",662,"3,842","2,697","1,488","5,863","4,337","1,143",241,140
...Median Income,"$37,045 ","$25,340 ","$30,902 ","$34,333 ","$36,236 ","$45,549 ","$42,885 ","$48,934 ","$73,604 ","$61,723 "
....Standard Error,$152 ,$539 ,$249 ,$738 ,$394 ,$342 ,$615 ,$849 ,"$2,880 ","$6,455 "
...Mean Income,"$43,768 ","$28,190 ","$35,051 ","$38,952 ","$40,750 ","$54,223 ","$51,406 ","$56,717 ","$83,733 ","$70,161 "
....Standard Error,$338 ,$709 ,$676 ,$681 ,$835 ,$562 ,$632 ,"$1,204 ","$3,733 ","$3,821 "
.Black Alone,,,,,,,,,,
..With Income,"2,820",218,999,648,290,664,518,114,24,6
...Median Income,"$28,943 ","$20,290 ","$25,168 ","$30,400 ","$30,189 ","$40,354 ","$37,443 ","$47,284 ",(B),(B)
....Standard Error,$510 ,$501 ,$468 ,$330 ,$924 ,$689 ,"$1,581 ","$2,259 ",(B),(B)
...Mean Income,"$32,301 ","$21,289 ","$25,557 ","$31,153 ","$33,298 ","$46,762 ","$42,718 ","$58,870 ",(B),(B)
....Standard Error,$484 ,"$1,343 ",$489 ,$670 ,"$1,427 ","$1,411 ","$1,120 ","$5,607 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,"1,241",55,194,126,80,784,527,184,45,26
...Median Income,"$40,942 ",(B),"$26,795 ","$31,046 ","$31,784 ","$51,135 ","$50,026 ","$52,391 ",(B),(B)
....Standard Error,$661 ,(B),$952 ,"$1,735 ","$4,371 ",$604 ,"$1,732 ","$4,332 ",(B),(B)
...Mean Income,"$49,333 ",(B),"$29,161 ","$37,808 ","$37,158 ","$59,351 ","$54,799 ","$64,055 ",(B),(B)
....Standard Error,"$1,235 ",(B),"$1,353 ","$2,883 ","$2,566 ","$1,695 ","$1,637 ","$3,548 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,"4,416","1,492","1,388",692,298,544,433,81,18,11
...Median Income,"$25,248 ","$19,760 ","$24,863 ","$32,388 ","$31,597 ","$40,584 ","$39,078 ","$50,881 ",(B),(B)
....Standard Error,$295 ,$492 ,$672 ,"$1,161 ","$1,148 ",$968 ,"$1,338 ","$1,625 ",(B),(B)
...Mean Income,"$30,402 ","$22,287 ","$28,308 ","$36,561 ","$34,295 ","$48,003 ","$46,859 ","$51,083 ",(B),(B)
....Standard Error,$589 ,"$1,087 ",$630 ,"$1,068 ","$1,092 ","$2,776 ","$3,353 ","$3,800 ",(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
35 to 44 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"40,348","4,220","12,579","6,916","4,134","12,498","8,384","2,893",721,498
...Median Income,"$31,628 ","$17,338 ","$26,088 ","$31,046 ","$33,971 ","$50,372 ","$45,531 ","$55,736 ","$86,692 ","$72,262 "
....Standard Error,$124 ,$258 ,$192 ,$263 ,$696 ,$302 ,$455 ,$942 ,"$3,589 ","$3,764 "
...Mean Income,"$42,547 ","$21,026 ","$30,929 ","$37,155 ","$38,653 ","$65,780 ","$57,900 ","$72,679 ","$112,451 ","$90,732 "
....Standard Error,$329 ,$332 ,$382 ,$575 ,$562 ,$865 ,$842 ,"$2,341 ","$4,843 ","$4,812 "
.White Alone,,,,,,,,,,
..With Income,"32,559","3,398","10,030","5,531","3,441","10,158","6,848","2,328",602,379
...Median Income,"$32,233 ","$17,638 ","$26,969 ","$31,715 ","$34,615 ","$50,859 ","$46,312 ","$55,308 ","$89,162 ","$71,385 "
....Standard Error,$143 ,$377 ,$226 ,$326 ,$696 ,$338 ,$517 ,"$1,198 ","$3,764 ","$3,842 "
...Mean Income,"$43,771 ","$21,631 ","$32,303 ","$38,621 ","$38,952 ","$66,936 ","$59,263 ","$73,050 ","$113,830 ","$93,404 "
....Standard Error,$378 ,$388 ,$461 ,$696 ,$614 ,$978 ,$940 ,"$2,687 ","$5,384 ","$5,872 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"27,553","1,553","8,587","4,812","3,114","9,485","6,367","2,186",571,359
...Median Income,"$35,238 ","$18,154 ","$27,524 ","$32,130 ","$35,224 ","$51,450 ","$47,204 ","$55,419 ","$89,258 ","$74,054 "
....Standard Error,$192 ,$699 ,$399 ,$364 ,$610 ,$347 ,$618 ,"$1,137 ","$3,922 ","$3,191 "
...Mean Income,"$46,186 ","$22,308 ","$32,934 ","$39,251 ","$39,286 ","$67,878 ","$60,321 ","$73,568 ","$113,548 ","$94,474 "
....Standard Error,$432 ,$614 ,$505 ,$780 ,$660 ,"$1,025 ",$987 ,"$2,825 ","$5,567 ","$5,822 "
.Black Alone,,,,,,,,,,
..With Income,"4,862",571,"1,913",946,431,998,726,219,23,29
...Median Income,"$26,480 ","$15,327 ","$21,682 ","$29,218 ","$31,332 ","$41,603 ","$39,929 ","$47,243 ",(B),(B)
....Standard Error,$329 ,$875 ,$396 ,"$1,181 ",$846 ,$623 ,$948 ,"$2,650 ",(B),(B)
...Mean Income,"$31,647 ","$17,676 ","$24,311 ","$31,610 ","$36,309 ","$51,718 ","$47,487 ","$55,848 ",(B),(B)
....Standard Error,$514 ,$687 ,$481 ,$865 ,"$1,392 ","$1,826 ","$1,987 ","$2,839 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,"1,965",141,330,223,137,"1,133",655,319,77,80
...Median Income,"$37,369 ","$20,345 ","$25,227 ","$24,945 ","$35,437 ","$52,451 ","$45,651 ","$66,848 ","$95,091 ","$76,533 "
....Standard Error,"$1,364 ","$2,374 ","$2,019 ","$1,629 ","$1,589 ","$1,952 ","$1,907 ","$3,511 ","$11,212 ","$10,165 "
...Mean Income,"$52,839 ","$21,117 ","$29,236 ","$29,904 ","$43,161 ","$69,364 ","$56,767 ","$82,322 ","$111,959 ","$79,670 "
....Standard Error,"$2,192 ","$1,330 ","$1,900 ","$1,934 ","$4,289 ","$3,584 ","$4,101 ","$8,356 ","$14,821 ","$7,674 "
.Hispanic (of any race),,,,,,,,,,
..With Income,"5,385","1,929","1,548",809,354,744,531,157,36,19
...Median Income,"$23,164 ","$17,496 ","$23,883 ","$28,816 ","$30,582 ","$37,697 ","$35,014 ","$50,668 ",(B),(B)
....Standard Error,$466 ,$434 ,$907 ,"$1,246 ","$1,063 ","$1,839 ","$1,969 ","$4,819 ",(B),(B)
...Mean Income,"$30,378 ","$21,046 ","$28,340 ","$33,726 ","$35,635 ","$52,657 ","$44,867 ","$63,504 ",(B),(B)
....Standard Error,$605 ,$509 ,"$1,109 ","$1,190 ","$1,510 ","$2,907 ","$2,746 ","$6,874 ",(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"27,755","2,530","8,610","4,704","2,873","9,035","6,005","2,081",551,397
...Median Income,"$40,570 ","$22,390 ","$32,216 ","$39,117 ","$41,164 ","$61,177 ","$55,634 ","$68,169 ",$100000+,"$80,542 "
....Standard Error,$138 ,$274 ,$170 ,$586 ,$343 ,$396 ,$455 ,"$1,401 ","$36,913 ","$2,428 "
...Mean Income,"$53,000 ","$26,801 ","$38,102 ","$45,790 ","$46,693 ","$80,295 ","$71,104 ","$89,258 ","$131,413 ","$101,352 "
....Standard Error,$437 ,$438 ,$489 ,$695 ,$690 ,"$1,109 ","$1,063 ","$3,117 ","$5,658 ","$5,660 "
.White Alone,,,,,,,,,,
..With Income,"22,282","2,084","6,880","3,731","2,349","7,236","4,833","1,643",455,304
...Median Income,"$41,428 ","$22,418 ","$33,832 ","$40,582 ","$41,951 ","$62,309 ","$57,139 ","$67,598 ",$100000+,"$80,395 "
....Standard Error,$155 ,$326 ,$482 ,$313 ,$374 ,$742 ,$672 ,"$1,368 ","$43,381 ","$3,191 "
...Mean Income,"$54,646 ","$27,138 ","$39,798 ","$47,951 ","$47,607 ","$82,428 ","$73,487 ","$90,504 ","$134,007 ","$103,609 "
....Standard Error,$503 ,$504 ,$590 ,$853 ,$757 ,"$1,266 ","$1,190 ","$3,648 ","$6,287 ","$6,908 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"18,701",835,"5,804","3,215","2,120","6,726","4,465","1,538",432,289
...Median Income,"$44,349 ","$25,721 ","$35,417 ","$41,099 ","$42,312 ","$64,751 ","$59,078 ","$68,278 ",$100000+,"$81,202 "
....Standard Error,$408 ,$495 ,$254 ,$338 ,$582 ,"$1,143 ","$1,186 ","$1,482 ","$44,223 ","$3,287 "
...Mean Income,"$58,117 ","$30,024 ","$40,930 ","$49,143 ","$48,119 ","$83,879 ","$75,202 ","$91,347 ","$133,570 ","$103,846 "
....Standard Error,$576 ,$784 ,$646 ,$961 ,$816 ,"$1,330 ","$1,252 ","$3,848 ","$6,501 ","$6,807 "
.Black Alone,,,,,,,,,,
..With Income,"3,461",292,"1,315",700,344,808,587,176,21,22
...Median Income,"$32,006 ","$21,341 ","$26,870 ","$32,463 ","$35,039 ","$46,659 ","$42,459 ","$51,432 ",(B),(B)
....Standard Error,$295 ,$641 ,$424 ,$993 ,"$1,880 ","$1,162 ","$1,969 ","$1,728 ",(B),(B)
...Mean Income,"$38,228 ","$24,364 ","$29,491 ","$36,657 ","$39,571 ","$58,255 ","$53,929 ","$62,381 ",(B),(B)
....Standard Error,$636 ,$980 ,$558 ,$844 ,"$1,471 ","$2,121 ","$2,309 ","$3,149 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,"1,396",101,223,140,102,828,464,239,62,62
...Median Income,"$49,116 ","$25,221 ","$31,537 ","$33,635 ","$41,373 ","$65,357 ","$54,825 ","$78,633 ",(B),(B)
....Standard Error,"$1,764 ","$1,664 ","$2,195 ","$2,490 ","$4,508 ","$1,776 ","$1,859 ","$2,548 ",(B),(B)
...Mean Income,"$66,696 ","$25,537 ","$37,285 ","$39,275 ","$52,478 ","$86,087 ","$71,322 ","$102,423 ",(B),(B)
....Standard Error,"$2,926 ","$1,368 ","$2,466 ","$2,241 ","$5,256 ","$4,650 ","$5,517 ","$10,616 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,"3,835","1,302","1,143",576,246,566,410,116,25,14
...Median Income,"$28,206 ","$21,384 ","$27,459 ","$34,733 ","$35,887 ","$45,844 ","$40,835 ","$60,649 ",(B),(B)
....Standard Error,$629 ,$293 ,$760 ,"$1,774 ","$1,391 ","$1,670 ","$2,083 ","$4,668 ",(B),(B)
...Mean Income,"$36,464 ","$25,219 ","$33,476 ","$40,148 ","$42,713 ","$61,864 ","$51,986 ","$75,756 ",(B),(B)
....Standard Error,$795 ,$671 ,"$1,436 ","$1,439 ","$1,785 ","$3,601 ","$3,349 ","$8,524 ",(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
45 to 54 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"39,391","3,893","12,398","7,008","4,012","12,078","7,581","3,230",694,572
...Median Income,"$32,867 ","$15,803 ","$27,098 ","$32,243 ","$35,699 ","$53,470 ","$48,293 ","$60,425 ","$95,739 ","$83,189 "
....Standard Error,$309 ,$266 ,$210 ,$250 ,$373 ,$730 ,$723 ,"$1,003 ","$8,703 ","$3,513 "
...Mean Income,"$45,116 ","$20,019 ","$32,279 ","$38,767 ","$40,867 ","$71,477 ","$59,733 ","$79,381 ","$131,314 ","$109,846"
....Standard Error,$341 ,$453 ,$381 ,$512 ,$586 ,$907 ,$850 ,"$2,090 ","$5,928 ","$5,593 "
.White Alone,,,,,,,,,,
..With Income,"32,630","3,020","10,070","5,776","3,449","10,313","6,394","2,822",609,486
...Median Income,"$34,908 ","$16,297 ","$28,528 ","$33,576 ","$36,248 ","$55,185 ","$50,148 ","$60,117 ",$100000+,"$86,890 "
....Standard Error,$274 ,$293 ,$401 ,$728 ,$429 ,$534 ,$564 ,"$1,367 ","$26,099 ","$4,166 "
...Mean Income,"$46,852 ","$20,433 ","$33,445 ","$39,674 ","$41,646 ","$73,443 ","$61,747 ","$79,758 ","$134,038 ","$114,564"
....Standard Error,$387 ,$538 ,$448 ,$508 ,$610 ,"$1,015 ",$952 ,"$2,295 ","$6,491 ","$6,435 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"29,188","1,662","9,121","5,309","3,280","9,814","6,074","2,696",582,460
...Median Income,"$36,421 ","$15,661 ","$29,196 ","$34,242 ","$36,639 ","$55,471 ","$50,391 ","$60,344 ",$100000+,"$86,287 "
....Standard Error,$197 ,$593 ,$425 ,$785 ,$444 ,$463 ,$486 ,"$1,237 ","$26,982 ","$4,321 "
...Mean Income,"$48,703 ","$21,572 ","$33,944 ","$40,184 ","$42,111 ","$73,829 ","$62,232 ","$80,423 ","$134,001 ","$111,992"
....Standard Error,$421 ,$920 ,$480 ,$540 ,$632 ,"$1,043 ",$985 ,"$2,382 ","$6,676 ","$6,120 "
.Black Alone,,,,,,,,,,
..With Income,"4,448",586,"1,718",878,356,908,612,228,37,30
...Median Income,"$26,483 ","$12,047 ","$23,080 ","$28,910 ","$30,466 ","$50,488 ","$43,353 ","$59,870 ",(B),(B)
....Standard Error,$411 ,$445 ,$667 ,"$1,313 ","$2,382 ","$1,049 ","$1,945 ","$4,810 ",(B),(B)
...Mean Income,"$32,672 ","$16,760 ","$25,841 ","$31,469 ","$32,030 ","$57,285 ","$48,484 ","$65,975 ",(B),(B)
....Standard Error,$560 ,$787 ,$553 ,$902 ,"$1,352 ","$1,944 ","$1,800 ","$3,534 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,"1,519",168,364,174,113,698,471,141,38,46
...Median Income,"$32,434 ","$16,742 ","$23,628 ","$30,842 ","$32,168 ","$48,120 ","$39,205 ","$73,739 ",(B),(B)
....Standard Error,"$1,439 ","$1,247 ","$1,653 ","$3,555 ","$2,705 ","$1,781 ","$2,067 ","$6,383 ",(B),(B)
...Mean Income,"$46,262 ","$20,231 ","$31,931 ","$35,027 ","$50,040 ","$62,211 ","$46,211 ","$95,491 ",(B),(B)
....Standard Error,"$1,909 ","$2,036 ","$2,654 ","$3,353 ","$7,959 ","$3,402 ","$2,184 ","$12,568 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,"3,689","1,430","1,014",512,180,551,357,135,28,29
...Median Income,"$22,969 ","$16,770 ","$23,857 ","$30,957 ","$29,617 ","$50,171 ","$41,977 ","$56,248 ",(B),(B)
....Standard Error,$613 ,$322 ,"$1,003 ",$880 ,"$2,205 ","$2,451 ","$2,449 ","$3,614 ",(B),(B)
...Mean Income,"$31,943 ","$19,498 ","$28,442 ","$33,994 ","$34,613 ","$67,901 ","$56,702 ","$66,917 ",(B),(B)
....Standard Error,$925 ,$491 ,"$1,140 ","$1,319 ","$2,592 ","$5,063 ","$5,443 ","$6,654 ",(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"26,925","2,063","8,422","4,764","2,804","8,870","5,425","2,457",552,435
...Median Income,"$41,983 ","$23,373 ","$33,319 ","$40,911 ","$43,171 ","$63,284 ","$57,154 ","$68,426 ",$100000+,"$92,036 "
....Standard Error,$155 ,$504 ,$440 ,$299 ,"$1,174 ",$701 ,$614 ,"$1,275 ","$39,142 ","$3,099 "
...Mean Income,"$56,016 ","$27,822 ","$39,776 ","$47,825 ","$49,523 ","$84,447 ","$71,842 ","$91,529 ","$146,644 ","$122,613 "
....Standard Error,$451 ,$758 ,$482 ,$650 ,$707 ,"$1,130 ","$1,058 ","$2,583 ","$6,840 ","$6,631 "
.White Alone,,,,,,,,,,
..With Income,"22,333","1,634","6,857","3,955","2,415","7,470","4,487","2,133",485,364
...Median Income,"$44,253 ","$24,179 ","$35,302 ","$41,835 ","$45,591 ","$65,873 ","$60,740 ","$69,127 ",$100000+,"$94,297 "
....Standard Error,$441 ,$602 ,$257 ,$325 ,$678 ,$541 ,$489 ,"$1,175 ","$39,849 ","$11,323 "
...Mean Income,"$58,215 ","$28,403 ","$41,250 ","$48,837 ","$50,327 ","$87,828 ","$75,579 ","$92,425 ","$150,168 ","$128,701 "
....Standard Error,$514 ,$901 ,$565 ,$607 ,$717 ,"$1,289 ","$1,236 ","$2,851 ","$7,457 ","$7,737 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"19,977",795,"6,188","3,619","2,305","7,068","4,245","2,018",464,340
...Median Income,"$46,419 ","$27,519 ","$35,905 ","$42,254 ","$46,100 ","$66,340 ","$61,170 ","$69,784 ",$100000+,"$94,728 "
....Standard Error,$245 ,$918 ,$271 ,$426 ,$647 ,$553 ,$484 ,"$1,012 ","$40,903 ","$13,527 "
...Mean Income,"$60,539 ","$33,164 ","$41,956 ","$49,586 ","$50,845 ","$88,657 ","$76,402 ","$94,134 ","$149,543 ","$125,959 "
....Standard Error,$558 ,"$1,759 ",$606 ,$647 ,$742 ,"$1,333 ","$1,284 ","$2,997 ","$7,675 ","$7,273 "
.Black Alone,,,,,,,,,,
..With Income,"2,979",268,"1,151",591,239,728,493,177,32,25
...Median Income,"$32,140 ","$21,141 ","$27,646 ","$32,482 ","$37,304 ","$51,895 ","$48,867 ","$62,062 ",(B),(B)
....Standard Error,$286 ,$903 ,$565 ,"$1,245 ","$1,146 ",$589 ,"$2,261 ","$3,406 ",(B),(B)
...Mean Income,"$40,474 ","$23,791 ","$31,322 ","$38,474 ","$39,472 ","$63,038 ","$53,496 ","$72,094 ",(B),(B)
....Standard Error,$724 ,"$1,224 ",$627 ,"$1,061 ","$1,557 ","$2,263 ","$2,043 ","$4,097 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Income,"1,125",99,267,118,87,552,362,121,28,40
...Median Income,"$41,018 ","$21,712 ","$26,751 ","$40,097 ","$36,655 ","$52,124 ","$46,288 ","$78,609 ",(B),(B)
....Standard Error,$809 ,$731 ,$772 ,"$2,680 ","$5,240 ","$2,404 ","$2,043 ","$3,633 ",(B),(B)
...Mean Income,"$55,910 ","$26,275 ","$38,359 ","$44,570 ","$58,958 ","$71,656 ","$54,572 ","$106,483 ",(B),(B)
....Standard Error,"$2,419 ","$3,113 ","$3,443 ","$4,308 ","$9,967 ","$4,039 ","$2,470 ","$14,214 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Income,"2,512",886,703,367,118,436,267,121,21,26
...Median Income,"$30,255 ","$21,587 ","$30,217 ","$36,098 ","$35,241 ","$55,747 ","$51,116 ","$57,099 ",(B),(B)
....Standard Error,$456 ,$512 ,$886 ,"$1,181 ","$2,384 ","$2,211 ","$2,159 ","$3,532 ",(B),(B)
...Mean Income,"$38,942 ","$24,389 ","$34,778 ","$40,877 ","$42,198 ","$72,652 ","$61,271 ","$63,018 ",(B),(B)
....Standard Error,"$1,082 ",$622 ,"$1,494 ","$1,504 ","$3,179 ","$4,880 ","$4,026 ","$4,320 ",(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
55 to 64 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"27,677","3,486","8,863","4,741","2,394","8,192","4,650","2,480",475,586
...Median Income,"$28,543 ","$13,664 ","$22,890 ","$28,309 ","$32,010 ","$50,805 ","$42,489 ","$55,182 ","$82,778 ","$80,576 "
....Standard Error,$300 ,$276 ,$352 ,$627 ,$535 ,$371 ,$834 ,"$1,113 ","$5,367 ","$1,818 "
...Mean Income,"$40,868 ","$18,085 ","$28,442 ","$36,113 ","$39,024 ","$67,296 ","$55,835 ","$69,091 ","$122,646 ","$105,702"
....Standard Error,$390 ,$423 ,$361 ,$788 ,$772 ,"$1,061 ","$1,195 ","$1,713 ","$6,900 ","$5,949 "
.White Alone,,,,,,,,,,
..With Income,"23,590","2,678","7,553","4,111","2,032","7,214","4,046","2,246",417,503
...Median Income,"$29,891 ","$14,067 ","$23,592 ","$28,872 ","$33,218 ","$51,349 ","$45,168 ","$54,613 ","$82,465 ","$81,406 "
....Standard Error,$284 ,$309 ,$368 ,$753 ,"$1,101 ",$385 ,$867 ,"$1,172 ","$5,063 ","$3,386 "
