Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,,,,,,,,,,
Table 1. Selected Services - Estimated Quarterly Revenue for Employer Firms,,,,,,,,,,,,,,
"[Estimates have not been adjusted for seasonal variation, holiday or trading-day differences, or price changes.  Estimates are based on data from the Quarterly Services Survey and have been adjusted using results of the 2005 Service Annual Survey.  Data beginning with the third quarter of 2006 are based on a new sample.  All estimates are based on the 2002 North American Industry Classification System (NAICS).  NAICS codes marked with an asterisk (*) correspond to a previously published level, that will not be included in future releases.  For additional information see www.census.gov/qss]",,,,,,,,,,,,,,
,…....Government ,"20,591","20,293",33.6,33.6
,…....Business,"38,136","37,904",62.2,62.7
,……Household consumers and individual users ,S,           S,S,           S
,,,,,
5413 pt,Architectural and related services 5,,,,
,...Total revenue ,"16,449","16,607",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business,"12,240","12,639",74.4,76.1
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
54133,Engineering services,,,,
,...Total revenue ,"44,854","43,806",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"18,441","18,185",41.1,41.5
,…....Business,"25,896","25,265",57.7,57.7
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
5415,Computer systems design and related services,,,,
,...Total revenue ,"51,436","48,919",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"16,803","15,725",32.7,32.1
,…....Business,"34,076","32,656",66.2,66.8
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
5416,"Management, scientific, and technical consulting 
  services",,,,
,...Total revenue ,"39,230","38,553",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"5,957","5,873",15.2,15.2
,…....Business,"32,491","31,902",82.8,82.7
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
5418,Advertising and related services ,,,,
,...Total revenue ,"19,785","18,163",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business,"18,724","17,211",94.6,94.8
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
541 pt*,"Other professional, scientific, and technical services 6",,,,
,...Total revenue ,"106,157","94,187",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,"14,713",           S,15.6
,…....Business,"70,530","61,603",66.4,65.4
,……Household consumers and individual users ,"21,789","17,871",20.5,19.0
,,,,,
541 pt,"Other professional, scientific, and technical services 7",,,,
,...Total revenue ,"41,423","40,559",100.0,100.0
,...Class of customer ,,,,
,…....Government ,S,"10,328",S,25.5
,…....Business,"24,164","21,786",58.3,53.7
,……Household consumers and individual users ,"7,905","8,445",19.1,20.8
(p) Preliminary estimate.     (r) Revised estimate.       ,,,,,
,,,,,
S  Estimate does not meet publication standards because of high sampling variability or poor response quality.  Unpublished estimates derived from this table by subtraction are subject to these same limitations and should not be attributed to the U.S. Census Bureau.,,,,,
,,,,,
(*) NAICS definition corresponds to a previously published level.  Data associated with this NAICS definition will not be published in future releases.,,,,,
,,,,,
"(1) Estimates are based on the 2002 NAICS codes.  For a full description of the NAICS codes used in this table, see www.census.gov/epcd/www/naics.html.  For information linking the 1997 NAICS to the corresponding 2002 NAICS, see www.census.gov/qss.",,,,,
"(2) Includes all of NAICS 54 (professional, scientific, and technical services) including 54132 (landscape architectural services) and 54194 (veterinary services).",,,,,
"(3) Includes all of NAICS 54 (professional, scientific, and technical services) except 54132 (landscape architectural services) and 54194 (veterinary services).",,,,,
"(4) Includes all of NAICS 5413 (architectural, engineering, and related services) except 54132 (landscape architectural services).",,,,,
"(5) Includes all of NAICS 5413 (architectural, engineering, and related services) except 54133 (engineering services).",,,,,
"(6) Includes NAICS 5411 (legal services), 5414 (specialized design services), 5417 (scientific research and development services), and 5419 (other professional, scientific, and technical services except 54194 (veterinary services)).",,,,,
"(7) Includes NAICS 5414 (specialized design services), 5417 (scientific research and development services), and 5419 (other professional, scientific, and technical services including 54194 (veterinary services)).",,,,,
,,,,,
"Note: Sector totals and subsector totals may include data for kinds of business not shown.  Detail percents may not add to 100 percent due to rounding.  Table 6 provides estimated measures of sampling variability.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,,




Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,
"Table 6. Professional, Scientific, and Technical Services (NAICS 54) - Estimated Measures of Sampling Variability",,,,
[Estimates are shown as percents and are based on data from the Quarterly Services Survey],,,,
"2002
NAICS
code",Kind of business,Median coefficient 1 of variation for quarterly total ,Standard error for percent of total,
,,Estimate,"4Q
2006","3Q
2006"
54,"Professional, scientific, and technical services",,,
,...Total revenue ,3.0,           X,           X
,...Class of customer ,,,
,…....Government ,6.5,0.9,0.8
,…....Business,2.9,1.1,0.8
,……Household consumers and individual users ,7.8,0.8,0.8
,,,,
54 pt,"Professional, scientific, and technical services 
  (except landscape architectural services
  and veterinary services) ",,,
,...Total revenue ,3.2,           X,           X
,...Class of customer ,,,
,…....Government ,6.6,0.8,0.8
,…....Business,3.0,1.1,0.8
,……Household consumers and individual users ,7.0,0.7,0.7
,,,,
5411,Legal services,,,
,...Total revenue ,8.0,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,S
,…....Business,8.8,2.8,2.5
,……Household consumers and individual users ,11.9,2.7,2.5
,,,,
5412,"Accounting, tax preparation, bookkeeping, and
  payroll services",,,
,...Total revenue ,7.9,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business,S,S,           S
,……Household consumers and individual users ,           S,           S,           S
,,,,
5413 pt*,"Architectural, engineering, and related services ",,,
,...Total revenue ,6.4,           X,           X
,...Class of customer ,,,
,…....Government ,9.1,3.0,2.6
,…....Business,9.1,2.9,2.4
,……Household consumers and individual users ,23.0,0.9,           S
,,,,
5413,"Architectural, engineering, and related services",,,
,...Total revenue ,6.2,           X,           X
,...Class of customer ,,,
,…....Government ,9.0,2.9,2.5
,…....Business,8.8,2.8,2.4
,……Household consumers and individual users ,           S,0.9,           S
,,,,
5413 pt,Architectural and related services ,,,
,...Total revenue ,12.4,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business,13.1,3.1,2.5
,……Household consumers and individual users ,           S,           S,           S
,,,,
54133,Engineering services,,,
,...Total revenue ,9.1,           X,           X
,...Class of customer ,,,
,…....Government ,9.2,2.9,2.8
,…....Business,12.9,2.9,2.7
,……Household consumers and individual users ,           S,           S,           S
,,,,
5415,Computer systems design and related services,,,
,...Total revenue ,5.4,           X,           X
,...Class of customer ,,,
,…....Government ,9.6,2.4,2.3
,…....Business,6.6,2.4,2.2
,……Household consumers and individual users ,           S,           S,           S
,,,,
5416,"Management, scientific, and technical consulting 
  services",,,
,...Total revenue ,5.8,           X,           X
,...Class of customer ,,,
,…....Government ,13.1,1.8,1.7
,…....Business,6.1,1.9,1.8
,……Household consumers and individual users ,           S,           S,           S
,,,,
5418,Advertising and related services ,,,
,...Total revenue ,4.0,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business,4.3,0.9,0.9
,……Household consumers and individual users ,           S,           S,           S
,,,,
541 pt*,"Other professional, scientific, and technical services ",,,
,...Total revenue ,4.7,           X,           X
,...Class of customer ,,,
,…....Government ,10.3,           S,1.4
,…....Business,4.9,1.8,1.6
,……Household consumers and individual users ,9.6,1.5,1.5
,,,,
541 pt,"Other professional, scientific, and technical services ",,,
,...Total revenue ,4.3,           X,           X
,...Class of customer ,,,
,…....Government ,13.2,S,2.1
,…....Business,4.8,2.1,1.8
,……Household consumers and individual users ,11.0,1.4,1.8
X  Not applicable.       ,,,,
,,,,
S  Corresponding estimate in Table 5 does not meet publication standards because of high sampling variability or poor response quality.,,,,
,,,,
(*) NAICS definition corresponds to a previously published level.  Data associated with this NAICS definition will not be published in future releases.,,,,
,,,,
(1) The medians are based on estimates from the second quarter of 2006 through the fourth quarter of 2006.,,,,
,,,,
"Note: The measures of sampling variability shown in this table may be overstated.  They will be recompiled prior to the next release.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,


Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,
Table 7. Administrative and Support and Waste Management and Remediation Services (NAICS 56) - Estimated Quarterly Revenue for Employer Firms by Class of Customer,,,,,
"[Estimates have not been adjusted for seasonal variation, holiday or trading-day differences, or price changes.  Estimates are based on data from the Quarterly Services Survey and have been adjusted using results of the 2005 Service Annual Survey.  Data beginning with the third quarter of 2006 are based on a new sample.  All estimates are based on the 2002 North American Industry Classification System (NAICS).  NAICS codes marked with an asterisk (*) correspond to a previously published level, that will not be included in future releases.  For additional information see www.census.gov/qss]",,,,,
"2002
 NAICS
 code 1",Kind of business,Revenue (Millions of dollars),,Percent of revenue,
,,"4Q
2006
(p)","3Q
2006
(r)","4Q
2006
(p)","3Q
2006
(r)"
56,"Administrative and support and waste 
  management and remediation services 2",,,,
,...Total revenue ,"144,085","142,551",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"14,435","14,533",10.0,10.2
,…....Business ,"107,771","106,812",74.8,74.9
,……Household consumers and individual users ,           S,S,           S,S
,,,,,
56 pt,"Administrative and support and waste 
  management and remediation services 
  (except landscape services) 3",,,,
,...Total revenue ,"132,038","130,432",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"13,213","12,886",10.0,9.9
,…....Business ,"100,783","99,796",76.3,76.5
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
561*,Administrative and support services 4 ,,,,
,...Total revenue ,"114,570","113,050",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"9,684","9,481",8.5,8.4
,…....Business ,"89,538","88,381",78.2,78.2
,……Household consumers and individual users ,           S,"15,188",           S,13.4
,,,,,
561,Administrative and support services 5 ,,,,
,...Total revenue ,"126,617","125,169",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"10,906","11,128",8.6,8.9
,…....Business ,"96,526","95,397",76.2,76.2
,……Household consumers and individual users ,           S,"18,644",           S,14.9
,,,,,
5613,Employment services ,,,,
,...Total revenue ,"44,763","42,665",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,S,           S,S
,…....Business ,"42,734","40,745",95.5,95.5
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
5615,Travel arrangement and reservation services,,,,
,...Total revenue ,"8,498","8,660",100.0,100.0
,...Class of customer ,,,,
,…....Government ,S,S,S,S
,…....Business ,S,           S,S,           S
,……Household consumers and individual users ,"4,707","4,574",55.4,52.8
,,,,,
561 pt*,Other administrative and support services 6,,,,
,...Total revenue ,"61,309","61,725",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"8,119","8,157",13.2,13.2
,…....Business ,S,S,S,S
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
561 pt,Other administrative and support services 7,,,,
,...Total revenue ,"73,356","73,844",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"9,341","9,804",12.7,13.3
,…....Business ,"50,265",S,68.5,S
,……Household consumers and individual users ,           S,S,           S,S
,,,,,
562,Waste management and remediation services,,,,
,...Total revenue ,"17,468","17,382",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business ,           S,           S,           S,           S
,……Household consumers and individual users ,           S,           S,           S,           S
(p) Preliminary estimate.     (r) Revised estimate.       ,,,,,
,,,,,
S  Estimate does not meet publication standards because of high sampling variability or poor response quality.  Unpublished estimates derived from this table by subtraction are subject to these same limitations and should not be attributed to the U.S. Census Bureau.,,,,,
,,,,,
(*) NAICS definition corresponds to a previously published level.  Data associated with this NAICS definition will not be published in future releases.,,,,,
,,,,,
"(1) Estimates are based on the 2002 NAICS codes.  For a full description of the NAICS codes used in this table, see www.census.gov/epcd/www/naics.html.  For information linking the 1997 NAICS to the corresponding 2002 NAICS, see www.census.gov/qss.",,,,,
(2) Includes all of NAICS 56 (administrative and support and waste management and remediation services including 56173 (landscaping services)).,,,,,
(3) Includes all of NAICS 56 (administrative and support and waste management and remediation services except 56173 (landscaping services)).,,,,,
(4) Includes all of NAICS 561 (administrative and support services except 56173 (landscaping services)).,,,,,
(5) Includes all of NAICS 561 (administrative and support services).,,,,,
"(6) Includes NAICS 5611 (office administrative services), 5612 (facilities support services), 5614 (business support services), 5616 (investigation and security services), 5617 (services to buildings and dwellings except 56173 (landscaping services)), and 5619 (other support services).",,,,,
"(7) Includes NAICS 5611 (office administrative services), 5612 (facilities support services), 5614 (business support services), 5616 (investigation and security services), 5617 (services to buildings and dwellings including 56173 (landscaping services)), and 5619 (other support services).",,,,,
,,,,,
"Note: Sector totals and subsector totals may include data for kinds of business not shown.  Detail percents may not add to 100 percent due to rounding.  Table 8 provides estimated measures of sampling variability.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,,



Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,
Table 8. Administrative and Support and Waste Management and Remediation Services (NAICS 56) - Estimated Measures of Sampling Variability,,,,,
[Estimates are shown as percents and are based on data from the Quarterly Services Survey],,,,,
"2002
NAICS
code",Kind of business,Median coefficient 1 of variation for quarterly total ,Standard error for percent of total,,
,,Estimate,"4Q
2006","3Q
2006",
56,"Administrative and support and waste 
  management and remediation services ",,,,
,...Total revenue ,3.7,           X,           X,
,...Class of customer ,,,,
,…....Government ,7.7,0.7,0.7,
,…....Business ,3.9,1.0,1.0,
,……Household consumers and individual users ,           S,           S,0.7,
,,,,
56 pt,"Administrative and support and waste 
  management and remediation services 
  (except landscape services) ",,,
,...Total revenue ,3.8,           X,           X
,...Class of customer ,,,
,…....Government ,8.4,0.8,0.9
,…....Business ,4.0,1.1,1.0
,……Household consumers and individual users ,           S,           S,           S
,,,,
561*,Administrative and support services  ,,,
,...Total revenue ,3.7,           X,           X
,...Class of customer ,,,
,…....Government ,10.3,0.7,0.8
,…....Business ,4.0,1.1,1.1
,……Household consumers and individual users ,4.9,           S,0.8
,,,,
561,Administrative and support services  ,,,
,...Total revenue ,3.6,           X,           X
,...Class of customer ,,,
,…....Government ,9.2,0.6,0.7
,…....Business ,3.9,1.0,1.1
,……Household consumers and individual users ,4.9,           S,0.8
,,,,
5613,Employment services ,,,
,...Total revenue ,6.7,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,0.4
,…....Business ,6.9,0.8,0.8
,……Household consumers and individual users ,           S,           S,           S
,,,,
5615,Travel arrangement and reservation services,,,
,...Total revenue ,6.0,           X,           X
,...Class of customer ,,,
,…....Government ,S,S,S
,…....Business ,S,S,           S
,……Household consumers and individual users ,7.9,2.3,2.6
,,,,
561 pt*,Other administrative and support services ,,,
,...Total revenue ,4.8,           X,           X
,...Class of customer ,,,
,…....Government ,11.4,1.2,1.2
,…....Business ,S,S,S
,……Household consumers and individual users ,           S,           S,           S
,,,,
561 pt,Other administrative and support services ,,,
,...Total revenue ,4.6,           X,           X
,...Class of customer ,,,
,…....Government ,9.6,1.0,1.1
,…....Business ,5.1,1.4,S
,……Household consumers and individual users ,           S,           S,S
,,,,
562,Waste management and remediation services,,,
,...Total revenue ,8.4,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business ,           S,           S,           S
,……Household consumers and individual users ,           S,           S,           S
X  Not applicable.       ,,,,
,,,,
S  Corresponding estimate in Table 7 does not meet publication standards because of high sampling variability or poor response quality.,,,,
,,,,
(*) NAICS definition corresponds to a previously published level.  Data associated with this NAICS definition will not be published in future releases.,,,,
,,,,
(1) The medians are based on estimates from the second quarter of 2006 through the fourth quarter of 2006.,,,,
,,,,
"Note: The measures of sampling variability shown in this table may be overstated.  They will be recompiled prior to the next release.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,


Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,,,,,,,,,,
"Table 9. Selected Health Care Services - Estimated Quarterly Revenue, Expenses, Inpatient Days, and Discharges for Employer Firms",,,,,,,,,,,,,,
"[Estimates have not been adjusted for seasonal variation, holiday or trading-day differences, or price changes.  Estimates are based on data from the Quarterly Services Survey and have been adjusted using results of the 2005 Service Annual Survey.  Data beginning with the third quarter of 2006 are based on a new sample.  All estimates are based on the 2002 North American Industry Classification System (NAICS).  For additional information see www.census.gov/qss]",,,,,,,,,,,,,,
"2002
NAICS
 code 1",Kind of business,Total estimate,,,,,,Percent change,,,,Year to date,,
,,"4Q
2006
(p)","3Q
2006
(r)","2Q
2006
(r)","1Q
2006
(r)","4Q
2005
(r)","3Q
2005
(r)","4Q 2006
from
3Q 2006
(p)","3Q 2006
from
2Q 2006
(r)","4Q 2006
from
4Q 2005
(p)","3Q 2006
from
3Q 2005
(r)","2006
(p)","2005
(r)","2006
from
2005
(p)"
62 pt,Selected health care services 2,,,,,,,,,,,,,
,...Total revenue (in millions) ,"203,142","199,533","199,162","196,898","191,649","190,185",1.8,0.2,6.0,4.9,"798,735","757,146",5.5
,...Total expenses (in millions),"186,216","183,252","182,230","180,466","178,243","175,425",1.6,0.6,4.5,4.5,"732,164","694,863",5.4
,,,,,,,,,,,,,,
62 pt,Selected health care services - taxable 2,,,,,,,,,,,,,
,...Total revenue (in millions),"42,548","41,534","41,584","41,470","40,272","39,368",2.4,-0.1,5.7,5.5,"167,136","156,667",6.7
,...Total expenses (in millions),"38,435","37,514","37,391","37,102","36,493","35,556",2.5,0.3,5.3,5.5,"150,442","140,698",6.9
,,,,,,,,,,,,,,
62 pt,Selected health care services - tax-exempt 2,,,,,,,,,,,,,
,...Total revenue (in millions),"160,594","157,999","157,578","155,428","151,377","150,817",1.6,0.3,6.1,4.8,"631,599","600,479",5.2
,...Total expenses (in millions),"147,781","145,738","144,839","143,364","141,750","139,869",1.4,0.6,4.3,4.2,"581,722","554,165",5.0
,,,,,,,,,,,,,,
622,Hospitals,,,,,,,,,,,,,
,...Total revenue (in millions),"164,190","160,524","160,301","158,438","153,926","153,316",2.3,0.1,6.7,4.7,"643,453","610,517",5.4
,...Total expenses (in millions) ,"149,714","146,894","145,683","144,541","142,483","140,556",1.9,0.8,5.1,4.5,"586,832","556,868",5.4
,...Inpatient days (in thousands) ,"57,107","56,771","57,118","59,337","56,533","57,040",0.6,-0.6,1.0,-0.5,"230,333","231,972",-0.7
,...Discharges (in thousands) ,"8,999","8,903","8,923","9,142","8,751","8,907",1.1,-0.2,2.8,Z,"35,967","35,940",0.1
,,,,,,,,,,,,,,
622,Hospitals - taxable,,,,,,,,,,,,,
,...Total revenue (in millions),"19,126","18,164","18,337","18,643","17,983","17,795",5.3,-0.9,6.4,2.1,"74,270","70,650",5.1
,...Total expenses (in millions),"16,571","15,814","15,723","15,991","15,591","15,349",4.8,0.6,6.3,3.0,"64,099","60,336",6.2
,...Inpatient days (in thousands),"8,271","8,192","8,251","8,653","7,971","7,824",1.0,-0.7,3.8,4.7,"33,367","31,805",4.9
,...Discharges (in thousands) ,"1,388","1,356","1,361","1,442","1,337","1,353",2.4,-0.4,3.8,0.2,"5,547","5,421",2.3
,,,,,,,,,,,,,,
622,Hospitals - tax-exempt,,,,,,,,,,,,,
,...Total revenue (in millions),"145,064","142,360","141,964","139,795","135,943","135,521",1.9,0.3,6.7,5.0,"569,183","539,867",5.4
,...Total expenses (in millions),"133,143","131,080","129,960","128,550","126,892","125,207",1.6,0.9,4.9,4.7,"522,733","496,532",5.3
,...Inpatient days (in thousands),"48,836","48,579","48,867","50,684","48,562","49,216",0.5,-0.6,0.6,-1.3,"196,966","200,167",-1.6
,...Discharges (in thousands) ,"7,611","7,547","7,562","7,700","7,414","7,554",0.8,-0.2,2.7,-0.1,"30,420","30,519",-0.3
,,,,,,,,,,,,,,
623,Nursing and residential care facilities,,,,,,,,,,,,,
,...Total revenue (in millions),"38,952","39,009","38,861","38,460","37,723","36,869",-0.1,0.4,3.3,5.8,"155,282","146,629",5.9
,...Total expenses (in millions),"36,502","36,358","36,547","35,925","35,760","34,869",0.4,-0.5,2.1,4.3,"145,332","137,995",5.3
,,,,,,,,,,,,,,
623,Nursing and residential care facilities - taxable,,,,,,,,,,,,,
,...Total revenue (in millions),"23,422","23,370","23,247","22,827","22,289","21,573",0.2,0.5,5.1,8.3,"92,866","86,017",8.0
,...Total expenses (in millions) ,"21,684","21,700","21,668","21,111","20,902","20,207",0.8,0.1,4.6,7.4,"86,343","80,362",7.4
,,,,,,,,,,,,,,
623,"Nursing and residential care facilities - 
  tax-exempt",,,,,,,,,,,,,
,...Total revenue (in millions),"15,530","15,639","15,614","15,633","15,434","15,296",-0.7,0.2,0.6,2.2,"62,416","60,612",3.0
,...Total expenses (in millions),"14,638","14,658","14,879","14,814","14,858","14,662",-0.1,-1.5,-1.5,Z,"58,989","57,633",2.4
(p) Preliminary estimate.     (r) Revised estimate.       Z  Less than .05 percent.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(1) Estimates are based on the 2002 NAICS codes.  For a full description of the NAICS codes used in this table, see www.census.gov/epcd/www/naics.html.  For information linking the 1997 NAICS to the corresponding 2002 NAICS, see www.census.gov/qss.",,,,,,,,,,,,,,
(2) Includes NAICS 622 (hospitals) and 623 (nursing and residential care facilities).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Note: Sector totals and subsector totals may include data for kinds of business not shown.  Table 10 provides estimated measures of sampling variability.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,,,,,,,,,,,






Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,,,,,,,,,,
Table 10. Selected Health Care Services - Estimated Measures of Sampling Variability,,,,,,,,,,,,,,
[Estimates are shown as percents and are based on data from the Quarterly Services Survey],,,,,,,,,,,,,,
"2002
NAICS
code",Kind of business,"Median coefficient 1
of variation for quarterly total estimate","Median standard error 1
for percent change",,Coefficient of variation for year to date,Standard error for percent change,,,,,,,,
,,,Ratio of two consecutive quarters,Current quarter to current quarter last year,2006,2006 year-to-date from 2005 year-to-date,,,,,,,,
62 pt,Selected health care services ,,,,,,,,,,,,,
,...Total revenue ,3.3,0.6,4.2,2.5,3.1
,...Total expenses,3.8,0.7,4.6,2.9,3.4
,,,,,,
62 pt,Selected health care services - taxable ,,,,,
,...Total revenue ,3.0,0.9,5.3,2.4,3.9
,...Total expenses,3.0,0.9,5.1,2.5,3.8
,,,,,,
62 pt,Selected health care services - tax-exempt ,,,,,
,...Total revenue ,4.6,0.9,5.8,3.4,4.3
,...Total expenses,5.2,0.9,6.5,3.8,4.9
,,,,,,
622,Hospitals,,,,,
,...Total revenue ,4.7,0.8,5.3,3.5,4.0
,...Total expenses,5.3,0.9,5.9,4.0,4.3
,...Inpatient days ,6.3,0.5,8.4,4.6,6.1
,...Discharges,4.8,0.6,5.2,3.6,3.7
,,,,,,
622,Hospitals - taxable,,,,,
,...Total revenue ,4.0,1.4,6.3,3.4,4.6
,...Total expenses,3.9,1.7,5.9,3.3,4.4
,...Inpatient days ,6.3,2.0,8.6,5.3,6.3
,...Discharges,6.3,2.1,7.3,4.7,5.5
,,,,,,
622,Hospitals - tax-exempt,,,,,
,...Total revenue ,5.4,0.9,6.1,4.0,4.6
,...Total expenses,5.9,1.0,6.8,4.4,5.0
,...Inpatient days ,7.2,0.6,9.6,5.3,6.8
,...Discharges,5.3,0.7,5.9,4.1,4.1
,,,,,,
623,Nursing and residential care facilities,,,,,
,...Total revenue ,3.4,0.8,5.9,2.7,4.3
,...Total expenses,3.4,0.8,6.7,2.8,4.6
,,,,,,
623,Nursing and residential care facilities - taxable,,,,,
,...Total revenue ,5.4,1.0,8.7,4.1,6.8
,...Total expenses,5.5,1.2,8.7,4.1,6.7
,,,,,,
623,"Nursing and residential care facilities - 
  tax-exempt",,,,,
,...Total revenue ,6.3,1.1,17.8,4.8,12.7
,...Total expenses,6.4,0.5,18.3,4.7,13.1
(1) The medians are based on estimates from the second quarter of 2006 through the fourth quarter of 2006.,,,,,,
,,,,,,
"Note: The measures of sampling variability shown in this table may be overstated.  They will be recompiled prior to the next release.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,,,
