,"w/o Canada, Mexico, and Brazil",," 13,905 ", 836 ," 1,249 "," 2,139 "," 2,099 "," 2,228 "," 2,306 ", -   ," 2,323 ", (8)," 2,936 ", (4)," 2,678 ", (2)," 1,785 ", 1 ," 1,969 ",10.3%,,,,,,,,,,,,,,,,,," 15,304 "," 12,285 ",-19.7%,,," (16,183)"," (23,465)",45.0%,,,,," (16,183)"," (23,465)",45.0%,,,,
,,Total imports," 35,971 "," 37,359 "," 37,165 "," 41,601 "," 49,032 "," 57,741 "," 63,925 ", -   ," 70,436 ", -   ," 76,583 ", -   ," 81,470 ", -   ," 97,676 ", -   ," 104,660 ",7.1%, -   ,,,,,,,,,,,,,,,,," 54,680 "," 50,836 ",-7.0%,,," 54,680 "," 50,836 ",-7.0%,,,,," 54,680 "," 50,836 ",-7.0%,,,,
,"w/o Canada, Mexico, and Brazil",," 13,921 ", 115 , 101 , 116 , 131 , 147 , 196 , -   , 227 , (4), 285 , (3), 328 ,#DIV/0!, 458 , (1), 575 ,25.5%,,,,,,,,,,,,,,,,,," 24,726 "," 23,558 ",-4.7%,,," (29,263)"," (39,416)",34.7%,,,,," (29,263)"," (39,416)",34.7%,,,,
,,Total Balance," (13,272)"," (10,033)"," (7,742)"," (8,917)"," (11,599)"," (15,184)"," (20,376)", -   ," (24,698)", -   ," (22,428)", -   ," (26,706)", -   ," (39,002)", -   ," (41,427)",6.2%, -   ,,,,,,,,,,,,,,,,," (20,549)"," (20,333)",-1.0%,,," (20,549)"," (20,333)",-1.0%,,,,," (20,549)"," (20,333)",-1.0%,,,,
,"w/o Canada, Mexico, and Brazil",, (16), 721 ," 1,149 "," 2,024 "," 1,968 "," 2,081 "," 2,110 ", -   ," 2,096 ", (4)," 2,651 ", (1)," 2,351 ",#DIV/0!," 1,327 ", 2 ," 1,394 ",5.0%,,,,,,,,,,,,,,,,,," (9,422)"," (11,272)",19.6%,,," 13,080 "," 15,951 ",21.9%,,,,," 13,080 "," 15,951 ",21.9%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,Country,,1989,1990,1991,1992,1993,1994,1995,,1996, % chg,1997, % chg,1998, % chg,1999, % chg,2000, % chg,% World '99,2001,%chg,2002,%chg,2003,%chg,2004,%chg,2005,%chg,2006,%chg,2007,%chg,,%chg,YTD 2007,YTD 2008,% chg,,%chg,YTD 2005,YTD 2006,% chg,% World '00,101%,,%chg,YTD 2005,YTD 2006,% chg,% World '00,100%,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,44,28,27,29,15, 26 ,14,,13 ,-1,13 ,0,17 ,0,12 ,0,21 ,80.6%,0%,31 ,46.1%,15 ,-52.1%,16 ,7.8%,24,46.1%,13,-44.4%,16 ,18.2%,59 ,277.9%,,-100.0%,10 ,16 ,63.4%,,-100.0%,10 ,11 ,6.9%,0%,77%,,-100.0%,10 ,11 ,6.9%,0%,124%,,
,,Vehicle imports,2,0,9,0,0, 0 ,0,,0 ,6,145 ,"1,286",2 ,24,3 ,1,59 ,1679.1%,0%,655 ,1002.2%,307 ,-53.1%,522 ,69.9%,"1,258",141.0%,596,-52.6%,"1,927 ",223.4%,"3,663 ",90.1%,,-100.0%,699 ,894 ,28.0%,,-100.0%,358 ,772 ,115.6%,2%,#DIV/0!,,-100.0%,358 ,772 ,115.6%,1%,736362%,,
,,Vehicle balance, 42 , 28 , 18 , 29 , 15 , 26 ,14,,13 ,-1,(132),-6,15 ,0,9 ,0,(38),-547.0%,0%,(624),1540.1%,(292),0 ,(506),73.1%,"(1,234)",144.0%,(583),-52.8%,"(1,911)",228.0%,"(3,604)",88.6%,,-100.0%,(689),(878),27.4%,,-100.0%,(348),(761),118.7%,4%,-137%,,-100.0%,(348),(761),118.7%,1%,-3911%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,36,42,52,229,316, 394 ,842,,899 ,3,757 ,1,"1,086 ",0,"1,164 ",0,"1,056 ",-9.3%,2%,"1,117 ",5.7%,944 ,-15.5%,556 ,-41.1%,487,-12.3%,814,67.0%,888 ,9.1%,623 ,-29.9%,,-100.0%,206 ,101 ,-50.8%,,-100.0%,557 ,690 ,23.8%,1%,2515%,,-100.0%,557 ,690 ,23.8%,2%,62%,,
,,Parts imports,72,53,32,31,43, 78 ,74,,209 ,6,261 ,2,238 ,0,211 ,0,230 ,8.7%,0%,201 ,-12.6%,222 ,10.4%,281 ,26.5%,240,-14.6%,373,55.6%,358 ,-4.1%,531 ,48.4%,,-100.0%,74 ,64 ,-13.3%,,-100.0%,274 ,313 ,14.5%,0%,434%,,-100.0%,274 ,313 ,14.5%,0%,134%,,
,,Parts balance, (36), (11), 20 , 198 , 273 , 316 ,768,,690 ,2,496 ,1,848 ,0,953 ,0,826 ,-13.3%,-8%,916 ,10.8%,722 ,(0),275 ,-61.9%,247 ,-10.0%,441 ,78.0%,530 ,20.3%,92 ,-82.7%,,-100.0%,132 ,37 ,-71.9%,,-100.0%,283 ,376 ,32.7%,0%,-7513%,,-100.0%,283 ,376 ,32.7%,-1%,40%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports, 80 , 70 , 79 , 258 , 331 , 420 ,856,,912 ,3,770 ,1,"1,103 ",0,"1,176 ",0,"1,078 ",-8.4%,2%,"1,148 ",6.5%,959 ,(1),572 ,-40.3%,511 ,-10.7%,827 ,61.9%,903 ,9.3%,681 ,-24.6%,,-100.0%,216 ,118 ,-45.5%,,-100.0%,567 ,700 ,23.5%,0%,1543%,,-100.0%,567 ,700 ,23.5%,1%,63%,,
,,Total imports, 74 , 53 , 41 , 31 , 43 , 78 ,74,,209 ,6,406 ,4,240 ,0,215 ,0,289 ,34.7%,0%,856 ,195.9%,529 ,(0),802 ,51.7%,"1,497 ",86.6%,969 ,-35.3%,"2,284 ",135.8%,"4,193 ",83.6%,,-100.0%,773 ,958 ,24.0%,,-100.0%,632 ,"1,085 ",71.8%,2%,546%,,-100.0%,632 ,"1,085 ",71.8%,1%,384%,,
,,Total Balance, 6 , 17 , 38 , 227 , 288 , 342 ,782,,703 ,2,364 ,0,863 ,0,961 ,0,788 ,-18.0%,-1%,292 ,-63.0%,430 ,(0),(231),-153.7%,(987),327.8%,(142),-85.6%,"(1,381)",871.6%,"(3,512)",154.3%,,-100.0%,(557),(841),51.0%,,-100.0%,(65),(385),495.0%,3%,4678%,,-100.0%,(65),(385),495.0%,0%,-33%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,90,225,461,318,186, 209 ,316,,290 ,0,759 ,3,692 ,1,703 ,0,195 ,-72.3%,3%,225 ,15.7%,153 ,-32.1%,131 ,-14.2%,81,-38.6%,94,16.2%,206 ,119.7%,321 ,56.1%,,-100.0%,70 ,96 ,37.7%,,-100.0%,68 ,115 ,69.0%,1%,86%,,-100.0%,68 ,115 ,69.0%,0%,45%,,
,,Vehicle imports,436,453,297,248,749, 999 ,763,,829 ,2,"1,214 ",0,"1,469 ",1,"1,469 ",0,"1,076 ",-26.8%,1%,"1,219 ",13.3%,"1,022 ",-16.2%,"1,033 ",1.1%,"1,343",30.0%,"1,332",-0.8%,"1,122 ",-15.8%,912 ,-18.7%,,-100.0%,268 ,319 ,19.1%,,-100.0%,996 ,844 ,-15.3%,1%,238%,,-100.0%,996 ,844 ,-15.3%,1%,125%,,
,,Vehicle balance, (346), (228), 164 , 70 , (563), (790),-447,,(539),-9,(455),0,(778),0,(766),0,(881),15.1%,1%,(994),12.8%,(869),(0),(902),3.8%,"(1,263)",40.0%,"(1,239)",-1.9%,(916),-26.0%,(591),-35.5%,,-100.0%,(198),(223),12.6%,,-100.0%,(928),(728),-21.5%,1%,387%,,-100.0%,(928),(728),-21.5%,1%,167%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,196,235,236,266,351, 503 ,557,,509 ,1,536 ,0,508 ,0,348 ,0,385 ,10.7%,1%,348 ,-9.7%,393 ,13.0%,383 ,-2.5%,347,-9.4%,297,-14.5%,395 ,32.9%,411 ,4.1%,,-100.0%,107 ,103 ,-3.7%,,-100.0%,210 ,299 ,41.8%,1%,164%,,-100.0%,210 ,299 ,41.8%,1%,75%,,
,,Parts imports,103,78,78,,84, 77 ,69,,73 ,#DIV/0!,88 ,0,83 ,0,90 ,0,97 ,7.6%,0%,82 ,-15.4%,89 ,8.3%,100 ,12.7%,95,-4.8%,134,40.0%,168 ,25.9%,168 ,-0.1%,,-100.0%,44 ,38 ,-13.6%,,-100.0%,93 ,128 ,37.7%,0%,124%,,-100.0%,93 ,128 ,37.7%,0%,138%,,
,,Parts balance, 93 , 157 , 158 , 266 , 267 , 425 ,488,,436 ,1,448 ,0,425 ,0,258 ,0,288 ,11.8%,-2%,266 ,-7.8%,304 ,0 ,283 ,-7.0%,252 ,-11.1%,163 ,-35.2%,226 ,38.7%,243 ,7.3%,,-100.0%,63 ,65 ,3.2%,,-100.0%,118 ,171 ,45.1%,-1%,184%,,-100.0%,118 ,171 ,45.1%,-1%,65%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports, 286 , 460 , 697 , 584 , 537 , 712 ,872,,799 ,0,"1,295 ",1,"1,199 ",1,"1,052 ",0,580 ,-44.8%,1%,573 ,-1.2%,546 ,(0),515 ,-5.8%,428 ,-16.9%,390 ,-8.8%,600 ,53.7%,732 ,21.9%,,-100.0%,176 ,198 ,12.7%,,-100.0%,279 ,414 ,48.5%,1%,126%,,-100.0%,279 ,414 ,48.5%,1%,64%,,
,,Total imports, 539 , 531 , 375 , 248 , 833 ," 1,076 ",832,,902 ,3,"1,302 ",0,"1,552 ",1,"1,560 ",0,"1,173 ",-24.8%,1%,"1,302 ",10.9%,"1,111 ",(0),"1,133 ",2.0%,"1,439 ",27.0%,"1,466 ",1.9%,"1,290 ",-12.0%,"1,080 ",-16.3%,,-100.0%,311 ,357 ,14.5%,,-100.0%,"1,089 ",972 ,-10.8%,1%,221%,,-100.0%,"1,089 ",972 ,-10.8%,1%,126%,,
,,Total Balance, (253), (71), 322 , 336 , (296), (365),40,,(103),-1,(8),-1,(352),2,(508),0,(593),16.7%,0%,(728),22.8%,(565),(0),(619),9.6%,"(1,011)",63.4%,"(1,076)",6.4%,(690),-35.9%,(348),-49.6%,,-100.0%,(135),(158),17.0%,,-100.0%,(810),(558),-31.2%,0%,839%,,-100.0%,(810),(558),-31.2%,1%,603%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,314,186,203,203,64, 101 ,59,,77 ,#REF!,44 ,-1,83 ,0,87 ,0,79 ,-8.8%,0%,126 ,58.3%,37 ,-70.9%,51 ,40.2%,89,72.7%,63,-28.4%,105 ,65.8%,260 ,147.8%,,-100.0%,34 ,51 ,53.3%,,-100.0%,47 ,76 ,63.1%,0%,43%,,-100.0%,47 ,76 ,63.1%,0%,67%,,
,,Vehicle imports,157,56,38,28,46, 60 ,63,,30 ,#REF!,51 ,0,53 ,1,61 ,0,37 ,-39.2%,0%,31 ,-16.6%,26 ,-17.8%,14 ,-47.1%,35,159.5%,12,-65.8%,8 ,-30.3%,38 ,360.3%,,-100.0%,2 ,71 ,3560.0%,,-100.0%,12 ,8 ,-31.8%,0%,66%,,-100.0%,12 ,8 ,-31.8%,0%,45%,,
,,Vehicle balance, 157 , 129 , 164 , 175 , 19 , 41 ,-4,,47 ,-1,(7),-1,30 ,0,26 ,0,42 ,63.4%,0%,95 ,124.7%,11 ,(1),38 ,242.6%,53 ,41.6%,51 ,-3.9%,97 ,88.2%,222 ,129.5%,,-100.0%,32 ,(19),-161.6%,,-100.0%,35 ,69 ,94.1%,0%,33%,,-100.0%,35 ,69 ,94.1%,0%,81%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,133,164,159,224,226, 239 ,272,,258 ,0,296 ,0,268 ,0,281 ,0,366 ,30.2%,1%,407 ,11.1%,355 ,-12.8%,446 ,25.9%,599,34.2%,633,5.7%,657 ,3.8%,750 ,14.2%,,-100.0%,193 ,199 ,3.5%,,-100.0%,496 ,489 ,-1.4%,1%,224%,,-100.0%,496 ,489 ,-1.4%,1%,173%,,
,,Parts imports,751,823,823,797,845, 950 ,962,,959 ,0,961 ,0,"1,094 ",0,"1,303 ",0,"1,133 ",-13.0%,2%,"1,165 ",2.8%,"1,197 ",2.7%,"1,302 ",8.8%,"1,478",13.5%,"1,449",-2.0%,"1,320 ",-8.9%,"1,253 ",-5.1%,,-100.0%,299 ,306 ,2.4%,,-100.0%,"1,082 ","1,014 ",-6.3%,1%,138%,,-100.0%,"1,082 ","1,014 ",-6.3%,1%,136%,,
,,Parts balance, (618), (659), (664), (572), (619), (711),-690,,(700),0,(665),0,(826),0,"(1,022)",0,(767),-24.9%,9%,(759),-1.1%,(843),(0),(856),1.6%,(879),2.7%,(815),-7.2%,(663),-18.7%,(503),-24.2%,,-100.0%,(106),(106),0.3%,,-100.0%,(586),(525),-10.4%,1%,116%,,-100.0%,(586),(525),-10.4%,2%,122%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports, 447 , 349 , 362 , 427 , 290 , 340 ,331,,335 ,0,340 ,0,351 ,0,368 ,0,445 ,21.0%,0%,532 ,19.5%,391 ,(1),498 ,27.2%,687 ,38.1%,696 ,1.3%,762 ,9.4%,"1,011 ",32.6%,,-100.0%,226 ,251 ,10.9%,,-100.0%,543 ,566 ,4.2%,1%,128%,,-100.0%,543 ,566 ,4.2%,1%,148%,,
,,Total imports, 908 , 879 , 862 , 824 , 891 ," 1,010 ","1,025",,989 ,0,"1,012 ",0,"1,147 ",0,"1,364 ",0,"1,171 ",-14.2%,1%,"1,196 ",2.2%,"1,223 ",(0),"1,316 ",7.6%,"1,513 ",15.0%,"1,461 ",-3.5%,"1,328 ",-9.0%,"1,292 ",-2.8%,,-100.0%,301 ,376 ,25.3%,,-100.0%,"1,094 ","1,022 ",-6.6%,1%,133%,,-100.0%,"1,094 ","1,022 ",-6.6%,1%,133%,,
,,Total Balance, (461), (530), (500), (397), (600), (670),-694,,(654),1,(672),0,(796),0,(996),0,(725),-27.2%,1%,(664),-8.4%,(832),(1),(818),-1.6%,(826),0.9%,(764),-7.5%,(566),-25.9%,(281),-50.4%,,-100.0%,(74),(126),69.0%,,-100.0%,(551),(457),-17.1%,0%,137%,,-100.0%,(551),(457),-17.1%,0%,125%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,Country,,1989,1990,1991,1992,1993,1994,1995,,1996, % chg,1997, % chg,1998, % chg,1999, % chg,2000, % chg,% World '99,2001,%chg,2002,%chg,2003,%chg,2004,%chg,2005,%chg,2006,%chg,2007,%chg,,%chg,YTD 2007,YTD 2008,% chg,,%chg,YTD 2005,YTD 2006,% chg,% World '00,101%,,%chg,YTD 2005,YTD 2006,% chg,% World '00,100%,,
Europe Continued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,434,702,"1,013","1,241",915, 818 ,749,,"1,274 ",0,"1,184 ",0,"1,345 ",0,"1,194 ",0,"1,213 ",1.6%,5%,"1,797 ",48.2%,"2,811 ",56.4%,"3,958 ",40.8%,"4,022",1.6%,"3,676",-8.6%,"5,199 ",41.4%,"7,205 ",38.6%,,-100.0%,"1,462 ","1,978 ",35.3%,,-100.0%,"2,524 ","4,016 ",59.1%,13%,173%,,-100.0%,"2,524 ","4,016 ",59.1%,9%,311%,,
,,Vehicle imports,"5,068","5,885","4,829","5,904","5,434"," 5,848 ","6,654",,"7,423 ",0,"9,040 ",1,"11,138 ",1,"13,505 ",0,"14,676 ",8.7%,12%,"15,048 ",2.5%,"17,813 ",18.4%,"19,756 ",10.9%,"20,441",3.5%,"20,415",-0.1%,"19,384 ",-5.0%,"17,829 ",-8.0%,,-100.0%,"3,990 ","4,428 ",11.0%,,-100.0%,"14,318 ","14,088 ",-1.6%,12%,249%,,-100.0%,"14,318 ","14,088 ",-1.6%,12%,266%,,
,,Vehicle balance," (4,633)"," (5,183)"," (3,817)"," (4,663)"," (4,519)"," (5,030)","-5,905",,"(6,149)",0,"(7,856)",1,"(9,793)",1,"(12,312)",0,"(13,463)",9.4%,13%,"(13,250)",-1.6%,"(15,002)",0 ,"(15,798)",5.3%,"(16,419)",3.9%,"(16,739)",2.0%,"(14,186)",-15.3%,"(10,623)",-25.1%,,-100.0%,"(2,528)","(2,450)",-3.1%,,-100.0%,"(11,795)","(10,072)",-14.6%,10%,260%,,-100.0%,"(11,795)","(10,072)",-14.6%,13%,257%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,411,459,571,714,790, 839 ,928,,898 ,0,"1,006 ",0,"1,019 ",0,950 ,0,974 ,2.6%,2%,"1,116 ",14.6%,941 ,-15.7%,"1,019 ",8.3%,"1,256",23.2%,"1,379",9.8%,"1,591 ",15.4%,"1,586 ",-0.3%,,-100.0%,409 ,463 ,13.1%,,-100.0%,"1,057 ","1,143 ",8.1%,3%,212%,,-100.0%,"1,057 ","1,143 ",8.1%,3%,113%,,
,,Parts imports,"1,878","2,088","1,805","1,909","1,986"," 2,189 ","2,463",,"2,544 ",0,"2,616 ",0,"3,109 ",0,"3,451 ",0,"3,874 ",12.3%,6%,"3,746 ",-3.3%,"4,336 ",15.7%,"5,426 ",25.1%,"6,147",13.3%,"6,709",9.1%,"7,132 ",6.3%,"8,289 ",16.2%,,-100.0%,"1,936 ","1,928 ",-0.4%,,-100.0%,"5,060 ","5,459 ",7.9%,8%,186%,,-100.0%,"5,060 ","5,459 ",7.9%,8%,213%,,
,,Parts balance," (1,467)"," (1,629)"," (1,234)"," (1,195)"," (1,195)"," (1,350)","-1,535",,"(1,646)",0,"(1,610)",0,"(2,090)",0,"(2,502)",0,"(2,900)",15.9%,21%,"(2,630)",-9.3%,"(3,395)",(0),"(4,407)",29.8%,"(4,891)",11.0%,"(5,330)",9.0%,"(5,541)",4.0%,"(6,702)",21.0%,,-100.0%,"(1,527)","(1,465)",-4.0%,,-100.0%,"(4,003)","(4,316)",7.8%,16%,178%,,-100.0%,"(4,003)","(4,316)",7.8%,15%,268%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports, 845 ," 1,161 "," 1,583 "," 1,955 "," 1,706 "," 1,657 ","1,677",,"2,172 ",0,"2,190 ",0,"2,364 ",0,"2,143 ",0,"2,186 ",2.0%,3%,"2,913 ",33.2%,"3,752 ",0 ,"4,977 ",32.6%,"5,278 ",6.1%,"5,055 ",-4.2%,"6,790 ",34.3%,"8,792 ",29.5%,,-100.0%,"1,871 ","2,441 ",30.4%,,-100.0%,"3,581 ","5,158 ",44.1%,8%,188%,,-100.0%,"3,581 ","5,158 ",44.1%,7%,229%,,
,,Total imports," 6,946 "," 7,973 "," 6,634 "," 7,813 "," 7,420 "," 8,037 ","9,117",,"9,967 ",0,"11,656 ",0,"14,247 ",0,"16,956 ",0,"18,550 ",9.4%,10%,"18,794 ",1.3%,"22,149 ",0 ,"25,182 ",13.7%,"26,588 ",5.6%,"27,124 ",2.0%,"26,517 ",-2.2%,"26,117 ",-1.5%,,-100.0%,"5,926 ","6,356 ",7.3%,,-100.0%,"19,378 ","19,546 ",0.9%,10%,233%,,-100.0%,"19,378 ","19,546 ",0.9%,11%,253%,,
,,Total Balance," (6,100)"," (6,812)"," (5,050)"," (5,858)"," (5,714)"," (6,380)","-7,440",,"(7,795)",0,"(9,466)",0,"(11,883)",1,"(14,813)",0,"(16,364)",10.5%,14%,"(15,880)",-3.0%,"(18,397)",0 ,"(20,205)",9.8%,"(21,310)",5.5%,"(22,069)",3.6%,"(19,727)",-10.6%,"(17,326)",-12.2%,,-100.0%,"(4,054)","(3,915)",-3.4%,,-100.0%,"(15,797)","(14,388)",-8.9%,12%,240%,,-100.0%,"(15,797)","(14,388)",-8.9%,13%,259%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,68,110,120,118,83, 120 ,114,,109 ,0,91 ,0,102 ,0,84 ,0,88 ,5.5%,0%,56 ,-36.8%,61 ,8.8%,60 ,-1.8%,197,230.6%,257,30.4%,220 ,-14.5%,406 ,84.7%,,-100.0%,69 ,91 ,32.7%,,-100.0%,191 ,138 ,-27.4%,1%,80%,,-100.0%,191 ,138 ,-27.4%,0%,55%,,
,,Vehicle imports,0,0,1,1,1, 2 ,4,,0 ,-1,10 ,4,17 ,52,370 ,21,660 ,78.2%,0%,456 ,-31.0%,332 ,-27.0%,274 ,-17.5%,34,-87.7%,4,-88.5%,8 ,118.1%,7 ,-14.4%,,-100.0%,3 ,1 ,-70.7%,,-100.0%,3 ,7 ,99.2%,0%,1375844%,,-100.0%,3 ,7 ,99.2%,0%,86751%,,
,,Vehicle balance, 68 , 110 , 120 , 117 , 82 , 118 ,111,,108 ,0,81 ,0,85 ,0,(287),-4,(572),99.5%,0%,(400),-30.1%,(272),0 ,(215),-21.1%,163 ,-176.1%,253 ,55.0%,211 ,-16.6%,398 ,88.6%,,-100.0%,66 ,90 ,37.2%,,-100.0%,188 ,132 ,-29.7%,0%,-521%,,-100.0%,188 ,132 ,-29.7%,0%,-198%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,122,147,159,204,294, 281 ,307,,258 ,0,251 ,0,185 ,0,201 ,0,322 ,60.4%,0%,326 ,1.0%,317 ,-2.6%,297 ,-6.5%,309,4.1%,364,17.7%,356 ,-2.0%,349 ,-2.0%,,-100.0%,84 ,73 ,-12.7%,,-100.0%,285 ,267 ,-6.6%,0%,219%,,-100.0%,285 ,267 ,-6.6%,1%,115%,,
,,Parts imports,47,43,51,31,35, 46 ,56,,56 ,1,60 ,0,59 ,0,60 ,0,60 ,0.4%,0%,66 ,9.0%,71 ,8.3%,70 ,-2.0%,81,15.1%,86,7.1%,95 ,9.6%,110 ,16.6%,,-100.0%,22 ,32 ,46.1%,,-100.0%,64 ,73 ,13.6%,0%,141%,,-100.0%,64 ,73 ,13.6%,0%,126%,,
,,Parts balance, 75 , 104 , 108 , 173 , 259 , 235 ,250,,202 ,0,191 ,0,126 ,0,141 ,0,262 ,86.2%,-1%,260 ,-0.8%,246 ,(0),227 ,-7.8%,228 ,0.7%,277 ,21.5%,262 ,-5.6%,239 ,-8.7%,,-100.0%,62 ,41 ,-33.3%,,-100.0%,221 ,194 ,-12.4%,0%,252%,,-100.0%,221 ,194 ,-12.4%,-1%,112%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports, 190 , 257 , 280 , 322 , 377 , 400 ,421,,366 ,0,342 ,0,287 ,0,285 ,0,411 ,44.3%,0%,381 ,-7.1%,378 ,0 ,356 ,-5.7%,506 ,42.0%,621 ,22.7%,576 ,-7.2%,755 ,31.0%,,-100.0%,152 ,164 ,7.8%,,-100.0%,476 ,405 ,-14.9%,1%,160%,,-100.0%,476 ,405 ,-14.9%,1%,97%,,
,,Total imports, 47 , 43 , 52 , 32 , 36 , 48 ,60,,56 ,1,70 ,0,76 ,0,431 ,5,721 ,67.3%,0%,522 ,-27.6%,404 ,(0),344 ,-14.8%,114 ,-66.8%,90 ,-21.2%,103 ,14.2%,117 ,14.1%,,-100.0%,25 ,33 ,32.7%,,-100.0%,67 ,79 ,17.8%,0%,1674%,,-100.0%,67 ,79 ,17.8%,0%,616%,,
,,Total Balance, 143 , 214 , 228 , 290 , 340 , 352 ,361,,311 ,0,273 ,0,211 ,0,(146),-2,(310),112.2%,0%,(140),-54.8%,(26),0 ,12 ,-147.0%,392 ,3113.9%,530 ,35.5%,473 ,-10.8%,637 ,34.8%,,-100.0%,128 ,132 ,3.0%,,-100.0%,409 ,326 ,-20.3%,0%,-145%,,-100.0%,409 ,326 ,-20.3%,0%,4%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,149,154,100,125,161, 465 ,305,,299 ,1,348 ,0,550 ,1,550 ,0,355 ,-35.4%,2%,551 ,55.1%,665 ,20.6%,945 ,42.1%,909,-3.8%,859,-5.4%,"1,055 ",22.7%,"1,393 ",32.1%,,-100.0%,254 ,255 ,0.4%,,-100.0%,659 ,866 ,31.5%,2%,231%,,-100.0%,659 ,866 ,31.5%,3%,316%,,
,,Vehicle imports,958,942,543,415,796," 1,057 ","1,442",,"1,530 ",3,"1,641 ",1,"1,811 ",0,"2,354 ",0,"2,802 ",19.0%,2%,"2,724 ",-2.8%,"4,025 ",47.7%,"5,029 ",24.9%,"4,847",-3.6%,"5,740",18.4%,"4,993 ",-13.0%,"4,099 ",-17.9%,,-100.0%,779 ,"1,015 ",30.3%,,-100.0%,"3,835 ","3,880 ",1.2%,3%,297%,,-100.0%,"3,835 ","3,880 ",1.2%,3%,329%,,
