 
"Organization Name - Effective 18-JAN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5F30NS053163-02","7109153","Heister, David S","Development of REM sleep","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 30,906","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5F31EY016885-02","7119532","Mon, Thetsu ","Mechanism of Spontaneous Waves in the Developing Retina","","PHYSIOLOGY","GRADUATE SCHOOLS","$ 29,822","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5F31NR009133-02","7114871","Green, Angela L","Children's Quality of Life Post Cardiac Transplantation","","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 27,926","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5F32DA018039-03","7119002","Peterson, Eric C","Single Chain Antibody Medications for(+)METH Abuse","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 51,918","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K01DA015102-04","7084667","Curran, Geoffrey M","Translating Depression Guidelines in Substance Abuse Tx","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 134,659","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K01DK064716-03","7025661","Coker, Robert H","Therapeutic Adaptation of Insulin Action in Humans","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 133,920","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K08CA089029-06","7019080","Fan, Chunyang ","Oxidative DNA Damage, DNA Repair and Oral Cancer","","PATHOLOGY","SCHOOLS OF MEDICINE","$ 66,825","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K23NS043185-05","7054699","Kaiser, Jeffrey Radin","Development of Cerebral Autoregulation in VLBW Infants","","PEDIATRICS","SCHOOLS OF MEDICINE","$ 173,046","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5M01RR014288-08","7057194","Reece, E Albert","General Clinical Research Center","","NONE","SCHOOLS OF MEDICINE","$ 511,825","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01AG012411-11","7072297","Griffin, Sue T","Early Events in Alzheimer Pathogenesis","","OTHER HEALTH PROFESSIONS","SCHOOLS OF MEDICINE","$ 1,344,521","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01AG020641-04","7014552","Shmooklerreis, Robert Joseph","METABOLIC MECHANISMS LIMITING AND PROTECTING LONGEVITY","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 992,062","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01AG023591-03","7090046","Evans, William J","Bedrest and Aging","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,108,131","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01CA055819-12","7078603","Barlogie, Bart ","Growth Control in Multiple Myeloma","","NONE","OVERALL MEDICAL","$ 3,499,425","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P20NR009006-03","7106521","Richards, Kathy C","Center for Research on Tailored Biobehavioral Interventions","","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 301,293","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P20RR016460-05","7114994","Cornett, Lawrence E","Partnerships for Biomedical Research in Arkansas","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 3,240,364","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P20RR020146-03","7106413","Garciarill, Edgar E","Center for Translational Neuroscience","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 1,996,589","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P30NS047546-03","7098675","Drew, Paul D","Neuroscience Research Center Core Facility at UAMS","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 600,200","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AA014645-03","7087838","Kane, Cynthia Jm","CNS Development & Alcohol: Microglia-Neuron Interactions","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 275,739","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AA014977-02","7004578","Wenger, Galen R","Alcohol Preference and Cognitive Function","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 242,661","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AG018845-05","7022212","Zimniak, Piotr ","Role of Lipid peroxidation and 4-hydroxynonenal in aging","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 272,443","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI037027-13","6986124","Lee, Chia Y","Genetic regulation of staphylococcal capsule","","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 242,661","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI043356-08","6986066","Smeltzer, Mark S","sar-mediated regulation in Staphylococcus aureus","","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 277,326","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI046738-05","7005657","Benes, Helen ","Sex-Specific Gene Activity in the Mosquito Larva","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 283,566","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI049092-05","7031002","Kieberemmons, Thomas ","Mimotope Conversion of HIV-1 Carbohydrate Antigens","","PATHOLOGY","SCHOOLS OF MEDICINE","$ 444,119","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI052373-04","7009635","Gray, Wayne L","Animal models to design & evaluate improved VZV vaccines","","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 296,954","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI054607-05","7051399","Lee, Chia Y","Global regulation by mgr in S. aureus","","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 277,326","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI054624-04","7018423","Darville, Toni ","Cell Death and Innate Immunity","","PEDIATRICS","SCHOOLS OF MEDICINE","$ 297,442","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI059650-02","6984772","Rank, Roger G","Host response to Chlamydia genital infection in the male","","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 346,658","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI060563-04","7009942","Raney, Kevin D","HCV NS3: Biological, Biochemical and Structural Analysis","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 503,733","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AR047577-05","7056811","Peterson, Charlotte A","Muscle and Bone Maintenance in Hindlimb Suspended Rats","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 63,043","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AR049794-04","7087002","Obrien, Charles A","MOLECULAR CONTROL OF RANKL GENE EXPRESSION","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 248,207","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AR051187-02","7012312","Manolagas, Stavros C","OSTEOBLAST COMMITMENT AND DIFFERENTIATION BY ANGELS","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 244,047","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AR051455-03","6919205","Yang, Liu ","CHONDROGENESIS AND HISTONE MODIFICATION ENZYMES","","PATHOLOGY","SCHOOLS OF MEDICINE","$ 283,912","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA083719-07","7069653","Hauerjensen, Martin ","Endothelial Dysfunction in Intestinal Radiation Toxicity","","SURGERY","SCHOOLS OF MEDICINE","$ 294,659","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA098927-03","7103692","Cannon, Martin J","Novel target antigens for ovarian cancer immunotherapy","","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 255,833","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA099178-03","6954118","Borrelli, Michael J","Heat Activated Gene Therapy Using Radiomimetic CdtB","","RADIATION-DIAGNOSTIC/ONCOLOGY","SCHOOLS OF MEDICINE","$ 248,117","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA100846-05","7109209","Higuchi, Masahiro ","Prostate tumor progression by mutant mitochondrial DNA","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 230,527","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA104873-03","7014508","Hermonat, Paul L","HPV helper functions for AAV Replication","","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 227,407","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA109821-03","7105497","Chambers, Timothy C","BcL-2 Proteins in Mechanism of Anti-mitotic Drug Action","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 227,407","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA007610-13","7092529","Owens, S Michael","Immunotherapy for Drug Abuse","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 433,975","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA011560-08","7049452","Owens, S Michael","Antibody-based Therapy for Methamphetamine Abuse","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 492,556","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA011692-09","7079248","Bickel, Warren K","Delay Discounting in Drug Dependence","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 311,992","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA012471-08","7084598","Budney, Alan Jeffrey","Clinical Significance of Marijuana Withdrawal","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 319,203","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA012997-08","7117647","Bickel, Warren K","Improving Combined Buprenorphine-Behavioral Treatment","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 870,464","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA015363-05","7076901","Booth, Brenda M","Rural Stimulant Use & Mental Health:Services & Outcomes","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 1,574,320","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA018980-02","7028334","Pyne, Jeffrey M","Cost-Effectiveness of Reducing Drug Treatment Barriers","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 346,658","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DC007123-03","7084542","Hayar, Abdallah M","External Tufted Cells Coordinate Olfactory Bulb Activity","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 277,326","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK039311-19","6986069","Elbein, Steven C","Genetics of Type 2 Diabetes","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 293,809","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK053293-09","7057284","Baldini, Giulia ","Mechanisms of Hormonal Release by Endocrine Cells","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 211,809","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK067284-03","7008618","Dobretsov, Maxim ","Hyperglycemia-Induced Mechanical Hyperalgesia","","ANESTHESIOLOGY","SCHOOLS OF MEDICINE","$ 284,260","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK071277-02","7056746","Kern, Philip A","Mechanisms underlying metabolic syndrome in obesity","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 214,928","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK071346-02","7056760","Mcgehee, Robert E","Mechanisms Underlying Metabolic Syndrome in Obesity","","PEDIATRICS","SCHOOLS OF MEDICINE","$ 138,663","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01EB000873-02","7049362","Zharov, Vladimir P","Photothermal Imaging of Live Cells","","OTOLARYNGOLOGY","SCHOOLS OF MEDICINE","$ 293,536","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01ES013787-02","7022335","Davidson, Mari K","Molecular mechanisms of aneuploidy","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 317,667","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01EY010894-11","6986056","Zhou, Z Jimmy","Physiology of the Vertebrate Retina","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 285,138","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01EY011352-12","6931038","Abraham, Edathara C","Modification of Alpha-Crystallin Chaperone Function","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 311,992","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01EY014623-05","7082050","Bora, Puran S","Complement System and Choroidal Neovascularization","","OPHTHALMOLOGY","SCHOOLS OF MEDICINE","$ 346,658","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01GM026861-25","7017100","Jennings, Michael L","MECHANISMS OF SULFATE TRANSPORT AND REGULATION","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 228,547","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01GM059400-08","7092184","Raney, Kevin D","DNA Unwinding and Translocation by Helicases","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 254,862","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HD047656-02","7065587","Wenger, Galen R","Age and Cognition in a Mouse Model of Down Syndrome","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 244,302","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HD050540-02","7106513","Diekman, Alan B","Role of galectin-3 in genital tract immunosuppression","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 237,302","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01HL050545-13","6988516","Ware, Jerry ","Transgenic Analysis of Platelet Receptor Expression","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 311,992","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
