"Loan Characteristic","Period","All sizes","Minimal","Low","Moderate","Acceptable","Special","Not rated","Not reported"
"Other livestock","2002Q3",5.43,7.22,5.13,5.8,4.76,5.04,3.87,6.82
"Other livestock","2002Q4",4.44,3.65,5.42,4.16,4.51,4.22,5.1,6.15
"Other livestock","2003Q1",4.22,3.66,5.1,3.98,4.41,5.89,4.76,6.15
"Other livestock","2003Q2",4.59,4.48,5.9,4.24,4.29,3.93,7.2,5.96
"Other livestock","2003Q3",4.85,3.81,5.21,5.08,4.22,4.11,.,.
"Other livestock","2003Q4",4.19,3.55,4.82,4.36,3.84,4.07,5.71,6.64
"Other livestock","2004Q1",4.69,5.42,5.21,4.38,3.86,3.73,5.76,6.14
"Other livestock","2004Q2",4.77,3.34,4.7,5.07,4.75,5.32,.,7.75
"Other livestock","2004Q3",4.81,3.56,5.28,4.81,3.91,4.87,6.59,6.68
"Other livestock","2004Q4",4.58,3.82,4.26,5.57,4.61,6.12,6.61,.
"Other livestock","2005Q1",0.01,0,0.01,0.01,0.01,0.01,.,0.01
"Other livestock","2005Q2",6.43,5.25,6.67,6.1,6.26,8.62,7.25,7.87
"Other livestock","2005Q3",6.69,5.37,6.52,6.88,6.24,8.43,8.58,7.14
"Other livestock","2005Q4",7.4,6.21,6.93,7.59,7.29,.,.,8.01
"Other livestock","2006Q1",7.8,6.75,7.74,7.84,7.99,7.64,7.74,7
"Other livestock","2006Q2",8.12,7.49,8,7.79,8.47,7.92,7.6,9.85
"Other livestock","2006Q3",8.1,8.69,8.94,7.96,8.13,7.85,.,8.15
"Other livestock","2006Q4",8.33,6.72,8.64,8.88,8.1,8,.,9.11
"Other livestock","2007Q1",8.53,8.34,9,8.55,8.44,7.55,.,9.79
"Other current operating expenses","1999Q4",9.59,9.2,9.29,9.53,9.5,10.27,8.24,10.17
"Other current operating expenses","2000Q1",9.59,9.2,9.29,9.53,9.5,10.27,8.24,10.17
"Other current operating expenses","2000Q2",10.22,9.84,10,10.26,10.27,10.76,9.34,10.85
"Other current operating expenses","2000Q3",10.16,9.81,10.08,9.96,10.21,10.93,9.65,10.94
"Other current operating expenses","2000Q4",10.22,9.84,10,10.26,10.27,10.76,9.34,10.85
"Other current operating expenses","2001Q1",9.28,9.01,9.46,9.29,9.18,9.52,8.28,9.54
"Other current operating expenses","2001Q2",8.51,7.82,8.33,8.59,8.57,9,7.5,8.46
"Other current operating expenses","2001Q3",7.93,7.8,8.41,7.85,7.82,8.37,6.15,7.84
"Other current operating expenses","2001Q4",6.08,7,6.35,6.01,5.79,6.33,5.57,6.52
"Other current operating expenses","2002Q1",6.42,5.98,6.58,6.42,6.01,7.01,5.24,6.98
"Other current operating expenses","2002Q2",5.99,6.23,6.6,5.91,5.66,6.68,5.12,7.17
"Other current operating expenses","2002Q3",5.35,5.9,6.65,5.28,5.06,6.96,4.55,7.11
"Other current operating expenses","2002Q4",5.36,4.73,6.1,5.15,5.34,5.85,3.9,6.58
"Other current operating expenses","2003Q1",5.42,5.48,5.98,5.45,5.36,4.88,4.09,6.35
"Other current operating expenses","2003Q2",5.96,7.41,6.19,5.88,5.37,6.71,5,6.15
"Other current operating expenses","2003Q3",4.85,4.26,5.65,4.91,4.48,5.36,4.43,5.65
"Other current operating expenses","2003Q4",4.79,4.46,5.14,4.77,4.71,4.92,3.65,6.1
"Other current operating expenses","2004Q1",4.89,5.18,4.97,5.14,4.73,5.04,3.88,5.5
"Other current operating expenses","2004Q2",4.95,5.53,5.51,5.28,4.35,5.75,4.17,5.78
"Other current operating expenses","2004Q3",5.29,5.49,5.49,5.13,5.17,6.41,4.92,5.77
"Other current operating expenses","2004Q4",5.34,6.07,4.79,5.37,5.25,6.19,8.55,6.3
"Other current operating expenses","2005Q1",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Other current operating expenses","2005Q2",6.58,6.54,7.17,6.34,6.74,6.93,5.08,6.75
"Other current operating expenses","2005Q3",6.82,5.64,6.89,6.8,6.84,8.02,8,6.6
"Other current operating expenses","2005Q4",7.41,6.08,7.54,7.49,7.36,8.48,9.64,7.34
"Other current operating expenses","2006Q1",8.08,7.66,7.85,8.07,8.16,8.48,7.59,7.31
"Other current operating expenses","2006Q2",8.28,7.62,8.33,8.32,8.41,8.42,8.26,7.65
"Other current operating expenses","2006Q3",8.7,7.63,8.55,8.76,8.64,9.29,9.23,8.29
"Other current operating expenses","2006Q4",8.5,7.54,8.87,8.45,8.4,9.16,9.91,8.82
"Other current operating expenses","2007Q1",8.72,8.34,8.69,8.81,8.52,9.18,9.35,8.56
"Farm machinery and equipment","1999Q4",7.43,10.11,10.18,6.79,9.65,10.28,10.2,9.19
"Farm machinery and equipment","2000Q1",7.43,10.11,10.18,6.79,9.65,10.28,10.2,9.19
"Farm machinery and equipment","2000Q2",10.37,9.45,10.2,10.39,10.21,.,10.02,11.18
"Farm machinery and equipment","2000Q3",9.42,9.35,8.92,9.36,10.2,.,9.5,10.59
"Farm machinery and equipment","2000Q4",10.37,9.45,10.2,10.39,10.21,.,10.02,11.18
"Farm machinery and equipment","2001Q1",8.98,8.24,9.38,9.61,7.87,8.54,9.43,9.89
"Farm machinery and equipment","2001Q2",7.93,8.28,7.84,8.37,8.49,7.39,7.64,9.1
"Farm machinery and equipment","2001Q3",7.64,8.84,6.49,7.79,7.54,6.85,6.68,8.23
"Farm machinery and equipment","2001Q4",6.56,7.49,6.82,6.52,5.88,6.61,6.27,6.7
"Farm machinery and equipment","2002Q1",5.69,7.12,7.04,5.79,6.69,4.58,5.03,7.07
"Farm machinery and equipment","2002Q2",6.89,6.96,6.94,6.66,5.99,8.56,6.7,7.75
"Farm machinery and equipment","2002Q3",5.79,.,6.94,5.42,5.92,5.9,5.9,7.04
"Farm machinery and equipment","2002Q4",6.28,8.4,6.23,6.21,6.03,.,5.82,6.5
"Farm machinery and equipment","2003Q1",5.09,7.25,7.03,4.85,4.89,4.73,7.29,6.51
"Farm machinery and equipment","2003Q2",5.97,6.15,6.56,5.66,5.03,7.46,6.62,5.88
"Farm machinery and equipment","2003Q3",5.58,4.99,6.21,5.45,4.57,7.69,5.26,6.94
"Farm machinery and equipment","2003Q4",4.96,3.76,5.99,4.93,4.55,7.13,6.4,5.99
"Farm machinery and equipment","2004Q1",4.46,.,4.78,4.32,5.26,3.35,4.53,5.66
"Farm machinery and equipment","2004Q2",4.98,5.96,6.01,5.06,4.49,8.42,5.94,6.34
"Farm machinery and equipment","2004Q3",5.07,.,6.02,5.11,4.43,4.75,6.17,6.01
"Farm machinery and equipment","2004Q4",5.33,2.94,5.08,5.05,5.77,5.39,.,5.97
"Farm machinery and equipment","2005Q1",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Farm machinery and equipment","2005Q2",6.77,6.25,7.23,6.74,6.8,6.65,12.09,7.12
"Farm machinery and equipment","2005Q3",6.79,.,7.15,6.8,6.74,7.47,6.63,7.58
"Farm machinery and equipment","2005Q4",7.48,6.77,7.55,7.44,8.05,7.76,9.73,7.85
"Farm machinery and equipment","2006Q1",7.94,6.82,8.68,7.87,8.51,7.69,8.96,8.62
"Farm machinery and equipment","2006Q2",7.93,7.91,8.06,7.85,8.99,9.94,7.89,8.23
"Farm machinery and equipment","2006Q3",9.06,9.88,8.81,9.39,8.67,9.11,9.78,8.64
"Farm machinery and equipment","2006Q4",9.01,7.86,7.4,8.57,9.3,8.4,8.57,8.87
"Farm machinery and equipment","2007Q1",8.87,9.46,8.93,8.61,9.37,.,.,8.87
"Farm real estate","1999Q4",9.34,.,10.12,8.89,9.37,.,9.11,11.04
"Farm real estate","2000Q1",9.34,.,10.12,8.89,9.37,.,9.11,11.04
"Farm real estate","2000Q2",10.12,9.75,10.5,10.19,9.56,11.68,8.15,11.05
"Farm real estate","2000Q3",9.42,.,9.93,9.13,9.74,10.72,9.3,10.38
"Farm real estate","2000Q4",10.12,9.75,10.5,10.19,9.56,11.68,8.15,11.05
"Farm real estate","2001Q1",8.67,8,9.14,9.28,8.93,7.51,8.99,8
"Farm real estate","2001Q2",8.05,8.36,7.86,8.35,8.41,6.96,8.38,8.1
"Farm real estate","2001Q3",7.47,6.79,7.64,8.1,7.51,8.08,7.69,6.96
"Farm real estate","2001Q4",6.78,7.49,6.99,6.08,7.32,6.11,6.92,6.78
"Farm real estate","2002Q1",6.97,.,6.25,7.3,6.86,6.36,7.28,6
"Farm real estate","2002Q2",6.89,6.75,5.77,7.21,6.52,7.59,6.58,7.6
"Farm real estate","2002Q3",6.01,.,6.06,5.82,6.13,11.15,5.58,6.15
"Farm real estate","2002Q4",5.12,3.71,6.85,4.81,5.42,7.5,4.38,7.82
"Farm real estate","2003Q1",5.57,.,6.08,5.58,6.03,7.12,3.95,6.42
"Farm real estate","2003Q2",6.13,5.84,6.56,5.87,6.47,5.11,5.88,5.38
"Farm real estate","2003Q3",5.63,.,6.07,5.91,5.21,.,6.31,5.84
"Farm real estate","2003Q4",5.86,3.92,6.29,5.5,5.6,6.43,5.84,5.84
"Farm real estate","2004Q1",5.65,5.22,6.28,5.85,3.92,.,6.2,6.25
"Farm real estate","2004Q2",5.37,4.87,7.02,5.69,4.94,6,5.64,.
"Farm real estate","2004Q3",5.42,7.5,6.24,5,4.96,5.71,6.96,6.17
"Farm real estate","2004Q4",6.06,.,4.81,6.35,6.23,5.78,.,7.27
"Farm real estate","2005Q1",0.01,.,0.01,0.01,0.01,.,.,0.01
"Farm real estate","2005Q2",6.77,6.18,5.73,6.58,6.9,6.25,8.12,6.17
"Farm real estate","2005Q3",7.07,.,7.05,6.95,6.99,.,7.79,6.05
"Farm real estate","2005Q4",6.88,.,7.45,6.74,7.58,.,7.67,6.75
"Farm real estate","2006Q1",7.82,7.7,7.04,8.17,6.86,.,8.65,7.6
"Farm real estate","2006Q2",7.86,7.99,8.42,7.82,7.75,8.67,8.38,7.28
"Farm real estate","2006Q3",7.81,7.55,8.73,7.79,8.01,11.85,8.42,7.35
"Farm real estate","2006Q4",8.37,8.87,8.15,8.73,8.46,8.61,.,7.82
"Farm real estate","2007Q1",8.37,9.73,8.42,8.58,7.36,.,9.58,7.94
"Other","1999Q4",9.04,9.15,9.45,8.9,9.03,9.24,8.05,9.68
"Other","2000Q1",9.04,9.15,9.45,8.9,9.03,9.24,8.05,9.68
"Other","2000Q2",9.38,5.78,8.39,9.59,9.74,10.06,8.85,10.67
"Other","2000Q3",9.6,9.73,9.27,9.42,9.84,9.61,9.38,11.15
"Other","2000Q4",9.38,5.78,8.39,9.59,9.74,10.06,8.85,10.67
"Other","2001Q1",8.21,2.41,8.51,8.73,7.65,9.76,8.26,10.49
"Other","2001Q2",7.77,7.47,7.1,7.88,7.97,7.81,7.2,7.97
"Other","2001Q3",6.88,8.92,7.02,6.82,6.8,7.98,5.86,7.91
"Other","2001Q4",5.2,6.47,5.17,4.94,5.32,5.86,4.59,6.56
"Other","2002Q1",5.08,4.39,6.44,5.02,4.9,6.39,3.97,6.3
"Other","2002Q2",5.08,4.59,3.83,4.9,5.3,6.78,4.45,7.33
"Other","2002Q3",4.64,6.76,5.85,4.16,5.2,5.88,3.95,6.5
"Other","2002Q4",4.17,4.82,3.37,4.12,4.8,4.48,3.98,5.34
"Other","2003Q1",4.36,6.67,4.94,4.11,4.5,5.48,3.95,6.58
"Other","2003Q2",4.77,6.03,5.83,4.64,4.67,6.16,3.65,5.75
"Other","2003Q3",4.19,6.5,4.55,3.78,4.18,6.25,3.77,4.59
"Other","2003Q4",4.23,3.6,4.34,4.02,4.16,5.75,3.03,5.05
"Other","2004Q1",4.33,2.96,4.69,4.19,4.39,4.03,2.9,4.93
"Other","2004Q2",4.57,4.59,4.12,3.92,4.22,4.76,3.53,5.01
"Other","2004Q3",5.06,4,6.04,4.5,4.74,4.3,4.47,5.32
"Other","2004Q4",4.66,4.64,4.97,4.53,4.51,5.19,5.65,4.6
"Other","2005Q1",0.01,0,0,0.01,0.01,0.01,.,0.01
"Other","2005Q2",6.05,5.29,6.14,5.79,6.12,7.72,7.48,5.87
"Other","2005Q3",5.66,6.08,6.37,5.26,6.27,7.52,7.24,6.14
"Other","2005Q4",6.78,6.68,6.64,6.36,7.19,8.26,8.27,6.55
"Other","2006Q1",7.29,9.12,7.89,6.92,7.57,8.54,8.18,7.29
"Other","2006Q2",7.45,6.73,8.38,7.03,7.94,8.4,8.03,7.53
"Other","2006Q3",8.24,9.32,7.86,8.01,8.95,8.32,8.18,7.41
"Other","2006Q4",7.46,8.6,8.12,6.82,8.01,8.88,8.47,8.15
"Other","2007Q1",8.01,8.48,7.99,7.84,8.11,8.61,7.64,7.79
"Floating rate","1999Q4",84.67,89,67.16,87.44,86.06,92.19,98.41,78.78
"Floating rate","2000Q1",84.67,89,67.16,87.44,86.06,92.19,98.41,78.78
"Floating rate","2000Q2",82.47,66.36,71.78,80.94,92.07,93.7,85.65,90.08
"Floating rate","2000Q3",80.64,46.53,63.94,78.12,93.54,90.85,84.98,85.39
"Floating rate","2000Q4",82.47,66.36,71.78,80.94,92.07,93.7,85.65,90.08
"Floating rate","2001Q1",73.25,63.12,79.77,75.97,59.79,96.44,92.66,75.76
"Floating rate","2001Q2",83.27,72.49,65.82,81.08,93.64,89.24,85.74,87.75
"Floating rate","2001Q3",84.38,55.06,62.1,82.39,93.83,95.27,88.48,95.82
"Floating rate","2001Q4",83.61,94.01,67.54,82.13,87.06,99.46,85.9,81.79
"Floating rate","2002Q1",76.55,48.09,65.83,75.14,84.7,86.48,81.68,83.79
"Floating rate","2002Q2",81.32,73.89,58.17,78.68,93.5,96.19,77.13,57.87
"Floating rate","2002Q3",83.99,62.59,35.32,78.78,93.68,98.48,90.79,89.51
"Floating rate","2002Q4",90.75,45.82,87.25,88.23,95.43,99.78,98.04,74.68
"Floating rate","2003Q1",84.96,39.88,55.54,86.01,94.15,96.77,91.32,76.12
"Floating rate","2003Q2",81.45,27.04,58.07,87.27,95.36,96.36,81.26,59.2
"Floating rate","2003Q3",87.71,84.58,57.45,83.07,97.73,98.38,82.13,93.27
"Floating rate","2003Q4",90.62,63.26,65.45,91.14,97.46,98.99,61.38,94.06
"Floating rate","2004Q1",87.68,65.09,67.33,86.11,91.86,99.07,99.29,93.46
"Floating rate","2004Q2",87.01,36.86,43.12,89.41,93.4,96.08,81.18,97.34
"Floating rate","2004Q3",85.64,45.82,38.59,88.01,97.35,93.44,95.79,98.42
"Floating rate","2004Q4",82.01,42.17,42.94,94.16,97.82,97.63,95.41,78.69
"Floating rate","2005Q1",83.57,55.71,70.29,85.77,92.25,94.16,83.46,80.91
"Floating rate","2005Q2",89.75,50.64,63.13,88.72,97.88,90.81,60.98,74.45
"Floating rate","2005Q3",80.14,16.21,45.91,78.38,96.24,76.43,79.5,79.58
"Floating rate","2005Q4",80.38,8.37,65.34,84.54,93.55,99.24,60.78,70.7
"Floating rate","2006Q1",78.97,8.81,64.32,83.48,90.26,63.32,20.29,93.56
"Floating rate","2006Q2",86.17,52.87,63.36,91.94,96.8,77.82,67.99,79.16
"Floating rate","2006Q3",84.16,16.32,57.9,86.21,96.61,96.72,98.59,76.47
"Floating rate","2006Q4",76.41,23.46,38.47,79.04,97.25,82.75,40.83,64.34
"Floating rate","2007Q1",80.07,64.87,52.3,84.14,91.29,89.86,22.92,74.35
"Under commitment","1999Q4",82.45,43.77,87.1,85.11,83.1,89.28,97.53,68.33
"Under commitment","2000Q1",82.45,43.77,87.1,85.11,83.1,89.28,97.53,68.33
"Under commitment","2000Q2",89.28,96.08,83.77,84.55,98.72,93.61,96.55,88.28
"Under commitment","2000Q3",87.78,75.17,68.63,88.07,95.18,90.99,96.9,90.48
"Under commitment","2000Q4",89.28,96.08,83.77,84.55,98.72,93.61,96.55,88.28
"Under commitment","2001Q1",87.32,89.53,86.06,77.54,96.47,99.16,93.53,64.99
"Under commitment","2001Q2",86.31,83.11,71.01,84.03,92.87,91.85,95.4,90.51
"Under commitment","2001Q3",87.75,43.7,67.66,85.94,96.77,97.67,94.76,100
"Under commitment","2001Q4",92,96.31,86.34,89.57,95.61,99.75,90.83,89.77
"Under commitment","2002Q1",84.53,93.12,73.96,81.32,94.44,84.92,88.42,90.41
"Under commitment","2002Q2",86.02,62.93,87.08,80.61,93.19,94.62,94.75,79.29
"Under commitment","2002Q3",92.05,88.6,92.81,87.68,95.71,97.03,95.55,82.93
"Under commitment","2002Q4",93.3,65.88,95.94,93.97,91.13,99.72,95.06,99.02
"Under commitment","2003Q1",84.52,93.24,64.69,84.15,89.86,94.62,93.51,58.9
"Under commitment","2003Q2",85.28,90.3,77.82,78.35,91.65,92.06,94.08,86.72
"Under commitment","2003Q3",86.15,89.58,89.14,83.38,88.24,96.04,93.8,38.44
"Under commitment","2003Q4",92.95,67.37,79.49,92.79,95.95,96.7,93.53,94.22
"Under commitment","2004Q1",84.99,55.75,87.14,82.38,88.65,78.29,81.25,97.85
"Under commitment","2004Q2",87.01,57.9,77.36,79.82,91.57,81.74,97.23,99.57
"Under commitment","2004Q3",81.77,68.05,47.84,76.54,89.14,94.2,95.49,99.75
"Under commitment","2004Q4",86.11,98.19,88.15,81.12,89.36,97.47,100,90.45
"Under commitment","2005Q1",83.06,92.31,86.85,77.85,88.15,92.68,83.46,78.38
"Under commitment","2005Q2",81.68,80.32,89.98,82.69,79.84,79.66,50.81,82.3
"Under commitment","2005Q3",84.29,99.26,77.01,80.32,95.74,79.86,12.73,93.21
"Under commitment","2005Q4",85.11,98.72,80.26,83.55,92.54,87.47,60.78,69.78
"Under commitment","2006Q1",83.7,79.4,82.17,83.42,91.55,63.69,87.41,91.97
"Under commitment","2006Q2",87.22,87.84,89.78,85.82,86.02,91.91,94.26,88.46
"Under commitment","2006Q3",82.17,98.65,92.82,83.1,77.15,91.76,98.16,67.85
"Under commitment","2006Q4",83.22,91.55,69.82,84.14,91.45,92.56,40.83,61.36
"Under commitment","2007Q1",78.17,84.71,80.14,76.08,85.93,80.08,22.92,60.38
"Callable","1999Q4",15.5,3.54,30.3,13.72,4.83,8.08,1.49,64.83
"Callable","2000Q1",15.5,3.54,30.3,13.72,4.83,8.08,1.49,64.83
"Callable","2000Q2",16.55,7.61,20.43,21.34,5.21,2.02,4.03,94.09
"Callable","2000Q3",16.89,36.52,37.59,13.63,6.06,5.82,75.62,.
"Callable","2000Q4",16.55,7.61,20.43,21.34,5.21,2.02,4.03,94.09
"Callable","2001Q1",17.33,9.91,43.46,20.73,6.27,2.84,1.76,81.98
"Callable","2001Q2",16.53,20.21,30.8,16.12,10.17,9.99,2.06,38.57
"Callable","2001Q3",23.26,17.95,42.9,27.85,11.44,5.81,2.85,58.05
"Callable","2001Q4",17.59,11.21,28.47,24.37,3.75,1.95,1.77,78.73
"Callable","2002Q1",19.75,51.06,34.62,19.6,8.23,2.65,3.24,100
"Callable","2002Q2",16.39,37.83,32.05,15.43,8.5,7.84,0.6,76.22
"Callable","2002Q3",16.37,37.94,59.56,23.63,3.08,1.41,2.91,86.69
"Callable","2002Q4",12.71,50.38,13.79,12.04,11.51,1.03,1.07,79.97
"Callable","2003Q1",16.01,48.07,42.97,13.04,8.81,2.42,3.61,69.69
"Callable","2003Q2",22.73,23.76,41.09,27.87,8.79,7.05,0.44,84.36
"Callable","2003Q3",14.99,16.53,48.16,17.99,5.52,10.16,0.63,8.22
"Callable","2003Q4",17.08,36.77,46.27,19.2,11.53,6.1,2.41,20.6
"Callable","2004Q1",18.81,57.27,40.27,23.86,9.37,3.36,8.86,10.27
"Callable","2004Q2",15.54,51.14,51.72,21.13,8.07,2.39,2.84,2.06
"Callable","2004Q3",19.83,43.34,65.12,23.7,7.88,5.04,6.47,1.34
"Callable","2004Q4",29.58,34.78,71.86,21.79,8.47,2.43,6.71,16.41
"Callable","2005Q1",25.23,42.92,43.61,26.26,7.19,3.3,4.46,42.15
"Callable","2005Q2",22.31,57.29,37.11,15.05,23.07,45.21,2.45,44.43
"Callable","2005Q3",22.84,77.96,58.99,23.74,6.59,11.82,84.18,36.4
"Callable","2005Q4",22.7,54.45,29.93,22.31,8.87,13.34,55.23,45.54
"Callable","2006Q1",27.49,56.29,33.67,28.27,13.17,36.49,87.78,29.65
"Callable","2006Q2",19.31,36.56,46.12,12.32,18.54,9.19,34.32,34.58
"Callable","2006Q3",25.23,38.13,46.29,20.99,28.8,16.99,9.99,15.27
"Callable","2006Q4",20.49,54.84,32.1,17.8,11.74,2.95,6.76,42.77
"Callable","2007Q1",24.41,29.53,36.53,16.63,16.22,48.68,0.99,39.88
"Feeder livestock","1999Q4",7.78,4.39,12.6,8.59,5.67,4.39,1.3,3.32
"Feeder livestock","2000Q1",7.78,4.39,12.6,8.59,5.67,4.39,1.3,3.32
"Feeder livestock","2000Q2",12.84,9.15,23.76,13.12,6.39,17.61,0.87,11.6
"Feeder livestock","2000Q3",7.08,34.57,6.22,5.58,9.64,8.3,0.92,4.06
"Feeder livestock","2000Q4",12.84,9.15,23.76,13.12,6.39,17.61,0.87,11.6
"Feeder livestock","2001Q1",4.92,16.37,7.87,5.44,3.59,3.09,1.88,.
"Feeder livestock","2001Q2",6.36,2.6,5.28,5.81,10.52,1.89,13.69,0.6
"Feeder livestock","2001Q3",7.95,7.26,14.02,9.66,6.13,3.08,2.14,0.33
"Feeder livestock","2001Q4",14.62,65.25,27.83,12.56,8.02,3.7,0.42,0.54
"Feeder livestock","2002Q1",7.61,4.06,10.44,6.26,9.96,6.75,6.24,0.58
"Feeder livestock","2002Q2",6.2,6.29,9.67,7.13,4.98,0.9,2.87,3.23
"Feeder livestock","2002Q3",5.6,0.51,34.85,4.57,3.16,5.86,0.8,1.44
"Feeder livestock","2002Q4",9.82,1.1,21.41,7.59,9.74,3.4,0.29,3.52
"Feeder livestock","2003Q1",15.91,16.59,33.69,14.85,15.98,6.91,0.56,14.13
"Feeder livestock","2003Q2",9.81,10.01,10.31,15.76,4.65,7.44,2.81,7.05
"Feeder livestock","2003Q3",13.84,42.82,29.76,9.15,14.95,6.4,3.3,0.31
"Feeder livestock","2003Q4",18.68,41.78,10.79,23.45,21.31,3.2,.,9.12
"Feeder livestock","2004Q1",6.72,29.73,23.63,2.82,7.27,1.85,0.29,0.26
"Feeder livestock","2004Q2",5.37,2.96,5.76,6.53,7.49,9.25,1.16,.
"Feeder livestock","2004Q3",4.56,31.66,6.78,4.63,6.06,3.98,0.96,0.07
"Feeder livestock","2004Q4",14.69,12.11,25.76,15.34,7.13,1.25,19.13,.
"Feeder livestock","2005Q1",9.31,22.52,14.77,7.73,8.91,1.91,6.88,.
"Feeder livestock","2005Q2",9.25,17.32,44.27,11.53,2.32,0.3,2.99,2.86
"Feeder livestock","2005Q3",3.61,23.67,19.97,2.2,2.63,0.1,.,.
"Feeder livestock","2005Q4",18.37,45.38,36.67,17.89,8.96,10.69,.,1.35
"Feeder livestock","2006Q1",7.22,31.96,14.82,7.14,3.75,0.3,.,0.18
"Feeder livestock","2006Q2",5.62,17.27,11.69,3.79,8.27,1.14,6.2,2.79
"Feeder livestock","2006Q3",10.3,69.46,38.21,5.59,6.4,1.25,0.2,0.72
"Feeder livestock","2006Q4",11.29,40.34,17.47,10.49,4.71,5.89,.,20.51
"Feeder livestock","2007Q1",4.56,6.01,15.88,3.65,1.13,0.11,.,7.42
"Other livestock","1999Q4",8.28,7.03,11.1,7.09,9.05,0.25,45.45,14.69
"Other livestock","2000Q1",8.28,7.03,11.1,7.09,9.05,0.25,45.45,14.69
"Other livestock","2000Q2",9.62,1.62,15.82,8.8,10.86,1.82,2.39,6.23
"Other livestock","2000Q3",7.01,3.75,24.07,5.07,5.86,0.15,1.13,10.75
"Other livestock","2000Q4",9.62,1.62,15.82,8.8,10.86,1.82,2.39,6.23
"Other livestock","2001Q1",5.42,5.24,4.84,5.17,7.74,1.85,0.15,5.78
"Other livestock","2001Q2",7.68,2.24,13.09,6.58,10.56,0.52,2.28,15.94
"Other livestock","2001Q3",7.37,1.24,4.32,7.23,11.76,5.29,1.23,0.03
"Other livestock","2001Q4",8.05,2.03,11.09,8.58,6.65,12.47,0.02,6.41
"Other livestock","2002Q1",9.41,37.87,8.6,9.98,9.21,1.67,2.24,7.11
"Other livestock","2002Q2",6.85,8.72,8.56,6.26,8.06,4.27,0.04,1.88
"Other livestock","2002Q3",7.33,19.96,21.88,9.06,4.85,1.29,0.68,2.62
"Other livestock","2002Q4",10.67,17.07,3.8,12.99,13.63,7.26,0.3,19.2
"Other livestock","2003Q1",7.86,18.43,3.04,11.09,6.25,4.96,0.13,2.44
"Other livestock","2003Q2",7.13,6.87,10.1,7.27,10.38,0.28,0.92,3.69
"Other livestock","2003Q3",6.9,8.01,31.76,3.81,4.38,3.03,.,.
"Other livestock","2003Q4",8.06,10.21,20.85,5.45,10.21,8.04,1.05,0.84
"Other livestock","2004Q1",5.5,6.12,13.04,4.85,4.72,4.22,7.65,0.19
"Other livestock","2004Q2",7.65,21.55,30.83,6.17,6.68,9.63,.,0.03
"Other livestock","2004Q3",10.97,36.46,39.48,7.75,9.63,9.05,5.82,0.14
"Other livestock","2004Q4",12.18,10.65,31.81,5.21,8.13,3.56,14.64,.
"Other livestock","2005Q1",7.13,8.9,11.46,7.12,5.09,5.96,.,1.48
"Other livestock","2005Q2",3.77,3.42,6.8,3.27,3.49,6.23,31.35,0.44
"Other livestock","2005Q3",10.41,19.33,4.77,12.23,8.12,2.29,3.21,1.03
"Other livestock","2005Q4",10.5,5.33,13.1,9.25,12.74,.,.,13.74
"Other livestock","2006Q1",8.34,29.91,2.46,5.56,19.7,0.21,12.56,0.14
"Other livestock","2006Q2",7.32,11.99,8.27,4.25,19.18,3.82,5.68,3.93
"Other livestock","2006Q3",7.65,3.16,5.95,11,8.27,11.15,.,0.06
"Other livestock","2006Q4",7.29,2.43,5.83,3.89,12.72,23.38,.,2.58
"Other livestock","2007Q1",10.74,2.64,11.61,5.5,20.99,6.22,.,3.25
"Other current operating expenses","1999Q4",41.83,45.97,47.6,35,48.25,58.68,7.79,54.18
"Other current operating expenses","2000Q1",41.83,45.97,47.6,35,48.25,58.68,7.79,54.18
"Other current operating expenses","2000Q2",38.16,63.69,33.13,38.03,41.09,46.98,19.68,44.95
"Other current operating expenses","2000Q3",55.94,48.79,42.62,61.59,53.37,68.69,19.34,57.38
"Other current operating expenses","2000Q4",38.16,63.69,33.13,38.03,41.09,46.98,19.68,44.95
"Other current operating expenses","2001Q1",39.24,57.34,72.72,45,21.73,36.92,22.04,64.1
"Other current operating expenses","2001Q2",39.55,53.34,43.33,43.05,41.16,31.11,19.6,28.75
"Other current operating expenses","2001Q3",40.78,37.03,45.2,46.06,33.71,54.65,18.3,26.6
"Other current operating expenses","2001Q4",32.9,20.13,36.79,35.15,28.18,39.48,21.3,45.64
"Other current operating expenses","2002Q1",46.42,48.24,63.89,46.05,39.25,49.75,10.95,66.18
"Other current operating expenses","2002Q2",53.96,78.34,51.67,54.09,52.21,60.37,34.19,66.04
"Other current operating expenses","2002Q3",49.05,79.45,36.04,44.06,59.59,39.98,11.86,46.55
"Other current operating expenses","2002Q4",37.5,49.38,18.86,44.83,38.11,56.83,17.49,38.23
"Other current operating expenses","2003Q1",43.23,53.01,46.21,37.54,44.86,69.28,22.31,59.39
"Other current operating expenses","2003Q2",44.79,81.27,56.3,37.35,45.76,33.78,41.62,45.89
"Other current operating expenses","2003Q3",42.15,34.32,27.39,39.78,45.44,52.49,30.91,61.22
"Other current operating expenses","2003Q4",38.46,41.85,47.66,41.3,37.21,64,14.87,7.57
"Other current operating expenses","2004Q1",46.31,31.33,37.48,53.32,59.6,72.14,32.81,6.6
"Other current operating expenses","2004Q2",43.65,40.71,46.61,51,60.82,59.04,25.91,3.78
"Other current operating expenses","2004Q3",32.56,17.22,34.41,38.85,51.81,66.34,26.44,1.4
