 
"Organization Name - Effective 27-AUG-06","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01CA103054-03S1","7117890","Sanderson, Ralph D","Role of heparanase in osteolytic bone metastasis","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 39,329","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01DA015363-04S1","7110451","Booth, Brenda M","Rural Stimulant Use & Mental Health:Services & Outcomes","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 141,370","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01GM061829-05S1","7090561","Machaca, Khaled ","REGULATION OF CA SIGNALING DURING OOGENESIS","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 1,562","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01NS020246-19S1","7083476","Garciarill, Edgar E","Central Modulation of Rhythms","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 13,632","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5F31AI054324-03","6941395","Garciaborges, Carmen N","Minority Predoctoral Fellowship Program","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 26,572","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5F32AG021374-03","6864838","Hays, Nicholas P","Effect of diet on insulin sensitivity and energy balance","GERIATRICS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 50,528","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5F32DA018039-02","6948785","Peterson, Eric C","Single Chain Antibody Medications for(+)METH Abuse","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 49,786","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K01AG020173-04","6929324","Pope, Sandra K","Dietary and Genetic Risk Factors for Cognitive Decline","GERIATRICS","OTHER HEALTH PROFESSIONS","SCHOOLS OF MEDICINE","$ 125,280","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K01DA015102-03","6909762","Curran, Geoffrey M","Translating Depression Guidelines in Substance Abuse Tx","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 133,070","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K01DK064716-02","6861132","Coker, Robert H","Therapeutic Adaptation of Insulin Action in Humans","GERIATRICS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 133,920","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K08CA089029-05","6850656","Fan, Chunyang ","Oxidative DNA Damage, DNA Repair and Oral Cancer","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 133,650","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K23MH001882-05","6940657","Kramer, Teresa L","Quality of Care and Outcomes for Depressed Adolescents","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 168,150","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5K23NS043185-04","6887663","Kaiser, Jeffrey R","Development of Cerebral Autoregulation in VLBW Infants","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 172,921","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5M01RR014288-07","6886315","Reece, E Albert","General Clinical Research Center","NONE","NONE","SCHOOLS OF MEDICINE","$ 1,932,859","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01AG012411-10","6901071","Griffin, Sue T","Early Events in Alzheimer Pathogenesis","GERIATRICS","OTHER HEALTH PROFESSIONS","SCHOOLS OF MEDICINE","$ 1,353,081","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01AG013918-10","6917243","Manolagas, Stavros C","Molecular & Cellular Mechanisms of Osteoporosis","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,874,064","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01AG020641-03","6846295","Shmooklerreis, Robert J","METABOLIC MECHANISMS LIMITING AND PROTECTING LONGEVITY","GERIATRICS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 994,918","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01AG023591-02","6944712","Evans, William J","Bedrest and Aging","GERIATRICS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,104,925","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01CA055819-11","6936566","Barlogie, Bart ","Growth Control in Multiple Myeloma","NONE","NONE","OVERALL MEDICAL","$ 3,496,686","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01DA014361-05","6922782","Owens, S Michael","Preclinical Testing of Antibody Therapy for METH Abuse","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 1,355,439","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P01DK058324-05","6913700","Shah, Sudhir V","Mechanisms of renal tubular epithelial cell injury","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 936,508","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P20NR009006-02","6946371","Richards, Kathy C","Center for Research on Tailored Biobehavioral Interventions","NURSING SCIENCE","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 292,519","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P20RR020146-02","6949738","Garciarill, Edgar E","Center for Translational Neuroscience","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 2,043,164","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P30AG019606-05","6924597","Beck, Cornelia ","UAMS Alzheimer's Disease Core Center","GERIATRICS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,039,181","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5P30NS047546-02","6937808","Drew, Paul D","Neuroscience Research Center Core Facility at UAMS","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 663,934","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AA014645-02","6912810","Kane, Cynthia Jm","CNS Development & Alcohol: Microglia-Neuron Interactions","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 282,375","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AG017482-05","6897232","Leckaczernik, Beata ","PPAR gamma-2 expression in marrow stroma during aging","GERIATRICS","OTHER HEALTH PROFESSIONS","SCHOOLS OF MEDICINE","$ 219,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AG018845-04","6868905","Zimniak, Piotr ","Role of Lipid peroxidation and 4-hydroxynonenal in aging","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 379,800","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI037027-12","6824905","Lee, Chia Y","Genetic regulation of staphylococcal capsule","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 248,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI043356-07","6832779","Smeltzer, Mark S","sar-mediated regulation in Staphylococcus aureus","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 284,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI046738-04","6845364","Benes, Helen ","Sex-Specific Gene Activity in the Mosquito Larva","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 290,390","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI049092-04","6871369","Kieberemmons, Thomas ","Mimotope Conversion of HIV-1 Carbohydrate Antigens","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 441,956","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI052373-03","6845374","Gray, Wayne L","Animal models to design & evaluate improved VZV vaccines","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 301,545","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI054607-04","6876060","Lee, Chia Y","Global regulation by mgr in S. aureus","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 284,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI054624-03","6849250","Darville, Toni ","Cell Death and Innate Immunity","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 304,600","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AI060563-03","6845730","Raney, Kevin D","HCV NS3: Biological, Biochemical and Structural Analysis","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 503,291","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AR046191-07","6947268","Weinstein, Robert S","The Role of Osteocyte Survival in Bone Strength","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 312,400","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AR047577-04","6879187","Peterson, Charlotte A","Muscle and Bone Maintenance in Hindlimb Suspended Rats","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 364,944","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01AR049794-03","6917112","Obrien, Charles A","MOLECULAR CONTROL OF RANKL GENE EXPRESSION","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 275,480","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA071382-09","6922050","Hauerjensen, Martin ","Molecular Pathogenesis of Radiation Enteropathy","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 272,655","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA075577-08","6943028","Chambers, Timothy C","Stress-activated Protein Kinases and Chemotherapy","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 213,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA093897-04","6931983","Yaccoby, Shmuel ","Myeloma-Microenvironment Interaction Dynamics","MYELOMA INST FOR RES & THERAPY","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 252,760","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA098927-02","6933008","Cannon, Martin J","Novel target antigens for ovarian cancer immunotherapy","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 261,990","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA100846-04","6945379","Higuchi, Masahiro ","Prostate tumor progression by mutant mitochondrial DNA","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 236,075","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA103054-03","6940634","Sanderson, Ralph D","Role of heparanase in osteolytic bone metastasis","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 314,275","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA104873-02","6872478","Hermonat, Paul L","HPV helper functions for AAV Replication","OBSTETRICS AND GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 232,880","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01CA109821-02","6911501","Chambers, Timothy C","BcL-2 Proteins in Mechanism of Anti-mitotic Drug Action","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 232,880","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA002251-25","6899663","Mcmillan, Donald ","Drugs of Abuse: Chronic Interactions and Behavior","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 246,663","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA011560-07","6895100","Owens, S Michael","Antibody-based Therapy for Methamphetamine Abuse","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 518,803","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA011692-08","6881454","Bickel, Warren K","Delay Discounting in Drug Dependence","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 319,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA013441-06","6865494","Olivetobeaudoin, Alison ","Disulfiram for Cocaine Abuse in Methadone- Patients","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 340,455","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DA015363-04","6909758","Booth, Brenda M","Rural Stimulant Use & Mental Health:Services & Outcomes","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 1,376,277","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK039176-17","6895808","Kern, Philip A","Regulation of lipoprotein lipase in adipocytes","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 279,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK039311-18","6818106","Elbein, Steven C","Genetics of Type 2 Diabetes","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 300,880","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK053293-08","6998491","Baldini, Giulia ","Mechanisms of Hormonal Release by Endocrine Cells","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 216,906","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK059558-05","6850816","Nowak, Grazyna ","Protein Kinase C in the Repair of Cellular Functions","PHARMACEUTICAL SCIENCES","PHARMACOLOGY","SCHOOLS OF PHARMACY","$ 219,000","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","5R01DK059872-05","6943370","Macmillancrow, Lee A","Oxidants, Mitochondria,and Renal Ischemia/Reperfusion","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 241,400","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
